日期,代码,名称,现价,涨幅(%),释放,TSQ,RSQ,PSQ,BSA,RPT,成交量,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-05-13,002579,中京电子,13.52,0.74,压力释放,低-高-低-低,4.96%-73.90%-9.96%-10.33%,10.08-9.58-16.66-15.0-13.45,69,21.5,157172.0,,12.78,5,📈ema📉adx🗒️rsi,n 71｜s 00｜d 1.02%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,71.43,68.03
2026-05-13,300131,英唐智控,19.46,2.37,一直释放,低-高-高-高,20.43%-67.97%-27.03%-7.66%,9.3-7.4-12.43-15.79-17.0,73,60.08,459357.0,,17.5,43,📈ema📈adx📈rsi,n 23｜s 00｜d 28.84%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",其他电子Ⅱ,138.02,126.74
2026-05-13,300228,富瑞特装,9.91,-0.2,压力释放,高-低-高-低,8.43%-1.29%-54.98%-26.45%,7.89-8.55-8.44-13.08-9.62,17,9.57,117010.0,,9.39,16,📈ema📉adx🗒️rsi,n 83｜s 00｜d 0.99%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,55.02,51.72
2026-05-13,301012,扬电科技,39.68,8.0,一直释放,高-高-高-高,19.24%-0.32%-13.36%-10.40%,23.96-28.57-28.66-32.49-35.87,42,28.8,99291.0,,34.19,14,📈ema📈adx🗒️rsi,n 15｜s 00｜d 12.92%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电网设备,58.36,58.36
2026-05-13,600550,保变电气,17.04,3.27,压力释放,高-高-高-低,41.15%-32.69%-13.51%-16.34%,9.21-13.0-17.25-19.58-16.38,17,12.19,615167.0,,15.77,17,📈ema📉adx🗒️rsi,n 71｜s 00｜d 1.61%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电网设备,286.17,286.17
2026-05-13,600707,彩虹股份,10.45,10.0,一直释放,低-高-高-低,6.45%-3.52%-6.51%-2.08%,6.98-6.53-6.76-7.2-7.05,48,29.12,901513.0,,8.61,35,📈ema📈adx📈rsi,n 12｜s 00｜d 35.15%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光学光电子,204.18,204.14
2026-05-13,603052,可川科技,104.89,10.01,一直释放,低-高-高-高,2.85%-32.83%-5.97%-92.31%,28.44-27.63-36.7-38.89-74.79,61,38.4,31931.0,,98.68,16,📈ema📈adx📈rsi,n 10｜s 00｜d 25.27%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",消费电子,120.61,120.61
