日期,代码,名称,现价,涨幅(%),成交量,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2025-12-01,600882,妙可蓝多,27.81,1.72,96781.0,饮料乳品,97.32,97.32,-2.05,-3.2,-5.43,-5.57,-6.83,-4.42,-6.47,-6.54,-4.78,-0.76,-3.24,0.93,-0.43,2.55,2.59,1.47,-1.4,-1.55,-3.16,-12.15,-7.87,-9.6,-10.54,-10.07,-11.47,-10.61,-10.57,-8.92,-10.14,-10.72
2025-12-01,600908,无锡银行,6.17,1.98,182855.0,银行Ⅱ,127.95,116.56,0.65,1.13,0.65,-1.13,-1.46,-1.62,-2.92,-3.57,-4.05,-4.21,-4.38,-4.7,-3.08,-2.11,-3.4,-3.57,-3.4,-3.24,-3.89,-4.05,-3.89,-3.89,-3.89,-3.24,-3.89,-4.54,-4.54,-4.38,-4.05,-4.86
2025-12-01,600981,苏豪汇鸿,3.39,10.06,1625105.0,贸易Ⅱ,70.64,70.64,10.03,7.08,-0.59,9.44,12.98,9.73,5.9,2.06,0.29,3.24,-3.24,-4.13,-4.72,-1.18,-2.06,-2.95,-2.06,-2.36,-1.77,-5.31,-6.49,-7.37,-7.08,-5.6,-5.01,-2.95,-1.18,-0.88,-3.24,-2.65
2025-12-01,601369,陕鼓动力,9.32,5.67,448722.0,专用设备,175.28,173.52,-0.11,0.32,0.0,1.39,0.54,1.07,3.22,7.08,11.05,9.87,10.19,10.19,6.65,6.65,8.48,7.62,8.8,9.55,14.06,10.19,8.91,7.4,7.19,6.44,10.3,6.87,8.58,8.58,7.19,6.01
2025-12-01,601678,滨化股份,4.45,0.45,299941.0,化学原料,106.75,106.05,0.22,0.0,-1.57,1.57,-0.9,-3.15,-3.15,-4.49,-5.17,-4.49,-6.29,-5.39,-5.62,-3.82,-3.82,-3.6,-3.15,-3.6,-3.15,-3.82,-3.6,-4.72,-2.92,6.74,5.62,4.94,3.6,4.49,4.27,4.49
2025-12-01,603196,璞源材料,24.96,3.23,65737.0,服装家纺,113.97,64.51,0.76,-0.56,1.4,3.04,12.66,8.53,6.77,-1.48,0.24,-0.16,-1.36,-1.36,-0.2,1.56,1.96,0.32,2.2,1.8,2.4,1.76,1.04,2.28,2.48,3.17,1.64,-0.84,0.48,0.76,2.44,3.93
2025-12-01,603212,赛伍技术,13.35,1.52,266413.0,光伏设备,61.03,61.03,-0.6,-0.07,-4.19,-2.92,3.3,1.72,0.15,-2.92,-5.99,-6.22,3.15,4.34,4.87,9.89,7.42,4.87,12.36,12.36,14.76,10.49,5.99,7.04,5.17,7.79,8.61,10.49,9.36,14.01,7.57,7.19
2025-12-01,603327,福蓉科技,10.99,10.01,560912.0,消费电子,94.3,94.3,10.01,21.02,24.48,16.01,23.57,32.21,22.66,24.57,16.01,8.19,-0.09,0.09,-3.0,-0.55,0.27,-1.18,1.27,0.82,-0.82,-2.55,-1.46,-1.18,0.55,1.82,1.0,1.46,2.91,5.55,1.55,2.82
2025-12-01,603601,再升科技,5.23,3.36,646030.0,专业工程,150.56,150.56,0.38,-1.91,-2.87,0.0,9.94,21.03,33.08,46.46,61.19,77.25,78.39,73.04,83.56,98.66,108.41,91.78,110.9,131.93,155.07,142.07,128.3,138.43,148.37,158.7,150.67,163.67,158.32,179.92,152.01,126.77
2025-12-01,603663,三祥新材,32.01,1.78,138676.0,化学原料,174.74,174.54,0.72,-3.16,-2.03,-0.16,2.37,4.31,5.22,9.34,11.84,12.5,12.81,13.31,10.28,11.25,15.65,11.93,10.9,10.31,11.75,10.72,10.25,10.43,11.28,12.34,14.31,12.43,14.56,16.21,14.06,13.03
2025-12-01,603711,香飘飘,14.37,1.63,83350.0,饮料乳品,51.69,51.69,-0.49,9.46,7.03,7.24,4.11,8.28,5.15,-1.81,-2.51,-0.14,0.9,0.9,4.31,5.22,4.04,0.84,0.84,-0.56,-1.6,-4.18,-6.26,-6.54,-6.33,-5.22,-5.57,-3.9,-4.24,-3.2,-4.52,-5.5
2025-12-01,603766,隆鑫通用,15.08,4.94,411476.0,摩托车及其他,287.29,287.29,1.59,4.24,6.1,6.17,1.79,2.45,5.11,4.91,7.23,5.57,4.51,8.02,6.56,5.84,4.11,3.12,2.25,4.38,5.31,3.38,5.11,6.83,4.64,5.37,4.77,1.19,0.33,-1.66,-2.65,-4.18
