日期,代码,名称,现价,涨幅(%),条件,参组,释放,PSQ,TSQ,RSQ,BSA,RPT,成交量,换手(%),止损,挤压,判断,分数,参数,行业,总市值(亿),流通市值(亿)
2026-05-11,000680,山推股份,12.55,3.98,fit,20-1.8-20-1.5,压力释放,9.21-11.22-12.28-13.75-12.16,高-高-高-低,21.82%-9.45%-11.97%-11.56%,24,11.66,413711.0,3.0,11.89,19,📈ema📉adx🗒️rsi,n 73｜s 00｜d 2.36%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",工程机械,174.92,153.29
2026-05-11,002032,苏 泊 尔,48.3,1.88,fit,20-1.8-20-1.5,一直释放,52.75-50.92-44.81-45.72-45.36,低-低-高-低,3.47%-12.00%-2.03%-0.79%,37,7.23,28820.0,0.0,46.26,22,📈ema📈adx🗒️rsi,n 41｜s 00｜d 4.95%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",小家电,351.7,351.48
2026-05-11,002108,沧州明珠,6.44,10.09,fit,20-1.8-20-1.5,一直释放,3.87-4.41-5.65-5.29-5.22,高-高-低-低,13.95%-28.12%-6.37%-1.32%,35,20.83,798529.0,5.0,6.07,32,📈ema📈adx📈rsi,n 20｜s 00｜d 14.40%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",塑料,81.11,81.06
2026-05-11,002273,水晶光电,37.74,4.34,fit,20-1.8-20-1.5,一直释放,29.08-25.97-25.63-26.73-28.72,低-低-高-高,10.69%-1.31%-4.29%-7.44%,46,31.26,1250093.0,9.0,34.95,31,📈ema📈adx📈rsi,n 14｜s 00｜d 26.19%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光学光电子,322.07,315.49
2026-05-11,002465,海格通信,17.1,-0.12,fit,20-1.8-20-1.5,一直释放,14.98-13.88-26.62-18.95-17.08,低-高-低-低,7.34%-91.79%-28.81%-9.87%,12,13.72,1124578.0,5.0,16.37,13,📈ema📉adx🗒️rsi,n 33｜s 00｜d 6.65%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",军工电子Ⅱ,365.33,364.74
2026-05-11,002678,珠江钢琴,6.27,-0.16,fit,20-1.8-20-1.5,压力释放,5.06-6.99-5.55-6.39-6.2,高-低-高-低,38.14%-20.60%-15.14%-2.97%,20,18.55,128834.0,1.0,5.89,7,📈ema📉adx🗒️rsi,n 60｜s 00｜d 2.09%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",文娱用品,71.45,71.41
2026-05-11,002815,崇达技术,16.18,4.39,fit,20-1.8-20-1.5,一直释放,15.06-14.7-16.54-16.35-16.18,低-高-低-低,2.39%-12.52%-1.15%-1.04%,36,21.2,697818.0,9.0,14.84,31,📈ema📉adx🗒️rsi,n 31｜s 00｜d 6.87%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,173.4,109.19
2026-05-11,300166,东方国信,19.08,-1.4,fit,20-1.8-20-1.5,压力释放,12.0-12.79-15.77-17.33-17.85,高-高-高-高,6.58%-23.30%-9.89%-3.00%,17,21.43,1728016.0,19.0,17.29,11,📈ema📉adx🗒️rsi,n 34｜s 00｜d 7.11%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",IT服务Ⅱ,162.5,129.25
2026-05-11,300252,金信诺,16.5,3.0,fit,20-1.8-20-1.5,一直释放,17.28-14.07-18.18-16.97-16.44,低-高-低-低,18.58%-29.21%-6.66%-3.12%,45,34.53,577036.0,10.0,15.52,35,📈ema📈adx🗒️rsi,n 48｜s 00｜d 9.58%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",军工电子Ⅱ,86.81,73.26
2026-05-11,300292,吴通控股,6.12,11.07,fit,20-1.8-20-1.5,一直释放,5.24-4.92-5.05-5.08-5.1,低-高-高-高,6.11%-2.64%-0.59%-0.39%,34,16.97,2678635.0,24.0,5.45,23,📈ema📈adx📈rsi,n 31｜s 00｜d 7.72%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信服务,63.47,52.78
