日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期
2026-05-08 00:00:00,Short,SQQQ,42.57,-6.91%,47.69,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,155.59-79.76-61.48-63.41-61.22,低-低-高-低,48.74%-22.92%-3.14%-3.45%,70.0,48.18,ProShares UltraPro Short QQQ,1D
2026-05-08 00:00:00,Long,NVDA,215.2,1.75%,206.26,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,NVIDIA,1D
2026-05-08 00:00:00,Short,NEE,93.1,-0.24%,96.59,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,NextEra Energy,1D
2026-05-08 00:00:00,Short,WM,215.37,-2.75%,226.49,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",支撑释放,206.92-213.99-226.17-219.1-221.51,高-高-低-高,3.42%-5.69%-3.13%-1.10%,15.0,6.37,Waste Management,1D
2026-05-08 00:00:00,Short,WM,215.37,-2.75%,226.49,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",支撑释放,206.92-213.99-226.17-219.1-221.51,高-高-低-高,3.42%-5.69%-3.13%-1.10%,15.0,6.37,Waste Management,1D
2026-05-08 00:00:00,Long,F,12.32,1.15%,11.84,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Ford Motor,1D
2026-05-08 00:00:00,Short,VST,147.72,-4.05%,162.32,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Vistra,1D
2026-05-08 00:00:00,Long,RKLB,105.47,34.22%,78.45,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Rocket Lab,1D
2026-05-08 00:00:00,Long,RKLB,105.47,34.22%,78.45,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,73.97-99.58-78.2-78.67-93.1,高-低-高-高,34.62%-21.47%-0.60%-18.34%,12.0,25.83,Rocket Lab,1D
2026-05-08 00:00:00,Long,IAU,88.87,0.46%,86.72,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,iShares Gold Trust,1D
