日期,代码,名称,现价,涨幅(%),成交量,STC,换手(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-05-08,000541,佛山照明,5.77,1.05,80294.0,21.94,1.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",照明设备Ⅱ,87.08,69.77,-0.52,-2.77,-3.12,-5.03,-6.93,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,000659,珠海中富,4.4,10.0,610209.0,0.6,5.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",包装印刷,58.24,58.24,-1.14,-4.77,-2.95,-6.82,-5.45,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,000905,厦门港务,11.51,1.86,171186.0,2.03,2.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",航运港口,169.35,81.45,-0.61,-0.17,2.17,-0.7,-5.13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,000969,安泰科技,22.2,1.37,310620.0,9.78,3.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",金属新材料,217.35,213.88,2.43,0.63,2.43,-1.13,-2.84,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,001323,慕思股份,24.8,3.2,15753.0,7.85,1.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",家居用品,105.38,75.38,-1.25,-0.85,-3.43,-3.55,-4.23,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002166,莱茵生物,9.14,2.7,177894.0,1.89,2.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",化学制品,65.19,65.03,2.19,-0.55,-1.64,-4.16,-3.94,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002196,方正电机,15.07,3.22,662566.0,9.31,14.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电机Ⅱ,67.98,66.94,-2.26,-3.78,-3.12,-7.37,1.92,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002252,上海莱士,5.68,2.16,453649.0,9.14,1.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",生物制品,388.32,388.08,-0.18,-0.35,-1.23,-2.99,-4.23,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002389,航天彩虹,22.94,2.41,421347.0,10.12,4.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",航空装备Ⅱ,218.65,218.62,-0.87,-2.31,-1.87,-6.1,-7.24,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002519,银河电子,8.84,4.99,1936645.0,1.25,17.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",地面兵装Ⅱ,93.16,92.52,-1.24,-3.96,-4.3,-9.5,-10.07,,,,,,,,,,,,,,,,,,,,,,,,,
