日期,代码,名称,现价,涨幅(%),成交量,释放,TSQ,RSQ,SCO,STC,BSA,RPT,PSQ,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-05-08,000595,*ST宝实,6.84,2.86,221617.0,一直释放,高-高-高-低,8.97%-11.63%-10.74%-2.89%,中,18.38[bull],37,15.89,5.13-5.59-6.24-6.91-6.71,2.0,6.38,12,📈ema📈adx🗒️rsi,n 64｜s 00｜d 2.30%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电力,73.33,73.33,0.0,1.46,3.8,5.85,11.11,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002183,怡 亚 通,6.83,5.08,4403376.0,压力释放,低-高-低-高,5.05%-26.79%-11.45%-16.76%,低,91.83[bull],60,33.54,5.15-4.89-6.2-5.49-6.41,17.0,6.2,10,📈ema📉adx📈rsi,n 46｜s 00｜d 2.54%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",贸易Ⅱ,145.43,145.43,5.12,1.46,11.57,9.96,4.98,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002222,福晶科技,108.24,10.0,575045.0,一直释放,高-高-高-低,59.94%-17.97%-16.24%-0.95%,高,98.9[bull],49,29.1,34.65-55.42-65.38-76.0-75.28,12.0,87.65,21,📈ema📈adx📈rsi,n 09｜s 00｜d 30.76%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光学光电子,307.54,306.17,0.42,4.73,7.46,5.1,-2.24,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002317,众生药业,22.54,10.0,408460.0,压力释放,高-高-低-低,35.07%-12.24%-15.62%-17.54%,低,99.98[bull],22,9.94,18.45-24.92-27.97-23.6-19.46,5.0,21.71,10,📈ema📉adx📈rsi,n 89｜s 00｜d 1.13%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",中药Ⅱ,157.49,141.13,-1.33,-5.81,-3.15,-3.15,-4.79,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002350,北京科锐,16.7,4.7,572823.0,压力释放,低-高-低-高,3.20%-28.80%-0.51%-67.11%,低,38.88[bull],36,23.93,7.82-7.57-9.75-9.7-16.21,11.0,15.32,14,📈ema📉adx📈rsi,n 56｜s 00｜d 1.50%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电网设备,80.21,78.47,4.07,-0.36,5.75,-0.6,-1.92,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002611,东方精工,18.88,3.79,858192.0,压力释放,高-低-低-低,14.51%-8.20%-0.93%-9.01%,中,94.5[bull],24,13.37,19.5-22.33-20.5-20.31-18.48,9.0,17.33,18,📈ema📉adx🗒️rsi,n 91｜s 00｜d 2.27%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,215.46,177.34,2.38,-0.48,-2.07,-5.14,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,002930,宏川智慧,16.04,10.01,202940.0,压力释放,高-低-低-高,14.59%-1.48%-1.59%-20.06%,低,8.36[bull],37,22.23,11.17-12.8-12.61-12.41-14.9,5.0,14.37,35,📈ema📉adx📈rsi,n 47｜s 00｜d 3.84%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",物流,65.7,62.14,1.31,-2.31,3.8,-1.5,-5.55,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,003031,中瓷电子,140.07,5.55,143884.0,一直释放,高-高-低-高,18.53%-10.11%-0.54%-38.07%,中,99.99[bull],62,23.43,49.38-58.53-64.45-64.1-88.5,4.0,122.92,20,📈ema📈adx📈rsi,n 06｜s 00｜d 35.94%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信设备,351.37,264.98,10.0,8.25,7.8,18.58,14.66,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,300570,太辰光,162.1,8.03,417918.0,一直释放,高-低-高-高,49.45%-23.20%-17.80%-18.36%,中,70.69[bull],51,49.11,98.8-147.66-113.4-133.58-158.1,22.0,134.58,34,📈ema📉adx🗒️rsi,n 43｜s 00｜d 14.83%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信设备,268.62,227.31,10.3,9.01,10.01,8.3,-1.05,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,300863,卡倍亿,63.95,5.67,125947.0,一直释放,高-高-高-高,5.72%-7.29%-29.47%-17.07%,低,55.21[bull],57,34.34,36.98-39.09-41.94-54.3-63.57,7.0,56.62,16,📈ema📈adx🗒️rsi,n 26｜s 00｜d 9.69%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",汽车零部件,98.02,94.21,6.05,6.38,7.6,13.45,7.27,,,,,,,,,,,,,,,,,,,,,,,,,
