日期,代码,名称,现价,涨幅(%),成交量,释放,TSQ,RSQ,SCO,STC,BSA,RPT,PSQ,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-05-13,002245,蔚蓝锂芯,24.49,7.37,1083394.0,一直释放,高-高-低-低,41.34%-15.53%-10.16%-6.56%,高,100.0[bull],41,14.12,13.62-19.25-22.24-19.98-18.67,10.0,21.25,19,📈ema📈adx📈rsi,n 24｜s 00｜d 16.71%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,205.26,193.05,8.94,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,002409,雅克科技,103.25,10.0,236592.0,压力释放,低-高-高-低,11.82%-53.73%-14.55%-1.40%,中,27.4[bull],50,30.53,65.0-57.32-88.12-100.94-99.53,7.0,86.47,4,📈ema📉adx📈rsi,n 57｜s 00｜d 1.76%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",半导体,396.02,265.04,3.54,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,002579,中京电子,13.85,3.2,909446.0,压力释放,低-高-低-低,4.96%-73.90%-9.96%-10.33%,低,85.51[bull],69,21.5,10.08-9.58-16.66-15.0-13.45,16.0,12.76,5,📈ema📉adx🗒️rsi,n 71｜s 00｜d 1.02%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,71.43,68.03,-3.75,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,300018,中元股份,15.76,12.41,592681.0,一直释放,低-高-高-高,2.83%-34.38%-5.04%-8.27%,低,69.33[bull],42,24.32,9.88-9.6-12.9-13.55-14.67,16.0,13.06,11,📈ema📉adx🗒️rsi,n 19｜s 00｜d 4.74%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电网设备,62.71,58.05,-4.82,-8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,300131,英唐智控,20.32,6.89,1804078.0,一直释放,低-高-高-高,20.43%-67.97%-27.03%-7.66%,中,84.0[bull],73,60.08,9.3-7.4-12.43-15.79-17.0,17.0,17.43,43,📈ema📈adx📈rsi,n 23｜s 00｜d 28.84%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",其他电子Ⅱ,138.02,126.74,4.58,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,300228,富瑞特装,10.2,2.72,550748.0,压力释放,高-低-高-低,8.43%-1.29%-54.98%-26.45%,低,9.07[bull],17,9.57,7.89-8.55-8.44-13.08-9.62,10.0,9.36,16,📈ema📉adx🗒️rsi,n 83｜s 00｜d 0.99%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,55.02,51.72,-3.24,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,300776,帝尔激光,126.38,6.78,157514.0,一直释放,低-高-低-高,13.37%-32.42%-7.79%-35.65%,低,99.72[bull],49,40.75,69.35-60.08-79.56-73.36-99.51,9.0,105.85,15,📈ema📈adx📈rsi,n 06｜s 00｜d 28.05%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光伏设备,208.05,127.6,13.07,16.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,300870,欧陆通,440.0,11.56,54955.0,一直释放,高-低-高-高,91.37%-13.47%-11.32%-15.36%,中,100.0[bull],44,37.7,147.56-282.39-244.35-272.0-313.78,5.0,363.02,21,📈ema📈adx📈rsi,n 18｜s 00｜d 35.22%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",其他电源设备Ⅱ,270.06,270.03,-4.26,-7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,301012,扬电科技,39.4,7.24,284623.0,一直释放,高-高-高-高,19.24%-0.32%-13.36%-10.40%,低,99.99[bull],42,28.8,23.96-28.57-28.66-32.49-35.87,14.0,34.08,14,📈ema📈adx🗒️rsi,n 15｜s 00｜d 12.92%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电网设备,58.36,58.36,-7.06,-8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,301031,中熔电气,169.29,6.55,67910.0,一直释放,低-高-高-低,13.41%-44.49%-24.17%-0.91%,中,42.59[bull],41,19.33,101.7-88.07-127.25-158.0-156.56,9.0,146.98,15,📈ema📈adx🗒️rsi,n 45｜s 00｜d 7.86%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",其他电子Ⅱ,139.48,97.62,-0.4,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
