日期,代码,名称,现价,涨幅(%),成交量,STC,换手(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-05-06,000417,合百集团,6.76,1.05,148678.0,3.0,2.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",一般零售,53.11,53.05,5.18,3.85,4.14,5.77,6.8,10.36,5.77,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,000620,盈新发展,3.08,10.0,1645870.0,3.53,4.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",房地产开发,173.22,137.82,0.97,-1.3,1.95,0.32,3.25,0.32,5.84,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,000786,北新建材,26.54,2.31,188933.0,3.46,1.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",装修建材,424.54,421.36,0.08,-1.43,0.04,1.28,-0.79,-3.54,-4.56,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,000818,航锦科技,16.85,9.99,535028.0,1.58,8.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",化学原料,140.98,140.59,10.03,11.69,7.66,3.62,5.22,4.15,-0.59,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,002044,美年健康,5.97,9.94,1265822.0,1.55,3.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",医疗服务,221.55,219.28,3.85,3.35,6.87,1.84,2.18,2.68,4.36,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,002053,云南能投,12.26,5.96,248570.0,14.18,3.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电力,125.86,125.86,-0.49,-0.41,-0.24,-0.33,3.1,0.49,-0.82,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,300002,神州泰岳,9.87,1.44,421831.0,23.88,2.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",游戏Ⅱ,186.29,174.92,0.91,2.84,1.52,-0.3,0.1,-3.44,-4.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,300253,卫宁健康,8.91,3.12,893353.0,8.79,5.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",软件开发,185.66,152.91,4.15,7.07,7.41,3.14,3.25,-0.67,-0.22,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,300368,汇金股份,12.24,20.0,756421.0,24.73,14.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",计算机设备,63.26,63.26,2.29,2.45,5.15,1.23,1.72,-3.27,-4.58,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,300910,瑞丰新材,49.17,5.65,90781.0,10.08,4.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",化学制品,141.07,98.64,-0.57,-0.73,-0.35,-4.01,-6.59,-4.39,-6.47,,,,,,,,,,,,,,,,,,,,,,,
