日期,代码,名称,现价,涨幅(%),成交量,STC,换手(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-05-12,000591,太阳能,5.85,9.96,2446071.0,1.17,6.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电力,239.0,238.94,5.13,-0.34,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,000899,赣能股份,14.0,3.24,604728.0,19.58,6.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电力,142.25,142.25,0.0,-5.0,-7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,000981,山子高科,4.27,8.65,12796156.0,1.84,13.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",汽车零部件,433.89,412.88,-2.11,1.87,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,001207,联科科技,20.14,1.51,235278.0,1.08,8.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",橡胶,66.82,64.5,1.54,3.43,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,002112,三变科技,21.98,5.02,510898.0,0.31,19.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电网设备,66.09,58.89,5.05,-2.55,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,002346,柘中股份,20.37,9.99,98433.0,1.66,3.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电网设备,85.62,76.27,4.91,0.15,-1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,002358,森源电气,7.75,2.11,621538.0,1.26,7.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电网设备,70.85,70.85,2.19,-3.61,-6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,002498,汉缆股份,10.01,10.0,2947992.0,0.77,9.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电网设备,288.1,288.1,9.99,1.4,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,002608,江苏国信,8.21,3.4,615708.0,22.15,2.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电力,334.74,334.74,4.14,0.0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,300004,南风股份,16.22,19.97,863879.0,10.07,18.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",专用设备,63.46,63.46,-1.73,-0.74,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
