日期,代码,名称,现价,涨幅(%),条件,参组,释放,PSQ,TSQ,RSQ,BSA,RPT,成交量,换手(%),止损,挤压,判断,分数,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-04-10,000967,盈峰环境,10.24,7.79,fit,20-1.8-20-1.5,压力释放,7.25-6.96-7.6-7.79-9.7,低-高-高-高,4.00%-9.20%-2.50%-24.52%,20,18.87,2212262.0,7.0,9.03,6,📈ema📈adx📈rsi,n 40｜s 00｜d 1.77%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",环保设备Ⅱ,285.34,285.21,3.81,14.16,16.02,27.64,36.72,37.7,31.35,33.3,34.08,26.46,25.88,38.48,37.79,32.52,45.8,,,,,,,,,,,,,,,
2026-04-10,001309,德明利,447.24,10.0,fit,20-1.8-20-1.5,一直释放,96.94-225.09-306.0-233.5-308.0,高-高-低-高,132.20%-35.95%-23.69%-31.91%,49,35.68,232257.0,14.0,396.57,66,📈ema📈adx📈rsi,n 31｜s 00｜d 57.00%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",半导体,866.3,614.37,7.66,11.94,12.07,15.55,14.86,15.15,15.06,17.39,10.61,9.53,9.15,10.99,16.92,17.34,29.08,,,,,,,,,,,,,,,
2026-04-10,002008,大族激光,76.55,0.25,fit,20-1.8-20-1.5,一直释放,47.62-44.05-40.29-53.71-75.88,低-低-高-高,7.50%-8.54%-33.31%-41.28%,28,28.18,451462.0,5.0,71.75,32,📈ema📉adx🗒️rsi,n 16｜s 00｜d 27.77%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",自动化设备,647.21,601.4,-1.01,8.03,2.93,13.22,14.38,16.5,21.23,23.03,35.34,33.85,36.73,37.45,35.0,31.57,33.49,,,,,,,,,,,,,,,
2026-04-10,003019,宸展光电,34.77,8.66,fit,20-1.8-20-1.5,压力释放,43.99-37.68-34.8-35.69-32.88,低-低-高-低,14.34%-7.64%-2.56%-7.87%,17,15.17,220920.0,13.0,30.92,17,📈ema📉adx🗒️rsi,n 85｜s 00｜d 1.21%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光学光电子,53.99,52.18,-0.43,0.55,-2.07,-3.48,-4.4,1.96,1.21,4.34,3.68,2.39,0.4,0.63,1.98,1.18,3.11,,,,,,,,,,,,,,,
2026-04-10,300975,商络电子,21.05,2.18,fit,20-1.8-20-1.5,压力释放,14.19-13.88-15.93-13.04-18.2,低-高-低-高,2.18%-14.77%-18.14%-39.57%,42,28.26,542052.0,11.0,19.31,4,📈ema📈adx🗒️rsi,n 44｜s 00｜d 2.81%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,125.04,89.56,-1.28,-0.48,-4.94,-2.14,-3.18,-2.85,-1.43,0.95,-1.47,-8.03,-4.66,-5.89,-4.99,-2.8,8.74,,,,,,,,,,,,,,,
2026-04-10,301511,德福科技,43.76,-2.73,fit,20-1.8-20-1.5,压力释放,42.71-40.34-40.01-40.8-42.5,低-低-高-高,5.55%-0.82%-1.97%-4.17%,20,34.49,416505.0,11.0,40.83,13,📈ema📉adx🗒️rsi,n 65｜s 00｜d 4.71%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,243.93,144.98,3.75,4.78,7.54,9.51,14.9,20.8,38.96,46.87,44.84,37.71,54.25,54.68,64.53,71.85,106.22,,,,,,,,,,,,,,,
2026-04-10,600929,雪天盐业,6.65,7.61,fit,20-1.8-20-1.5,一直释放,6.16-6.47-6.36-6.42-6.65,高-低-高-高,5.03%-1.70%-0.94%-3.58%,28,21.35,630780.0,4.0,5.9,29,📈ema📉adx🗒️rsi,n 18｜s 00｜d 5.80%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学原料,97.09,97.09,5.71,6.32,4.51,3.76,5.71,8.57,6.17,8.87,6.02,4.36,4.06,3.31,5.11,4.21,3.16,,,,,,,,,,,,,,,
2026-04-10,603629,利通电子,72.68,-2.6,fit,20-1.8-20-1.5,压力释放,26.51-26.9-30.58-28.88-71.88,高-高-低-高,1.47%-13.68%-5.56%-148.89%,14,30.29,279423.0,11.0,66.88,18,📈ema📈adx🗒️rsi,n 35｜s 00｜d 9.05%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",消费电子,169.18,165.62,0.0,10.0,21.01,31.88,45.07,47.61,39.23,48.87,60.26,50.55,49.28,64.21,80.64,98.69,118.56,,,,,,,,,,,,,,,
2026-04-10,603897,长城科技,37.15,1.84,fit,20-1.8-20-1.5,压力释放,24.23-28.69-27.46-29.56-35.61,高-低-高-高,18.41%-4.29%-7.65%-20.47%,25,25.83,138696.0,7.0,33.55,10,📈ema📉adx🗒️rsi,n 26｜s 00｜d 1.27%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电网设备,61.72,61.72,10.01,15.42,23.82,36.2,39.08,36.5,38.36,39.3,39.54,34.05,31.09,31.36,28.13,40.94,41.32,,,,,,,,,,,,,,,
2026-04-10,605098,行动教育,57.33,2.1,fit,20-1.8-20-1.5,压力释放,37.5-43.39-41.78-49.4-57.24,高-低-高-高,15.71%-3.71%-18.24%-15.87%,17,14.76,12823.0,1.0,53.38,6,📈ema📉adx🗒️rsi,n 57｜s 00｜d 1.26%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",教育,62.12,62.12,-4.57,-4.62,4.92,10.36,11.34,9.45,17.04,16.59,18.79,16.78,16.61,12.19,9.37,7.71,8.11,,,,,,,,,,,,,,,
