日期,代码,名称,现价,涨幅(%),条件,参组,释放,PSQ,TSQ,RSQ,BSA,RPT,成交量,换手(%),止损,挤压,判断,分数,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-04-23,000829,天音控股,12.14,5.2,fit,20-1.8-20-1.5,压力释放,10.6-11.98-12.0-11.55-11.25,高-高-低-低,13.02%-0.17%-3.75%-2.60%,28,20.58,1056254.0,10.0,11.12,19,📈ema📉adx📈rsi,n 57｜s 00｜d 1.97%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专业连锁Ⅱ,106.41,106.3,-1.98,-4.94,-8.48,-5.52,-3.62,-2.88,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,001267,汇绿生态,50.92,10.0,fit,20-1.8-20-1.5,压力释放,17.49-19.3-22.69-23.77-49.95,高-高-高-高,10.35%-17.56%-4.76%-110.14%,30,35.73,778859.0,13.0,42.05,10,📈ema📉adx📈rsi,n 71｜s 00｜d 2.15%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",基础建设,305.74,236.04,-1.22,-3.16,1.71,5.89,5.97,3.22,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,002300,太阳电缆,10.59,3.62,fit,20-1.8-20-1.5,压力释放,8.88-12.94-10.6-12.45-10.08,高-低-高-低,45.72%-18.08%-17.45%-19.04%,14,13.9,1004741.0,14.0,9.37,9,📈ema📉adx🗒️rsi,n 53｜s 00｜d 1.49%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电网设备,67.68,67.68,-2.55,-2.74,-7.74,-8.5,-11.52,-9.35,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,002839,张家港行,4.76,1.28,fit,20-1.8-20-1.5,压力释放,4.48-4.71-4.9-4.79-4.69,高-高-低-低,5.13%-4.03%-2.24%-2.09%,26,10.35,348018.0,1.0,4.59,6,📈ema📉adx🗒️rsi,n 79｜s 00｜d 0.67%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",银行Ⅱ,109.75,109.65,-2.31,-2.52,-3.36,-2.73,-4.2,-4.83,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,003036,泰坦股份,30.54,5.75,fit,20-1.8-20-1.5,一直释放,21.99-21.5-18.48-19.66,低-低-高,2.23%-14.05%-6.39%,42,22.34,181365.0,8.0,26.58,23,📈ema📈adx🗒️rsi,n 10｜s 00｜d 35.76%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,53.29,53.29,9.99,20.99,10.77,14.77,7.24,15.91,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,300018,中元股份,15.3,5.52,fit,20-1.8-20-1.5,压力释放,9.6-12.9-13.55-14.67-13.75,高-高-高-低,34.38%-5.04%-8.27%-6.27%,15,11.7,553204.0,15.0,13.33,11,📈ema📉adx🗒️rsi,n 60｜s 00｜d 2.13%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电网设备,62.71,58.05,-4.05,-6.54,-10.07,-8.3,-10.85,-6.73,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,300432,富临精工,27.07,2.07,fit,20-1.8-20-1.5,一直释放,14.25-16.76-22.28-20.79-22.11,高-高-低-高,17.61%-32.94%-6.69%-6.35%,64,38.53,740721.0,4.0,24.32,36,📈ema📈adx🗒️rsi,n 33｜s 00｜d 34.96%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,428.47,423.65,1.15,-2.4,-3.44,1.99,3.88,3.4,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,600012,皖通高速,16.18,2.34,fit,20-1.8-20-1.5,压力释放,17.08-15.9-15.27-14.79-15.89,低-低-低-高,6.91%-3.96%-3.14%-7.44%,23,11.67,51741.0,0.0,15.39,11,📈ema📉adx🗒️rsi,n 63｜s 29｜d 0.35%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",铁路公路,264.49,180.43,0.0,-1.36,-0.43,-2.29,-3.21,-2.35,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,600023,浙能电力,5.8,0.69,fit,20-1.8-20-1.5,压力释放,5.28-5.43-5.19-5.73,高-低-高,2.84%-4.42%-10.40%,18,7.1,748769.0,1.0,5.56,20,📈ema📉adx🗒️rsi,n 61｜s 00｜d 1.70%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电力,765.64,765.64,0.0,-0.34,1.55,-1.38,-1.72,-0.69,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,601838,成都银行,18.16,3.24,fit,20-1.8-20-1.5,压力释放,19.35-18.79-18.83-17.3-17.55,低-高-低-高,2.89%-0.21%-8.13%-1.45%,26,5.98,569286.0,1.0,17.13,18,📈ema📈adx📈rsi,n 96｜s 00｜d 1.38%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",银行Ⅱ,722.65,722.65,1.16,1.54,3.19,4.63,5.45,5.62,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23,601997,贵阳银行,6.28,6.98,fit,20-1.8-20-1.5,压力释放,7.18-6.47-6.27-5.93-5.95,低-低-低-高,9.89%-3.09%-5.42%-0.34%,26,8.38,2393023.0,7.0,5.95,7,📈ema📉adx📈rsi,n 78｜s 08｜d 0.46%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",银行Ⅱ,209.87,209.87,-2.23,-4.94,-4.46,-3.98,-4.3,-4.78,,,,,,,,,,,,,,,,,,,,,,,,
