日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期
2026-06-01 00:00:00,Short,VOXR,5.64,-3.42%,6.15,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,VOX ROYALTY CORP,1D
2026-06-01 00:00:00,Long,FLUT,104.31,7.56%,94.48,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,FLUTTER ENTERTAINMENT PLC-DI,1D
2026-06-01 00:00:00,Short,ODV,2.72,-2.86%,2.98,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮红,1.36-2.14-2.91-3.2-2.75,高-高-高-低,57.35%-35.98%-9.97%-14.06%,49.0,38.18,OSISKO DEVELOPMENT CORP,1D
2026-06-01 00:00:00,Short,SITE,106.5,-1.93%,113.55,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,121.5-120.13-123.16-139.82-123.83,低-高-高-低,1.13%-2.52%-13.52%-11.43%,40.0,21.8,SITEONE LANDSCAPE SUPPLY INC,1D
2026-06-01 00:00:00,Short,ENTA,12.67,-3.72%,14.02,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,ENANTA PHARMACEUTICALS INC,1D
2026-06-01 00:00:00,Short,MGRC,107.51,-1.36%,113.29,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,MCGRATH RENTCORP,1D
2026-06-01 00:00:00,Short,SGRY,13.22,-1.05%,14.4,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,SURGERY PARTNERS INC,1D
2026-06-01 00:00:00,Short,POR,48.47,-3.29%,50.67,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,PORTLAND GENERAL ELECTRIC CO,1D
2026-06-01 00:00:00,Short,CRDF,1.48,-22.11%,1.94,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,CARDIFF ONCOLOGY INC,1D
2026-06-01 00:00:00,Short,CRDF,1.48,-22.11%,1.94,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,CARDIFF ONCOLOGY INC,1D
2026-06-01 00:00:00,Long,KD,12.89,3.37%,11.78,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,KYNDRYL HOLDINGS INC,1D
2026-06-01 00:00:00,Short,UTHR,544.62,-2.19%,575.61,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,UNITED THERAPEUTICS CORP,1D
2026-06-01 00:00:00,Long,PUSA,4.78,13.81%,3.48,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,AUREUS GREENWAY HOLDINGS INC,1D
2026-06-01 00:00:00,Short,BKSY,42.38,-12.56%,51.89,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,BLACKSKY TECHNOLOGY INC,1D
2026-06-01 00:00:00,Long,SLI,4.11,2.24%,3.67,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,STANDARD LITHIUM LTD,1D
2026-06-01 00:00:00,Short,WKHS,3.75,-2.09%,4.38,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,WORKHORSE GROUP INC,1D
2026-06-01 00:00:00,Short,QNTM,5.25,-23.47%,7.88,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,QUANTUM BIOPHARMA-B SUB VOT,1D
2026-06-01 00:00:00,Long,ANNX,5.58,2.95%,5.08,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,ANNEXON INC,1D
2026-06-01 00:00:00,Short,KEY,20.9,-2.02%,21.64,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,KEYCORP,1D
2026-06-01 00:00:00,Long,IT,179.59,10.72%,157.31,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,nan-451.73-265.85-256.9-172.23,低-低-低-低,nan%-41.15%-3.37%-32.96%,60.0,22.53,GARTNER INC,1D
2026-06-01 00:00:00,Long,CRCT,4.39,5.78%,3.95,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,CRICUT INC - CLASS A,1D
2026-06-01 00:00:00,Long,DOCU,57.02,8.57%,50.71,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,94.67-81.73-86.65-72.35-51.4,低-高-低-低,13.67%-6.02%-16.50%-28.96%,50.0,21.28,DOCUSIGN INC,1D
2026-06-01 00:00:00,Long,CBZ,34.68,4.46%,31.57,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,CBIZ INC,1D
2026-06-01 00:00:00,Short,BESS,3.52,-7.61%,4.33,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,BIMERGEN ENERGY CORP,1D
2026-06-01 00:00:00,Long,CLVT,2.73,7.91%,2.34,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,CLARIVATE PLC,1D
2026-06-01 00:00:00,Short,CODI,10.99,-3.17%,11.83,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,COMPASS DIVERSIFIED HOLDINGS,1D
2026-06-01 00:00:00,Long,LIF,48.14,13.30%,41.03,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,LIFE360 INC,1D
2026-06-01 00:00:00,Long,LIF,48.14,13.30%,41.03,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,LIFE360 INC,1D
2026-06-01 00:00:00,Long,CLMT,35.82,0.99%,34.23,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,CALUMET INC,1D
2026-06-01 00:00:00,Short,KURA,9.03,-11.42%,10.78,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,KURA ONCOLOGY INC,1D
2026-06-01 00:00:00,Short,NUVL,93.01,-15.74%,115.24,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,NUVALENT INC-A,1D
2026-06-01 00:00:00,Short,NUVL,93.01,-15.74%,115.24,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,NUVALENT INC-A,1D
