日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-08-03 00:00:00,Long,00261,0.25,16.59%,0.19,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 14}}",GBA HOLDINGS,1WK,,,,,,
2026-08-03 00:00:00,Short,00270,8.36,-1.30%,8.85,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",GUANGDONG INV,1WK,,,,,,
2026-08-03 00:00:00,Short,00270,8.36,-1.30%,8.85,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",GUANGDONG INV,1WK,,,,,,
2026-08-03 00:00:00,Long,00302,0.21,8.42%,0.15,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",CMGE,1WK,,,,,,
2026-08-03 00:00:00,Long,00302,0.21,8.42%,0.15,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",CMGE,1WK,,,,,,
2026-08-03 00:00:00,Long,00323,1.73,0.88%,1.5,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",MAANSHAN IRON,1WK,,,,,,
2026-08-03 00:00:00,Long,00323,1.73,0.88%,1.5,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",MAANSHAN IRON,1WK,,,,,,
2026-08-03 00:00:00,Long,00326,7.8,13.78%,5.73,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHINA STAR ENT,1WK,,,,,,
2026-08-03 00:00:00,Long,00346,0.29,1.75%,0.23,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",YANCHANG PETRO,1WK,,,,,,
2026-08-03 00:00:00,Long,00346,0.29,1.75%,0.23,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",YANCHANG PETRO,1WK,,,,,,
2026-08-03 00:00:00,Long,00348,0.06,8.47%,0.04,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",CHINAHEALTHWISE,1WK,,,,,,
2026-08-03 00:00:00,Long,00348,0.06,8.47%,0.04,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",CHINAHEALTHWISE,1WK,,,,,,
2026-08-03 00:00:00,Long,00357,5.68,4.60%,4.87,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MEILAN AIRPORT,1WK,,,,,,
2026-08-03 00:00:00,Long,00357,5.68,4.60%,4.87,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 28}}",MEILAN AIRPORT,1WK,,,,,,
2026-08-03 00:00:00,Long,00377,4.74,163.33%,1.28,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHINA HUAJUN GP,1WK,,,,,,
2026-08-03 00:00:00,Long,00389,0.34,47.58%,0.18,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TONTINE WINES,1WK,,,,,,
2026-08-03 00:00:00,Long,00389,0.34,47.58%,0.18,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 69}}",TONTINE WINES,1WK,,,,,,
2026-08-03 00:00:00,Long,00389,0.34,47.58%,0.18,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TONTINE WINES,1WK,,,,,,
2026-08-03 00:00:00,Long,00389,0.34,47.58%,0.18,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 69}}",TONTINE WINES,1WK,,,,,,
2026-08-03 00:00:00,Long,00403,0.19,17.50%,0.14,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",STARLITE HOLD,1WK,,,,,,
2026-08-03 00:00:00,Long,00439,0.64,9.32%,0.48,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",GENESIS SCALE,1WK,,,,,,
2026-08-03 00:00:00,Long,00439,0.64,9.32%,0.48,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",GENESIS SCALE,1WK,,,,,,
2026-08-03 00:00:00,Long,00472,0.2,25.00%,0.1,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",NEW SILKROAD,1WK,,,,,,
2026-08-03 00:00:00,Long,00472,0.2,25.00%,0.1,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",NEW SILKROAD,1WK,,,,,,
2026-08-03 00:00:00,Long,00491,0.03,13.04%,0.02,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",EMPEROR CULTURE,1WK,,,,,,
2026-08-03 00:00:00,Long,00491,0.03,13.04%,0.02,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",EMPEROR CULTURE,1WK,,,,,,
2026-08-03 00:00:00,Short,00496,0.18,0.00%,0.23,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KASEN,1WK,一直释放,nan-0.22-0.24-0.21-0.28,低-高-低-高,nan%-6.67%-10.83%-30.84%,69.0,92.86
2026-08-03 00:00:00,Long,00511,2.59,8.37%,2.2,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TVB,1WK,,,,,,
2026-08-03 00:00:00,Long,00511,2.59,8.37%,2.2,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 27}}",TVB,1WK,,,,,,
2026-08-03 00:00:00,Short,00518,0.18,-5.82%,0.2,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TUNGTEX (HOLD),1WK,一直亮红,0.15-0.17-0.16-0.18-0.18,高-低-高-低,9.37%-2.94%-12.98%-1.10%,16.0,61.11
2026-08-03 00:00:00,Short,00518,0.18,-5.82%,0.2,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TUNGTEX (HOLD),1WK,一直亮红,0.22-0.15-0.16-0.18-0.18,低-高-高-低,29.48%-6.16%-12.98%-1.10%,16.0,61.11
2026-08-03 00:00:00,Long,00570,1.47,1.74%,1.34,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",TRAD CHI MED,1WK,,,,,,
2026-08-03 00:00:00,Long,00570,1.47,1.74%,1.34,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",TRAD CHI MED,1WK,,,,,,
2026-08-03 00:00:00,Long,00572,0.4,12.68%,0.33,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",FW HOLDINGS,1WK,,,,,,
2026-08-03 00:00:00,Long,00572,0.4,12.68%,0.33,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",FW HOLDINGS,1WK,,,,,,
2026-08-03 00:00:00,Long,00582,0.08,5.33%,0.06,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SHIN HWA WORLD,1WK,,,,,,
2026-08-03 00:00:00,Long,00582,0.08,5.33%,0.06,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 15}}",SHIN HWA WORLD,1WK,,,,,,
2026-08-03 00:00:00,Long,00596,2.34,2.18%,1.6,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",INSPUR DIGI ENT,1WK,,,,,,
2026-08-03 00:00:00,Long,00596,2.34,2.18%,1.6,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",INSPUR DIGI ENT,1WK,,,,,,
2026-08-03 00:00:00,Long,00610,0.94,1.63%,0.87,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",WAI KEE HOLD,1WK,,,,,,
2026-08-03 00:00:00,Long,00655,0.48,5.49%,0.39,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HK CHINESE LTD,1WK,,,,,,
2026-08-03 00:00:00,Long,00656,4.86,2.10%,4.33,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FOSUN INTL,1WK,压力释放,5.15-6.2-4.65-6.81-4.4,高-低-高-低,20.37%-25.04%-46.46%-35.39%,18.0,17.96
2026-08-03 00:00:00,Long,00674,0.05,9.52%,0.03,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",CHINA TANGSHANG,1WK,,,,,,
2026-08-03 00:00:00,Long,00674,0.05,9.52%,0.03,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",CHINA TANGSHANG,1WK,,,,,,
2026-08-03 00:00:00,Long,00685,0.19,5.71%,0.15,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",MEDIA CHINESE,1WK,,,,,,
2026-08-03 00:00:00,Long,00685,0.19,5.71%,0.15,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",MEDIA CHINESE,1WK,,,,,,
2026-08-03 00:00:00,Long,00697,1.87,6.25%,1.58,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SHOUCHENG,1WK,,,,,,
2026-08-03 00:00:00,Long,00697,1.87,6.25%,1.58,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 20}}",SHOUCHENG,1WK,,,,,,
2026-08-03 00:00:00,Long,00700,487.6,2.61%,443.91,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TENCENT,1WK,,,,,,
2026-08-03 00:00:00,Long,00700,487.6,2.61%,443.91,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 23}}",TENCENT,1WK,,,,,,
2026-08-03 00:00:00,Long,00712,0.07,15.79%,0.05,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",COMTEC SOLAR,1WK,,,,,,
2026-08-03 00:00:00,Long,00712,0.07,15.79%,0.05,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",COMTEC SOLAR,1WK,,,,,,
2026-08-03 00:00:00,Short,00728,4.62,-2.53%,5.08,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHINA TELECOM,1WK,一直亮红,2.91-3.66-4.91-5.12-4.66,高-高-高-低,25.66%-34.07%-4.30%-9.00%,18.0,24.0
2026-08-03 00:00:00,Long,00746,4.98,10.17%,4.16,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",L & M CHEMICAL,1WK,,,,,,
2026-08-03 00:00:00,Long,00746,4.98,10.17%,4.16,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 12}}",L & M CHEMICAL,1WK,,,,,,
2026-08-03 00:00:00,Long,00757,0.06,10.34%,0.05,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",SOLARGIGA,1WK,,,,,,
2026-08-03 00:00:00,Long,00757,0.06,10.34%,0.05,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",SOLARGIGA,1WK,,,,,,
2026-08-03 00:00:00,Short,00789,1.29,-14.57%,1.58,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ARTINI HLDG-NEW,1WK,支撑释放,nan-0.22-1.25-1.35-1.42,低-高-高-高,nan%-468.18%-8.00%-5.56%,18.0,63.16
2026-08-03 00:00:00,Short,00797,0.89,-18.35%,1.35,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",7ROAD,1WK,,,,,,
2026-08-03 00:00:00,Long,00841,0.19,2.16%,0.13,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CASSAVA RES,1WK,,,,,,
2026-08-03 00:00:00,Long,00853,6.88,2.31%,5.78,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",MICROPORT,1WK,,,,,,
2026-08-03 00:00:00,Long,00853,6.88,2.31%,5.78,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",MICROPORT,1WK,,,,,,
2026-08-03 00:00:00,Short,00871,0.05,-4.08%,0.06,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CH DREDG ENV,1WK,支撑释放,0.05-0.05-0.06-0.05-0.05,低-高-低-高,8.16%-44.44%-23.08%-8.00%,46.0,100.0
2026-08-03 00:00:00,Long,00873,0.48,10.34%,0.38,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",SHIMAO SERVICES,1WK,,,,,,
2026-08-03 00:00:00,Long,00873,0.48,10.34%,0.38,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",SHIMAO SERVICES,1WK,,,,,,
2026-08-03 00:00:00,Long,00895,1.66,2.47%,1.3,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",DONGJIANG ENV,1WK,,,,,,
2026-08-03 00:00:00,Long,00895,1.66,2.47%,1.3,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",DONGJIANG ENV,1WK,,,,,,
2026-08-03 00:00:00,Long,00922,0.11,4.85%,0.1,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",ANXIANYUAN CH,1WK,,,,,,
2026-08-03 00:00:00,Long,00922,0.11,4.85%,0.1,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",ANXIANYUAN CH,1WK,,,,,,
2026-08-03 00:00:00,Long,00923,0.02,6.25%,0.01,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",IWS,1WK,,,,,,
2026-08-03 00:00:00,Long,00923,0.02,6.25%,0.01,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",IWS,1WK,,,,,,
2026-08-03 00:00:00,Long,00931,0.26,3.92%,0.2,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",CHINA HK POWER,1WK,,,,,,
2026-08-03 00:00:00,Long,00931,0.26,3.92%,0.2,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",CHINA HK POWER,1WK,,,,,,
2026-08-03 00:00:00,Short,00939,8.89,-3.47%,9.71,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",CCB,1WK,,,,,,
2026-08-03 00:00:00,Short,00939,8.89,-3.47%,9.71,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",CCB,1WK,,,,,,
2026-08-03 00:00:00,Short,00979,0.27,-5.26%,0.35,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GREEN ENERGY GP,1WK,,,,,,
2026-08-03 00:00:00,Long,01049,0.88,2.33%,0.76,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",CELESTIAL ASIA,1WK,,,,,,
2026-08-03 00:00:00,Long,01049,0.88,2.33%,0.76,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",CELESTIAL ASIA,1WK,,,,,,
2026-08-03 00:00:00,Short,01080,0.05,0.00%,0.06,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SHENGLI PIPE,1WK,支撑释放,0.03-0.02-0.03-0.07-0.06,低-高-高-低,32.26%-28.57%-170.37%-16.44%,18.0,47.54
2026-08-03 00:00:00,Short,01082,1.05,0.00%,1.23,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BDV EDU INTL,1WK,支撑释放,1.26-1.28-1.5-1.42-1.16,高-高-低-低,1.59%-17.19%-5.33%-18.31%,15.0,29.31
2026-08-03 00:00:00,Short,01087,1.64,-11.35%,2.14,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",INVESTECH HLDGS,1WK,,,,,,
2026-08-03 00:00:00,Short,01087,1.64,-11.35%,2.14,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",INVESTECH HLDGS,1WK,,,,,,
2026-08-03 00:00:00,Short,01147,0.11,-9.68%,0.14,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EDENSOFT,1WK,,,,,,
2026-08-03 00:00:00,Long,01181,0.1,4.00%,0.08,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",TANG PALACE,1WK,,,,,,
2026-08-03 00:00:00,Long,01181,0.1,4.00%,0.08,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",TANG PALACE,1WK,,,,,,
2026-08-03 00:00:00,Short,01183,0.13,-1.49%,0.15,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MECOM POWER,1WK,,,,,,
