日期,代码,名称,现价,涨幅(%),成交量,换手(%),吸筹天数,吸筹强度,均线偏离,均线斜率,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-07-03,000595,*ST宝实,6.24,10.05,152110.0,1.34,26,30.98%,+0.53%,+16.71%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",电力,73.33,73.33
2026-07-03,300129,泰胜风能,10.63,19.98,824306.0,11.47,79,100.0%,+0.85%,+40.53%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",风电设备,138.38,89.7
2026-07-03,300139,晓程科技,44.05,12.86,716062.0,30.65,66,24.64%,+3.14%,+101.68%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",贵金属,159.55,136.06
2026-07-03,300969,恒帅股份,117.0,10.93,70137.0,8.96,61,19.54%,+2.06%,+35.92%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",汽车零部件,141.35,63.43
2026-07-03,603286,日盈电子,56.96,10.0,71673.0,6.17,55,100.0%,+4.40%,+64.32%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",汽车零部件,67.56,66.42
2026-07-03,605118,力鼎光电,36.16,3.2,52333.0,1.28,41,100.0%,+1.84%,+41.12%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",计算机设备,160.42,158.78
