日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-07-20 00:00:00,Long,IR,84.4,2.63%,72.91,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",INGERSOLL-RAND INC,1WK
2026-07-20 00:00:00,Long,IR,84.4,2.63%,72.91,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 20}}",INGERSOLL-RAND INC,1WK
2026-07-20 00:00:00,Long,COP,120.26,4.84%,105.37,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CONOCOPHILLIPS,1WK
2026-07-20 00:00:00,Long,DFNS,4.35,10257.14%,2.8,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",T3 DEFENSE INC,1WK
2026-07-20 00:00:00,Long,DFNS,4.35,10257.14%,2.8,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",T3 DEFENSE INC,1WK
2026-07-20 00:00:00,Long,DFNS,4.35,10257.14%,2.8,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",T3 DEFENSE INC,1WK
2026-07-20 00:00:00,Long,DFNS,4.35,10257.14%,2.8,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",T3 DEFENSE INC,1WK
2026-07-20 00:00:00,Short,BRUN,21.74,-10.97%,31.8,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BOOST RUN INC-CL A,1WK
2026-07-20 00:00:00,Short,TDC,28.52,-6.55%,34.83,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TERADATA CORP,1WK
2026-07-20 00:00:00,Short,CDNL,63.3,-11.13%,85.01,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CARDINAL INFRASTRUCTURE GR-A,1WK
2026-07-20 00:00:00,Short,PRCH,11.84,-13.45%,15.34,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PORCH GROUP INC,1WK
2026-07-20 00:00:00,Long,IE,9.06,11.44%,5.71,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",IVANHOE ELECTRIC INC / US,1WK
2026-07-20 00:00:00,Long,IE,9.06,11.44%,5.71,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",IVANHOE ELECTRIC INC / US,1WK
2026-07-20 00:00:00,Long,GSHD,58.75,8.24%,40.67,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GOOSEHEAD INSURANCE INC -A,1WK
2026-07-20 00:00:00,Long,GSHD,58.75,8.24%,40.67,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 11}}",GOOSEHEAD INSURANCE INC -A,1WK
2026-07-20 00:00:00,Short,MP,41.3,-8.71%,55.99,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MP MATERIALS CORP,1WK
2026-07-20 00:00:00,Short,VMI,486.16,-8.56%,582.59,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VALMONT INDUSTRIES,1WK
2026-07-20 00:00:00,Long,CVE,29.28,4.76%,25.51,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CENOVUS ENERGY INC,1WK
2026-07-20 00:00:00,Short,ULCC,5.81,-6.74%,7.32,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FRONTIER GROUP HOLDINGS INC,1WK
2026-07-20 00:00:00,Short,BE,184.89,-13.99%,282.55,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BLOOM ENERGY CORP- A,1WK
2026-07-20 00:00:00,Short,HHH,65.91,-6.27%,74.52,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HOWARD HUGHES HOLDINGS INC,1WK
2026-07-20 00:00:00,Short,NUTX,145.87,-10.50%,195.19,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NUTEX HEALTH INC,1WK
2026-07-20 00:00:00,Short,ABSI,7.56,-8.86%,9.85,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ABSCI CORP,1WK
2026-07-20 00:00:00,Long,VZLA,3.3,7.49%,2.49,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",VIZSLA SILVER CORP,1WK
2026-07-20 00:00:00,Long,VZLA,3.3,7.49%,2.49,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",VIZSLA SILVER CORP,1WK
2026-07-20 00:00:00,Long,WLDS,3.53,165.41%,0.06,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",WEARABLE DEVICES LTD,1WK
2026-07-20 00:00:00,Long,WLDS,3.53,165.41%,0.06,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",WEARABLE DEVICES LTD,1WK
2026-07-20 00:00:00,Short,RARE,26.9,-8.13%,33.13,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ULTRAGENYX PHARMACEUTICAL IN,1WK
2026-07-20 00:00:00,Long,LPG,45.32,10.46%,37.55,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DORIAN LPG LTD,1WK
2026-07-20 00:00:00,Long,FE,49.92,2.86%,46.04,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FIRSTENERGY CORP,1WK
2026-07-20 00:00:00,Short,EZPW,29.54,-7.95%,36.15,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EZCORP INC-CL A,1WK
2026-07-20 00:00:00,Short,RGNX,9.73,-1.62%,13.05,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",REGENXBIO INC,1WK
2026-07-20 00:00:00,Short,MCRI,119.54,-2.84%,133.79,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MONARCH CASINO & RESORT INC,1WK
2026-07-20 00:00:00,Long,ALLE,153.36,11.75%,125.31,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ALLEGION PLC,1WK
2026-07-20 00:00:00,Long,ALLE,153.36,11.75%,125.31,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 22}}",ALLEGION PLC,1WK
2026-07-20 00:00:00,Short,BEAM,25.1,-8.83%,32.77,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BEAM THERAPEUTICS INC,1WK
2026-07-20 00:00:00,Short,BEPC,33.53,-1.12%,37.47,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BROOKFIELD RENEWABLE CORP,1WK
2026-07-20 00:00:00,Long,ITGR,98.62,3.35%,89.11,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",INTEGER HOLDINGS CORP,1WK
2026-07-20 00:00:00,Long,CHRD,138.36,8.01%,114.29,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHORD ENERGY CORP,1WK
