日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期,交易所
2026-08-24 08:00:00,Long,ZEC-USDT,790.42,-7.41%,623.85,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,45.38-79.43-56.8-775.0-688.6,高-低-高-低,75.03%-28.49%-1264.44%-11.15%,14.0,175.44,ZEC,1W,Binance
2026-08-24 08:00:00,Long,ONG-USDT,0.1,43.95%,0.05,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,ONG,1W,Binance
2026-08-24 08:00:00,Long,ONG-USDT,0.1,43.95%,0.05,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 14}}",,,,,,,ONG,1W,Binance
2026-08-24 08:00:00,Long,PROM-USDT,3.87,34.47%,1.81,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,PROM,1W,Binance
2026-08-24 08:00:00,Long,PROM-USDT,3.87,34.47%,1.81,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 32}}",,,,,,,PROM,1W,Binance
2026-08-24 08:00:00,Long,龙虾-USDT,0.04,45.15%,0.01,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,龙虾,1W,Binance
2026-08-24 08:00:00,Long,龙虾-USDT,0.04,45.15%,0.01,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 16}}",,,,,,,龙虾,1W,Binance
2026-08-24 08:00:00,Long,STX-USDT,0.28,18.77%,0.17,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,STX,1W,Binance
2026-08-24 08:00:00,Long,STX-USDT,0.28,18.77%,0.17,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 13}}",,,,,,,STX,1W,Binance
2026-08-24 08:00:00,Short,INTC-USDT,88.01,-2.53%,108.86,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,INTC,1W,Binance
2026-08-24 08:00:00,Long,POL-USDT,0.12,11.02%,0.09,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,POL,1W,Binance
2026-08-24 08:00:00,Long,POL-USDT,0.12,11.02%,0.09,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 47}}",,,,,,,POL,1W,Binance
2026-08-24 08:00:00,Long,BTR-USDT,0.07,140.38%,0.01,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,BTR,1W,Binance
2026-08-24 08:00:00,Long,BTR-USDT,0.07,140.38%,0.01,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 14}}",,,,,,,BTR,1W,Binance
2026-08-24 08:00:00,Long,XMR-USDT,448.21,6.22%,360.96,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,XMR,1W,Binance
2026-08-24 08:00:00,Long,BR-USDT,0.27,15.41%,0.16,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,nan-0.14-0.27,低-高,nan%-91.02%,23.0,402.87,BR,1W,Binance
2026-08-24 08:00:00,Long,VVV-USDT,17.34,3.26%,12.87,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,VVV,1W,Binance
2026-08-24 08:00:00,Long,SPX-USDT,0.54,15.91%,0.34,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,SPX,1W,Binance
2026-08-24 08:00:00,Long,CRV-USDT,0.32,-3.13%,0.26,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,0.72-0.88-1.34-1.16-0.29,高-高-低-低,21.66%-51.70%-13.00%-74.84%,15.0,72.7,CRV,1W,Binance
2026-08-24 08:00:00,Long,MINA-USDT,0.06,3.83%,0.04,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,MINA,1W,Binance
2026-08-24 08:00:00,Long,MINA-USDT,0.06,3.83%,0.04,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 13}}",,,,,,,MINA,1W,Binance
2026-08-24 08:00:00,Short,IMX-USDT,0.13,-6.08%,0.17,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮红,0.38-0.48-0.9-0.34-0.13,高-高-低-低,27.75%-88.50%-62.40%-62.04%,29.0,65.24,IMX,1W,Binance
