日期,代码,名称,现价,涨幅(%),条件,参组,释放,PSQ,TSQ,RSQ,BSA,RPT,成交量,换手(%),止损,挤压,判断,分数,参数,行业,总市值(亿),流通市值(亿)
2026-04-30,000582,北部湾港,11.31,0.09,fit,20-1.8-20-1.5,压力释放,9.43-9.16-11.07-11.75-11.18,低-高-高-低,2.86%-20.85%-6.14%-4.85%,20,10.58,236978.0,,10.97,14,📈ema📉adx🗒️rsi,n 46｜s 00｜d 0.92%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",航运港口,273.86,234.67
2026-04-30,000783,长江证券,7.99,10.06,fit,20-1.8-20-1.5,一直释放,9.28-8.45-9.01-7.42,低-高-低,8.94%-6.63%-17.65%,14,4.65,2732001.0,,7.61,55,📈ema📉adx📈rsi,n 38｜s 00｜d 20.67%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",证券Ⅱ,382.13,382.13
2026-04-30,000973,佛塑科技,20.89,-1.88,fit,20-1.8-20-1.5,压力释放,7.99-8.32-15.18-16.11-19.75,高-高-高-高,4.13%-82.45%-6.13%-22.59%,23,17.56,773741.0,,19.23,9,📈ema📈adx🗒️rsi,n 49｜s 00｜d 2.61%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",塑料,481.57,189.52
2026-04-30,001212,中旗新材,55.46,1.76,fit,20-1.8-20-1.5,压力释放,48.11-54.23-56.3-58.25-53.1,高-高-高-低,12.72%-3.82%-3.46%-8.84%,15,11.93,39705.0,,51.7,13,📈ema📉adx🗒️rsi,n 92｜s 00｜d 1.84%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",装修建材,101.69,87.97
2026-04-30,002149,西部材料,63.51,9.99,fit,20-1.8-20-1.5,一直释放,18.87-52.63-57.98-57.31-56.0,高-高-低-低,178.91%-10.17%-1.16%-2.29%,21,25.59,711097.0,,53.42,29,📈ema📈adx🗒️rsi,n 19｜s 00｜d 15.13%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",小金属,241.42,241.38
2026-04-30,002235,安妮股份,10.94,7.47,fit,20-1.8-20-1.5,压力释放,14.34-12.04-11.31-11.65-10.57,低-低-高-低,16.04%-6.06%-3.01%-9.27%,16,16.15,814439.0,,9.71,10,📈ema📉adx🗒️rsi,n 69｜s 00｜d 2.24%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",造纸,57.67,55.08
2026-04-30,002645,华宏科技,25.77,9.99,fit,20-1.8-20-1.5,一直释放,18.0-18.6-17.76-17.79-18.18,高-低-高-高,3.33%-4.52%-0.17%-2.19%,31,23.25,434420.0,,23.25,74,📈ema📈adx📈rsi,n 47｜s 00｜d 39.27%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",环保设备Ⅱ,108.2,96.36
2026-04-30,002730,电光科技,33.7,6.08,fit,20-1.8-20-1.5,压力释放,17.04-16.79-15.29-16.1-30.86,低-低-高-高,1.47%-8.93%-5.30%-91.68%,19,20.5,234136.0,,29.35,7,📈ema📈adx📈rsi,n 34｜s 00｜d 5.40%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,88.42,84.5
2026-04-30,002793,罗欣药业,5.57,3.34,fit,20-1.8-20-1.5,已过亮绿,5.84-5.82-5.57-5.14-5.46,低-低-低-高,0.34%-4.30%-7.72%-6.23%,50,30.0,395828.0,,5.08,4,📈ema📈adx🗒️rsi,n 61｜s 00｜d 1.65%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制药,51.99,51.91
2026-04-30,300761,立华股份,22.92,1.78,fit,20-1.8-20-1.5,一直释放,23.94-22.33-21.41-20.76-22.76,低-低-低-高,6.73%-4.12%-3.04%-9.63%,33,18.91,71143.0,,21.41,9,📈ema📈adx🗒️rsi,n 25｜s 00｜d 3.44%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",养殖业,171.39,128.55
