日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-07-13 00:00:00,Short,BHE,77.4,-9.01%,92.58,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BENCHMARK ELECTRONICS INC,1WK
2026-07-13 00:00:00,Long,ADUS,113.82,5.18%,99.59,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ADDUS HOMECARE CORP,1WK
2026-07-13 00:00:00,Long,ADUS,113.82,5.18%,99.59,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 19}}",ADDUS HOMECARE CORP,1WK
2026-07-13 00:00:00,Long,DG,127.16,6.93%,109.24,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DOLLAR GENERAL CORP,1WK
2026-07-13 00:00:00,Long,DG,127.16,6.93%,109.24,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 19}}",DOLLAR GENERAL CORP,1WK
2026-07-13 00:00:00,Short,NTLA,11.86,-16.57%,16.3,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",INTELLIA THERAPEUTICS INC,1WK
2026-07-13 00:00:00,Short,SFM,73.67,-8.89%,90.67,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SPROUTS FARMERS MARKET INC,1WK
2026-07-13 00:00:00,Short,FORM,107.11,-8.86%,141.73,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FORMFACTOR INC,1WK
2026-07-13 00:00:00,Long,COTY,2.49,11.16%,1.91,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",COTY INC-CL A,1WK
2026-07-13 00:00:00,Short,ADEA,25.9,-10.63%,32.26,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ADEIA INC,1WK
2026-07-13 00:00:00,Short,SNDK,1411.08,-26.35%,2099.53,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SANDISK CORP,1WK
2026-07-13 00:00:00,Short,IBM,219.05,-23.82%,329.46,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",INTL BUSINESS MACHINES CORP,1WK
2026-07-13 00:00:00,Short,IBM,219.05,-23.82%,329.46,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",INTL BUSINESS MACHINES CORP,1WK
2026-07-13 00:00:00,Short,PGR,205.8,-10.80%,247.95,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PROGRESSIVE CORP,1WK
2026-07-13 00:00:00,Short,NRGV,3.04,-11.63%,4.46,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ENERGY VAULT HOLDINGS INC,1WK
2026-07-13 00:00:00,Short,PLXS,248.8,-6.91%,291.39,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PLEXUS CORP,1WK
