日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-07-31,002275,桂林三金,13.29,9.02,575570.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,83.32,79.27
2026-07-31,002279,久其软件,6.9,20.63,9218255.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",软件开发,70.7,64.76
2026-07-31,002287,奇正藏药,20.98,11.36,810371.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,130.84,130.59
2026-07-31,002292,奥飞娱乐,8.25,25.76,17008444.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",文娱用品,114.01,78.48
2026-07-31,002339,积成电子,7.14,3.03,4269559.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电网设备,54.79,52.04
2026-07-31,002376,新北洋,6.38,10.96,2534784.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",计算机设备,56.01,53.99
2026-07-31,002382,蓝帆医疗,5.82,14.57,5791267.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",医疗器械,77.85,77.28
2026-07-31,002396,星网锐捷,26.06,35.94,30461875.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",通信设备,158.2,157.54
2026-07-31,002400,省广集团,6.8,7.77,18501482.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",广告营销,150.45,148.97
2026-07-31,002408,齐翔腾达,5.06,7.89,8536785.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",炼化及贸易,173.13,167.54
2026-07-31,002416,爱施德,10.01,11.72,5540050.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",专业连锁Ⅱ,159.87,157.88
2026-07-31,002424,ST百灵,4.6,5.99,1996369.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,67.5,58.6
2026-07-31,002458,益生股份,8.71,12.1,16296090.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",养殖业,104.0,67.72
