日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-05-29 13:30:00,Short,00108,2.14,-6.14%,2.38,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GR LIFE STYLE,4H,支撑释放,2.06-2.49-2.6-2.33-2.22,高-高-低-低,20.87%-4.42%-10.38%-4.72%,16.0,12.61
2026-05-29 13:30:00,Long,00114,0.65,3.17%,0.6,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HERALD HOLD,4H,一直亮绿,0.6-0.7-0.67-0.64-0.65,高-低-低-高,16.67%-4.29%-4.48%-1.56%,47.0,20.37
2026-05-29 13:30:00,Long,00114,0.65,3.17%,0.6,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HERALD HOLD,4H,一直亮绿,0.6-0.7-0.67-0.64-0.65,高-低-低-高,16.67%-4.29%-4.48%-1.56%,47.0,20.37
2026-05-29 13:30:00,Long,00116,10.95,1.96%,10.45,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHOW SANG SANG,4H,,,,,,
2026-05-29 13:30:00,Long,00122,1.45,2.11%,1.43,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CROCODILE,4H,,,,,,
2026-05-26 13:30:00,Short,00146,1.44,-5.26%,1.55,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TAI PING CARPET,4H,一直释放,nan-1.2-1.15-1.42-1.75,低-低-高-高,nan%-4.17%-23.48%-23.24%,38.0,13.71
2026-05-29 13:30:00,Long,00151,4.16,1.96%,3.95,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",WANT WANT CHINA,4H,,,,,,
2026-05-27 09:30:00,Short,00158,59.5,-0.83%,60.67,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MELBOURNE ENT,4H,,,,,,
2026-05-29 13:30:00,Long,00173,2.3,5.02%,2.15,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",K. WAH INT'L,4H,,,,,,
2026-05-29 13:30:00,Long,00173,2.3,5.02%,2.15,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",K. WAH INT'L,4H,,,,,,
2026-05-29 09:30:00,Short,00191,0.74,-10.84%,0.81,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",LAI SUN INT'L,4H,,,,,,
2026-05-29 09:30:00,Short,00191,0.74,-10.84%,0.81,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",LAI SUN INT'L,4H,,,,,,
