日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期
2026-06-17 01:30:00,Short,SMCI,29.23,-1.91%,32.82,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮红,29.35-29.68-19.49-25.46-29.47,高-低-高-高,1.13%-34.33%-30.63%-15.73%,39.0,74.44,Super Micro Computer,4H
2026-06-17 01:30:00,Short,OIH,406.11,-0.60%,416.32,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",支撑释放,365.6-393.56-392.83-412.02-416.28,高-低-高-高,7.65%-0.18%-4.88%-1.03%,27.0,5.7,VanEck Oil Services ETF,4H
2026-06-17 01:30:00,Short,SPOT,469.74,0.48%,484.43,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",支撑释放,453.68-462.22-411.24-422.61-481.09,高-低-高-高,1.88%-11.03%-2.76%-13.84%,19.0,7.09,Spotify,4H
2026-06-17 01:30:00,Short,LUNR,23.37,-0.43%,26.42,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,15.43-16.35-15.85-22.75-23.62,高-低-高-高,5.96%-3.06%-43.53%-3.82%,54.0,97.93,Intuitive Machines,4H
2026-06-17 01:30:00,Long,SPGI,433.25,-0.27%,425.59,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,552.25-452.69-442.0-456.7-430.91,低-低-高-低,18.03%-2.36%-3.33%-5.65%,22.0,5.79,S&P Global,4H
2026-06-17 01:30:00,Short,STRC,91.78,-1.84%,95.01,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Strategy Stretch Preferred,4H
2026-06-17 01:30:00,Long,SCHW,93.69,0.59%,91.52,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮绿,97.61-96.74-100.76-92.89-93.43,低-高-低-高,0.89%-4.15%-7.81%-0.58%,41.0,11.28,Charles Schwab,4H
2026-06-17 01:30:00,Short,SNAP,5.16,-8.19%,5.91,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Snap,4H
2026-06-17 01:30:00,Long,AMD,507.29,-2.57%,483.76,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,263.51-233.34-266.95-209.21-469.21,低-高-低-高,11.45%-14.40%-21.63%-124.28%,50.0,19.28,AMD,4H
