日期,代码,名称,现价,涨幅(%),成交量,释放,TSQ,RSQ,STC,BSA,RPT,PSQ,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-06-16,000733,振华科技,56.34,8.6,895681.0,一直释放,高-高-高-低,4.59%-3.73%-9.25%-19.54%,99.42[bull],35,15.02,50.51-52.83-54.8-59.87-48.17,16.0,49.82,38,📈ema📈adx🗒️rsi,n 46｜s 00｜d 11.43%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",军工电子Ⅱ,253.37,253.33,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,002446,盛路通信,11.77,10.0,728382.0,压力释放,高-低-高-低,24.53%-1.18%-58.94%-22.63%,39.56[bull],26,22.17,7.5-9.34-9.23-14.67-11.35,9.0,10.36,6,📈ema📉adx🗒️rsi,n 32｜s 53｜d 0.23%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",军工电子Ⅱ,88.89,82.32,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,002552,宝鼎科技,70.93,10.0,41232.0,一直释放,低-高-高-高,9.00%-28.13%-2.04%-23.62%,99.65[bull],88,50.56,15.55-14.15-18.13-18.5-22.87,1.0,61.1,62,📈ema📈adx📈rsi,n 11｜s 00｜d 141.41%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,61.69,58.59,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,002913,奥士康,65.79,6.84,149833.0,压力释放,低-高-高-高,0.24%-2.94%-18.02%-10.07%,17.67[bull],26,24.77,44.97-44.86-46.18-54.5-59.99,5.0,57.31,13,📈ema📉adx🗒️rsi,n 58｜s 00｜d 2.73%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,147.29,140.01,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,300066,三川智慧,6.78,13.76,1528440.0,一直释放,高-低-高-低,34.62%-14.13%-7.05%-22.54%,12.94[bull],22,28.85,6.99-9.41-8.08-8.65-6.7,15.0,5.65,15,📈ema📈adx🗒️rsi,n 36｜s 00｜d 7.13%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,65.63,63.47,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,300252,金信诺,18.5,4.7,977538.0,压力慢放,低-高-低-高,18.58%-29.21%-9.57%-8.82%,98.52[bull],25,29.73,17.28-14.07-18.18-16.44-17.89,17.0,16.19,1,📈ema📉adx🗒️rsi,n 31｜s 100｜d 0.00%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",军工电子Ⅱ,86.81,73.26,-2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,300285,国瓷材料,67.43,6.52,1450435.0,一直释放,高-低-高-高,5.29%-0.27%-40.28%-14.33%,99.73[bull],65,40.74,24.78-26.09-26.02-36.5-41.73,17.0,57.6,56,📈ema📈adx🗒️rsi,n 16｜s 00｜d 59.64%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电子化学品Ⅱ,306.19,258.38,16.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,300401,花园生物,15.59,6.13,823198.0,一直释放,高-低-高-低,1.70%-5.53%-20.01%-25.22%,11.35[bull],25,37.73,17.06-17.35-16.39-19.67-14.71,15.0,13.83,34,📈ema📈adx📈rsi,n 48｜s 00｜d 10.85%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制药,77.39,76.13,10.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,300568,星源材质,19.68,5.24,1533508.0,压力释放,高-高-低-高,7.75%-23.56%-15.28%-19.55%,74.24[bull],19,27.08,14.06-15.15-18.72-15.86-18.96,13.0,16.99,16,📈ema📉adx🗒️rsi,n 48｜s 00｜d 2.33%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,204.41,184.88,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,301123,奕东电子,111.78,8.68,193071.0,一直释放,高-高-低-高,30.96%-85.16%-6.76%-60.55%,99.85[bull],108,67.76,22.59-29.58-54.78-51.07-82.0,12.0,92.71,25,📈ema📈adx🗒️rsi,n 25｜s 00｜d 30.45%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",消费电子,120.65,120.12,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
