日期,代码,名称,现价,涨幅(%),成交量,换手(%),吸筹天数,吸筹强度,均线偏离,均线斜率,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-05-27,002627,三峡旅游,7.46,2.61,457380.0,6.38,44,24.48%,+6.82%,+28.40%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",旅游及景区,60.36,59.74,-5.76,-2.01,-1.88,-4.96,-4.02,-4.42,-4.83,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,300708,聚灿光电,10.04,3.08,815984.0,11.49,36,21.98%,+8.90%,+10.76%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",光学光电子,89.2,67.45,-0.1,-9.16,-10.36,-12.95,-11.25,-12.05,-12.25,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,600173,卧龙新能,7.6,2.56,549570.0,7.85,32,23.59%,+5.56%,+18.69%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",房地产开发,55.83,55.82,-4.21,-8.16,-6.18,-7.89,-6.71,-7.11,-8.82,,,,,,,,,,,,,,,,,,,,,,,
