日期,代码,名称,现价,涨幅(%),成交量,换手(%),吸筹天数,吸筹强度,均线偏离,均线斜率,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-04-17,000498,山东路桥,6.05,1.68,224848.0,1.55,59,76.07%,+1.83%,+5.29%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",基础建设,89.27,83.34,-3.47,-3.31,-4.96,-4.79,-5.29,-5.79,-4.46,-3.97,-8.43,-8.6,-8.43,-7.93,-8.43,-8.76,-8.6,-9.92,-11.57,-12.23,-11.24,-11.9,-12.56,-12.89,-13.39,-13.39,-14.38,-14.55,-12.89,-11.74,-12.23,-13.55
2026-04-17,000682,东方电子,13.12,0.38,249229.0,1.86,33,11.07%,+9.81%,+17.11%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",电网设备,169.33,169.31,0.91,0.3,2.52,3.51,4.04,3.13,1.07,1.83,-0.53,0.38,3.28,2.44,3.2,2.82,5.56,1.37,-0.69,4.27,7.62,6.55,1.07,4.73,10.37,9.22,13.41,12.88,6.63,9.38,4.12,2.82
2026-04-17,002062,宏润建设,8.48,5.34,900074.0,8.0,53,63.01%,+7.44%,+61.34%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",基础建设,91.06,82.78,6.13,7.19,10.85,8.84,5.19,2.71,4.13,5.54,4.36,11.44,13.68,16.75,18.28,15.68,15.57,13.92,14.98,14.39,15.33,14.86,13.33,12.03,6.13,3.3,-1.65,2.71,-3.89,5.78,0.71,-3.42
2026-04-17,002654,万润科技,15.3,2.41,519903.0,6.15,72,20.25%,+9.73%,+14.70%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",光学光电子,122.15,122.14,4.18,1.37,0.78,-3.66,-5.82,-7.45,-7.97,-10.2,-5.1,-1.5,-1.44,-2.22,0.39,0.92,10.98,8.24,8.3,19.15,14.58,26.01,18.3,16.01,14.9,9.8,7.32,8.37,0.07,-0.98,-2.75,-0.2
2026-04-17,002706,良信股份,11.21,10.01,888255.0,9.71,47,22.18%,+10.91%,+20.89%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",电网设备,120.96,98.54,-1.07,-3.93,-4.19,-5.44,-7.67,1.61,1.16,0.98,3.21,4.73,5.35,3.93,8.03,9.28,13.11,10.26,5.71,12.67,20.25,19.18,12.67,14.72,20.25,20.16,32.2,34.34,30.69,29.62,21.94,19.54
2026-04-17,002967,广电计量,22.15,3.7,194078.0,3.55,27,72.54%,+9.11%,+17.69%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",专业服务,130.01,111.63,1.9,1.04,0.45,-2.03,-1.76,-0.5,-2.93,-2.89,-3.52,-3.3,2.26,0.68,1.26,-1.13,0.41,0.9,-1.26,-0.14,1.31,-0.99,-3.07,-0.45,0.95,0.09,-1.9,-2.66,-5.55,-5.82,-7.36,-6.09
2026-04-17,300893,松原安全,23.28,1.66,29141.0,1.16,66,100.0%,+8.56%,+26.50%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",汽车零部件,98.38,52.18,0.95,2.71,1.33,1.85,-0.9,-0.56,-1.72,-2.62,-3.01,-3.44,0.09,0.73,0.3,1.46,1.03,-1.59,5.15,3.48,1.93,-2.15,-1.68,-2.36,-2.28,-1.16,-3.87,-7.6,-10.78,-11.43,-8.12,-5.71
2026-04-17,301209,联合化学,95.13,1.91,8241.0,0.86,49,100.0%,+11.48%,+51.12%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",化学制品,98.88,84.48,1.28,3.02,1.34,-0.36,-2.51,-2.49,-5.54,-6.97,-6.9,-6.4,-5.25,-5.92,-7.56,-8.74,-3.66,-3.65,-6.15,-5.92,-5.9,-4.89,-8.06,-5.34,-4.35,-6.32,-8.15,-8.4,-9.81,-3.85,-5.83,-7.21
2026-04-17,600885,宏发股份,28.55,4.2,281143.0,1.82,33,41.27%,+4.56%,+20.13%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",电网设备,436.42,436.42,0.88,1.02,1.86,1.3,0.53,1.3,-0.21,1.58,9.07,17.09,16.36,13.59,13.84,13.06,14.43,10.61,8.23,8.97,13.06,15.59,17.9,17.9,21.12,19.61,24.73,25.99,18.53,22.21,22.98,21.47
2026-04-17,600962,国投中鲁,20.71,9.98,79436.0,3.03,53,100.0%,+7.55%,+26.08%,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 250, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",农产品加工,51.79,51.79,5.79,4.44,4.1,4.49,0.58,0.43,1.98,4.01,5.02,5.94,9.42,12.6,16.71,18.06,18.83,15.6,18.93,22.84,21.39,33.51,24.77,27.28,29.12,24.0,22.11,24.0,21.58,23.9,20.42,19.02
