日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-08-24 00:00:00,Long,00092,0.21,9.42%,0.2,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHAMPION TECH,1D,一直亮绿,0.28-0.26-0.22-0.19-0.2,低-低-低-高,5.36%-17.74%-12.84%-5.26%,67.0,33.33
2026-08-24 00:00:00,Long,00092,0.21,9.42%,0.2,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHAMPION TECH,1D,一直亮绿,nan-0.28-0.26-0.22-0.2,低-低-低-低,nan%-5.36%-17.74%-8.26%,67.0,33.33
2026-08-25 00:00:00,Short,00114,0.67,-6.94%,0.71,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HERALD HOLD,1D,,,,,,
2026-08-25 00:00:00,Short,00114,0.67,-6.94%,0.71,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",HERALD HOLD,1D,,,,,,
2026-08-25 00:00:00,Short,00114,0.67,-6.94%,0.71,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",HERALD HOLD,1D,,,,,,
2026-08-25 00:00:00,Long,00124,0.2,2.51%,0.2,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GD LAND,1D,,,,,,
2026-08-25 00:00:00,Long,00128,0.52,75.00%,0.5,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ENM HOLDINGS,1D,,,,,,
2026-08-25 00:00:00,Long,00128,0.52,75.00%,0.5,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ENM HOLDINGS,1D,,,,,,
2026-08-25 00:00:00,Short,00144,15.95,-1.12%,16.65,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",CHINA MER PORT,1D,,,,,,
2026-08-25 00:00:00,Long,00144,15.95,-1.12%,15.5,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHINA MER PORT,1D,压力释放,nan-16.2-17.29-15.78,低-高-低,nan%-6.69%-8.74%,75.0,28.69
2026-08-25 00:00:00,Short,00144,15.95,-1.12%,16.65,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",CHINA MER PORT,1D,,,,,,
2026-08-25 00:00:00,Short,00150,0.15,-4.70%,0.15,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HYPEBEAST,1D,,,,,,
2026-08-24 00:00:00,Short,00160,0.71,-2.74%,0.72,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HON KWOK LAND,1D,,,,,,
2026-08-24 00:00:00,Short,00184,2.33,-3.52%,2.36,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KECK SENG INV,1D,,,,,,
2026-08-24 00:00:00,Short,00184,2.33,-3.52%,2.36,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KECK SENG INV,1D,,,,,,
2026-08-25 00:00:00,Short,00205,0.52,-4.59%,0.57,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BFB HEALTH,1D,,,,,,
2026-08-25 00:00:00,Long,00210,0.32,3.23%,0.3,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DAPHNE INT'L,1D,,,,,,
2026-08-25 00:00:00,Long,00210,0.32,3.23%,0.3,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 70}}",DAPHNE INT'L,1D,,,,,,
2026-08-24 00:00:00,Short,00212,28.5,-1.72%,28.84,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NANYANG HOLD,1D,,,,,,
2026-08-24 00:00:00,Short,00212,28.5,-1.72%,28.84,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NANYANG HOLD,1D,,,,,,
2026-08-25 00:00:00,Short,00225,5.21,-2.98%,5.23,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",POKFULAM,1D,,,,,,
2026-08-25 00:00:00,Short,00225,5.21,-2.98%,5.23,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",POKFULAM,1D,,,,,,
2026-08-25 00:00:00,Long,00232,0.47,-1.06%,0.46,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CON AERO TECH,1D,压力释放,0.16-0.16-0.19-0.45-0.47,低-高-高-高,1.82%-19.75%-137.70%-3.33%,15.0,5.68
2026-08-24 00:00:00,Long,00237,2.19,4.91%,2.16,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SAFETY GODOWN,1D,,,,,,
2026-08-25 00:00:00,Short,00261,0.22,-2.24%,0.23,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GBA HOLDINGS,1D,,,,,,
2026-08-24 00:00:00,Short,00271,0.15,-2.53%,0.16,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ASIASEC PPT,1D,,,,,,
2026-08-25 00:00:00,Long,00272,0.41,2.47%,0.39,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",SHUI ON LAND,1D,,,,,,
2026-08-25 00:00:00,Long,00272,0.41,2.47%,0.39,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",SHUI ON LAND,1D,,,,,,
2026-08-25 00:00:00,Short,00303,50.5,-1.85%,52.4,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VTECH HOLDINGS,1D,,,,,,
2026-08-24 00:00:00,Short,00312,0.05,-21.67%,0.06,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SHIRBLE STORE,1D,,,,,,
2026-08-24 00:00:00,Short,00312,0.05,-21.67%,0.06,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SHIRBLE STORE,1D,,,,,,
2026-08-25 00:00:00,Short,00326,6.91,-5.73%,7.91,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHINA STAR ENT,1D,,,,,,
2026-08-25 00:00:00,Short,00360,0.03,0.00%,0.03,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NEW FOCUS AUTO,1D,一直释放,nan-0.04,低,nan%,95.0,37.5
2026-08-25 00:00:00,Short,00367,0.24,-3.21%,0.24,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHUANG'S INT'L,1D,,,,,,
2026-08-25 00:00:00,Short,00391,0.22,-3.11%,0.24,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",MEI AH ENTER,1D,,,,,,
2026-08-25 00:00:00,Short,00391,0.22,-3.11%,0.24,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",MEI AH ENTER,1D,,,,,,
2026-08-25 00:00:00,Short,00408,2.65,-1.85%,2.75,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",YIP'S CHEMICAL,1D,,,,,,
2026-08-25 00:00:00,Short,00408,2.65,-1.85%,2.75,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",YIP'S CHEMICAL,1D,,,,,,
2026-08-24 00:00:00,Long,00423,0.69,2.24%,0.68,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HKET HOLDINGS,1D,,,,,,
2026-08-25 00:00:00,Short,00474,0.15,-5.63%,0.16,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",ACESO LIFE SCI,1D,,,,,,
2026-08-25 00:00:00,Short,00474,0.15,-5.63%,0.16,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",ACESO LIFE SCI,1D,,,,,,
2026-08-25 00:00:00,Short,00491,0.02,-11.54%,0.02,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EMPEROR CULTURE,1D,,,,,,
2026-08-24 00:00:00,Long,00572,0.43,14.86%,0.41,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FW HOLDINGS,1D,,,,,,
2026-08-24 00:00:00,Long,00572,0.43,14.86%,0.41,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FW HOLDINGS,1D,一直释放,0.5-0.44-0.44-0.39-0.38,低-低-低-低,11.00%-1.12%-11.36%-3.85%,26.0,5.63
2026-08-24 00:00:00,Long,00572,0.43,14.86%,0.41,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FW HOLDINGS,1D,,,,,,
