日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-07-27 00:00:00,Long,09961,366.4,6.95%,319.73,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",TRIP.COM-S,1WK
2026-07-27 00:00:00,Long,09961,366.4,6.95%,319.73,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",TRIP.COM-S,1WK
2026-07-27 00:00:00,Long,09985,8.46,9.87%,6.93,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",WL DELICIOUS,1WK
2026-07-27 00:00:00,Long,09985,8.46,9.87%,6.93,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",WL DELICIOUS,1WK
2026-07-27 00:00:00,Long,09987,372.8,10.69%,313.78,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",YUM CHINA,1WK
2026-07-27 00:00:00,Long,09987,372.8,10.69%,313.78,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 12}}",YUM CHINA,1WK
2026-07-27 00:00:00,Long,09988,117.0,6.36%,96.35,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BABA-W,1WK
2026-07-27 00:00:00,Long,83690,92.5,6.69%,78.58,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MEITUAN-WR,1WK
2026-07-27 00:00:00,Long,83690,92.5,6.69%,78.58,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 10}}",MEITUAN-WR,1WK
2026-07-27 00:00:00,Long,89618,127.1,7.62%,109.72,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",JD-SWR,1WK
2026-07-27 00:00:00,Long,89988,117.0,6.36%,96.35,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BABA-WR,1WK
