日期,代码,名称,现价,涨幅(%),成交量,换手(%),条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-05-20,002925,盈趣科技,20.75,-1.05,74338.0,1.0,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true}, ""mfa"": {""mfa_streak"": 10}}",消费电子,148.16,140.36
2026-05-20,600651,飞乐音响,7.25,1.12,277412.0,1.0,fit,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true}, ""mfa"": {""mfa_streak"": 10}}",汽车零部件,179.75,179.75
