日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,交易所,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-05-17 08:00:00,Short,BTC-USDT,77430.4,-0.86%,80725.24,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BTC,1D,Binance,,,,,,
2026-05-17 08:00:00,Short,ETH-USDT,2129.88,-2.28%,2279.74,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ETH,1D,Binance,支撑释放,2772.97-1736.02-1796.0-1936.54-2218.83,低-高-高-高,37.39%-3.46%-7.83%-14.58%,18.0,9.18
2026-05-17 08:00:00,Short,ETH-USDT,2129.88,-2.28%,2279.74,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ETH,1D,Binance,,,,,,
