日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期,交易所
2026-09-17 08:00:00,Long,SPCX-USDT,155.13,2.01%,146.1,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,nan-228.0-149.72,低-低,nan%-34.33%,31.0,14.67,SPCX,1D,Binance
2026-09-17 08:00:00,Long,UNI-USDT,7.79,16.16%,5.99,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,UNI,1D,Binance
2026-09-17 08:00:00,Long,UNI-USDT,7.79,16.16%,5.99,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,6.57-4.21-4.17-3.73-4.58,低-低-低-高,35.94%-0.90%-10.58%-22.72%,48.0,44.69,UNI,1D,Binance
2026-09-17 08:00:00,Short,BZ-USDT,99.51,-0.96%,104.88,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,BZ,1D,Binance
2026-09-17 08:00:00,Long,AVA-USDT,0.26,67.91%,0.13,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,AVA,1D,Binance
2026-09-17 08:00:00,Long,AVA-USDT,0.26,67.91%,0.13,mfa,参数一,"{""mfa"": {""mfa_all"": 14}}",,,,,,,AVA,1D,Binance
2026-09-17 08:00:00,Long,AVA-USDT,0.26,67.91%,0.13,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,AVA,1D,Binance
2026-09-17 08:00:00,Long,AVA-USDT,0.26,67.91%,0.13,mfa,参数二,"{""mfa"": {""mfa_all"": 14}}",,,,,,,AVA,1D,Binance
2026-09-17 08:00:00,Long,INTC-USDT,109.64,6.67%,96.93,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,49.14-135.0-126.72-144.94-107.75,高-低-高-低,174.73%-6.13%-14.38%-25.66%,35.0,26.36,INTC,1D,Binance
2026-09-17 08:00:00,Long,GENIUS-USDT,0.36,18.83%,0.28,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,GENIUS,1D,Binance
2026-09-17 08:00:00,Long,GENIUS-USDT,0.36,18.83%,0.28,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,GENIUS,1D,Binance
2026-09-17 08:00:00,Long,COTI-USDT,0.03,46.78%,0.01,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,0.02-0.02-0.02-0.01-0.02,高-低-低-高,6.86%-1.75%-15.55%-53.94%,49.0,136.65,COTI,1D,Binance
2026-09-17 08:00:00,Long,VVV-USDT,25.7,8.38%,21.09,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,8.4-9.97-21.54-14.86-18.66,高-高-低-高,18.66%-116.09%-30.99%-25.55%,21.0,18.76,VVV,1D,Binance
2026-09-17 08:00:00,Short,BULLA-USDT,0.09,-19.80%,0.14,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,BULLA,1D,Binance
2026-09-17 08:00:00,Short,BULLA-USDT,0.09,-19.80%,0.14,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",,,,,,,BULLA,1D,Binance
2026-09-17 08:00:00,Long,CROSS-USDT,0.17,35.11%,0.11,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮绿,0.13-0.12-0.09-0.1-0.15,低-低-高-高,5.70%-23.42%-14.67%-46.53%,34.0,75.32,CROSS,1D,Binance
2026-09-17 08:00:00,Long,RAYSOL-USDT,1.47,5.75%,1.22,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,nan-1.28-0.73-0.89-0.76,低-低-高-低,nan%-43.11%-23.15%-15.38%,73.0,28.65,RAYSOL,1D,Binance
2026-09-17 08:00:00,Long,ZEN-USDT,7.31,8.13%,6.12,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,ZEN,1D,Binance
2026-09-17 08:00:00,Long,ZEN-USDT,7.31,8.13%,6.12,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,nan-14.23-6.99-8.18-4.54,低-低-高-低,nan%-50.85%-16.99%-44.52%,64.0,21.76,ZEN,1D,Binance
2026-09-17 08:00:00,Short,POWER-USDT,0.13,-2.73%,0.16,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,POWER,1D,Binance
2026-09-17 08:00:00,Long,PLTR-USDT,175.31,-0.01%,166.8,mfa,参数一,"{""mfa"": {""mfa_all"": 8}}",,,,,,,PLTR,1D,Binance
2026-09-17 08:00:00,Long,PLTR-USDT,175.31,-0.01%,166.8,mfa,参数二,"{""mfa"": {""mfa_all"": 8}}",,,,,,,PLTR,1D,Binance
2026-09-17 08:00:00,Long,INTW-USDT,26.67,13.15%,21.01,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,INTW,1D,Binance
2026-09-17 08:00:00,Long,G-USDT,0.0,12.63%,0.0,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,0.0-0.0-0.0-0.0-0.0,高-高-高-低,3.36%-6.34%-8.28%-9.55%,26.0,24.25,G,1D,Binance
2026-09-17 08:00:00,Long,VELVET-USDT,0.06,9.02%,0.0,mfa,参数一,"{""mfa"": {""mfa_all"": 25}}",,,,,,,VELVET,1D,Binance
2026-09-17 08:00:00,Long,VELVET-USDT,0.06,9.02%,0.0,mfa,参数二,"{""mfa"": {""mfa_all"": 25}}",,,,,,,VELVET,1D,Binance
2026-09-17 08:00:00,Long,MMT-USDT,0.14,13.57%,0.11,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,MMT,1D,Binance
2026-09-17 08:00:00,Long,MMT-USDT,0.14,13.57%,0.11,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",,,,,,,MMT,1D,Binance
2026-09-17 08:00:00,Long,DRIFT-USDT,0.02,30.26%,0.01,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,DRIFT,1D,Binance
2026-09-17 08:00:00,Long,DRIFT-USDT,0.02,30.26%,0.01,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,0.05-0.05-0.02-0.01-0.01,高-低-低-低,2.81%-52.43%-36.88%-1.47%,27.0,38.04,DRIFT,1D,Binance
2026-09-17 08:00:00,Long,DRIFT-USDT,0.02,30.26%,0.01,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,DRIFT,1D,Binance
2026-09-17 08:00:00,Long,BEAT-USDT,0.09,4.62%,-0.01,mfa,参数一,"{""mfa"": {""mfa_all"": 9}}",,,,,,,BEAT,1D,Binance
2026-09-17 08:00:00,Long,BEAT-USDT,0.09,4.62%,-0.01,mfa,参数二,"{""mfa"": {""mfa_all"": 9}}",,,,,,,BEAT,1D,Binance
2026-09-17 08:00:00,Long,KMNO-USDT,0.03,8.24%,0.02,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,KMNO,1D,Binance
2026-09-17 08:00:00,Short,STEEM-USDT,0.05,-4.93%,0.06,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,STEEM,1D,Binance
