日期,代码,名称,现价,涨幅(%),成交量,释放,TSQ,RSQ,STC,BSA,RPT,PSQ,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-09-16,002585,双星新材,12.17,0.91,3047690.0,一直释放,高-高-高-低,4.96%-0.97%-84.27%-23.45%,17.7[bull],24,33.52,7.86-8.25-8.33-15.35-11.75,34.0,11.39,79,📈ema📉adx📈rsi,n 11｜s 00｜d 44.95%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",塑料,83.2,64.63,-3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16,300151,昌红科技,20.58,9.0,435366.0,压力释放,高-高-高-低,26.80%-4.71%-40.52%-35.57%,30.79[bull],21,16.54,14.89-18.88-19.77-27.78-17.9,12.0,17.43,12,📈ema📉adx📈rsi,n 71｜s 00｜d 1.80%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,83.12,57.53,-2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16,300806,斯迪克,59.65,3.88,377097.0,压力释放,高-高-高-低,1.00%-52.07%-35.01%-56.24%,17.39[bull],21,19.54,60.28-60.88-92.58-124.99-54.7,8.0,52.6,12,📈ema📉adx🗒️rsi,n 80｜s 00｜d 1.78%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",塑料,201.04,140.24,-2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16,301183,东田微,302.41,14.25,78087.0,压力释放,低-高-低-低,8.38%-59.25%-6.92%-0.01%,62.21[bull],18,28.11,198.0-181.4-288.88-268.9-268.88,13.0,243.75,6,📈ema📈adx📈rsi,n 68｜s 00｜d 4.44%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光学光电子,127.95,93.8,-1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16,603002,宏昌电子,19.38,3.03,1035021.0,压力释放,低-高-高-低,3.79%-51.97%-122.45%-30.78%,25.73[bull],21,27.6,8.44-8.12-12.34-27.45-19.0,9.0,17.26,9,📈ema📉adx🗒️rsi,n 55｜s 00｜d 2.78%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电子化学品Ⅱ,117.26,117.26,-0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16,603115,海星股份,91.66,-1.33,103221.0,压力释放,低-高-高-低,2.38%-471.16%-8.61%-34.26%,12.79[bull],21,22.14,21.88-21.36-122.0-132.5-87.1,4.0,82.68,12,📈ema📉adx🗒️rsi,n 52｜s 00｜d 2.69%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,105.05,105.05,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
