日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期,交易所
2026-08-22 08:00:00,Long,TRUMP-USDT,2.47,32.28%,1.61,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮绿,nan-5.78-4.46-3.13-2.4,低-低-低-低,nan%-22.96%-29.85%-23.35%,70.0,75.79,TRUMP,1D,Binance
2026-08-22 08:00:00,Short,ASTER-USDT,0.66,-7.05%,0.81,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,ASTER,1D,Binance
2026-08-22 08:00:00,Short,ASTER-USDT,0.66,-7.05%,0.81,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,ASTER,1D,Binance
2026-08-22 08:00:00,Short,ASTER-USDT,0.66,-7.05%,0.81,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",,,,,,,ASTER,1D,Binance
2026-08-22 08:00:00,Short,TAO-USDT,223.93,-2.66%,263.43,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,TAO,1D,Binance
2026-08-22 08:00:00,Short,TAO-USDT,223.93,-2.66%,263.43,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",,,,,,,TAO,1D,Binance
2026-08-22 08:00:00,Short,1000SHIB-USDT,0.01,-6.25%,0.01,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,1000SHIB,1D,Binance
2026-08-22 08:00:00,Short,1000SHIB-USDT,0.01,-6.25%,0.01,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",,,,,,,1000SHIB,1D,Binance
2026-08-22 08:00:00,Short,ONG-USDT,0.07,-16.70%,0.11,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,ONG,1D,Binance
2026-08-22 08:00:00,Short,ONG-USDT,0.07,-16.70%,0.11,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",,,,,,,ONG,1D,Binance
2026-08-22 08:00:00,Short,XPL-USDT,0.1,-5.88%,0.12,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,XPL,1D,Binance
2026-08-22 08:00:00,Short,XPL-USDT,0.1,-5.88%,0.12,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",,,,,,,XPL,1D,Binance
2026-08-22 08:00:00,Short,NEIRO-USDT,0.0,-12.03%,0.0,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,NEIRO,1D,Binance
2026-08-22 08:00:00,Short,NEIRO-USDT,0.0,-12.03%,0.0,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",,,,,,,NEIRO,1D,Binance
2026-08-22 08:00:00,Long,MOVE-USDT,0.01,6.95%,0.01,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,MOVE,1D,Binance
2026-08-22 08:00:00,Long,MOVE-USDT,0.01,6.95%,0.01,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 41}}",,,,,,,MOVE,1D,Binance
2026-08-22 08:00:00,Short,ICP-USDT,2.4,-5.07%,2.86,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",,,,,,,ICP,1D,Binance
