日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-06-22 00:00:00,Long,MTZ,397.62,4.73%,366.06,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 12}}",MASTEC INC,1D,,,,,,
2026-06-22 00:00:00,Short,VRSK,168.31,-3.16%,180.65,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VERISK ANALYTICS INC,1D,,,,,,
2026-06-22 00:00:00,Long,DFTX,37.62,53.66%,32.79,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DEFINIUM THERAPEUTICS INC,1D,压力释放,nan-14.43-18.7-26.25,低-高-高,nan%-29.59%-40.37%,43.0,35.8
2026-06-22 00:00:00,Long,AER,147.0,1.34%,139.83,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",AERCAP HOLDINGS NV,1D,,,,,,
2026-06-22 00:00:00,Long,PTCT,81.01,2.58%,76.27,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PTC THERAPEUTICS INC,1D,一直亮绿,nan-87.5-73.79-79.91,低-低-高,nan%-15.67%-8.29%,29.0,18.98
2026-06-22 00:00:00,Long,ROIV,31.56,0.40%,30.34,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ROIVANT SCIENCES LTD,1D,,,,,,
2026-06-22 00:00:00,Long,HIVE,5.0,17.37%,4.02,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HIVE DIGITAL TECHNOLOGIES LT,1D,,,,,,
2026-06-22 00:00:00,Long,HIVE,5.0,17.37%,4.02,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HIVE DIGITAL TECHNOLOGIES LT,1D,,,,,,
2026-06-22 00:00:00,Long,TXRH,180.41,1.50%,171.96,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TEXAS ROADHOUSE INC,1D,,,,,,
2026-06-22 00:00:00,Short,SJM,107.68,-2.86%,113.73,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",JM SMUCKER CO/THE,1D,,,,,,
2026-06-22 00:00:00,Short,AVAV,151.94,-10.42%,175.8,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",AEROVIRONMENT INC,1D,一直亮红,nan-227.47-174.73-156.0,低-低-低,nan%-23.19%-10.72%,26.0,39.6
2026-06-22 00:00:00,Short,HUBS,171.36,-2.65%,193.29,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HUBSPOT INC,1D,一直亮红,344.41-360.4-207.2-187.45-173.25,高-低-低-低,4.64%-42.51%-9.53%-7.58%,26.0,51.45
