日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2024-09-25,000401,金隅冀东,fit,压力释放,5.43-4.32-4.58-4.4,低-高-低,20.44%-6.02%-3.93%,15,8.37,1.36,4.65,1.97,164877.0,1.0,4.44,14,📉ema📈res📉adx🗒️rsi,bull | 4.82% | 回补,,,98.18 | 94.9 | 1.03 | no,n 74｜s 00｜d 2.13%,3,红暗[-0.08]-红暗[-0.06]-红暗[-0.02]-绿亮[+0.01]-绿亮[+0.03]-绿亮[+0.08],低-低-低-低-低-高,是,68.92,5.1,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",水泥,129.46,128.15,6.88,8.6,17.85,19.35,9.03,10.54,7.74,13.98,10.75,13.98,10.32,10.97,9.89,10.97,12.04,11.61,13.98,18.49,15.48,23.44,25.59,24.09,24.3,27.96,29.46,33.12,27.53,26.24,24.73,23.01
2024-09-25,000498,山东路桥,fit,一直释放,5.33-5.7-5.62-5.04,高-低-低,6.94%-1.40%-10.32%,28,12.0,2.31,5.13,4.06,184752.0,1.0,4.85,10,📈ema📈res📉adx📈rsi,bull | 4.63% | 回补,,,100.0 | 91.74 | 1.09 | no,n 67｜s 00｜d 2.23%,6,红亮[-0.20]-红暗[-0.19]-红暗[-0.17]-红暗[-0.15]-红暗[-0.12]-红暗[-0.06],低-低-低-低-低-低,是,71.51,5.05,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",基础建设,89.27,83.34,4.29,6.24,14.42,20.47,9.36,14.42,9.55,12.28,10.14,16.37,9.75,10.92,12.28,14.04,16.18,14.42,14.81,16.57,13.65,15.59,21.64,20.08,21.64,25.54,25.54,30.99,28.07,26.71,24.17,23.78
2024-09-25,000501,武商集团,fit,压力释放,7.69-7.1-7.0-7.01,低-低-高,7.67%-1.41%-0.14%,18,13.61,1.25,7.11,2.89,114864.0,2.0,6.8,11,📈ema📈res📉adx🗒️rsi,bull | 2.50% | 未补,,,91.02 | 91.02 | 1.0 | no,n 65｜s 00｜d 1.27%,0,绿亮[+0.02]-绿亮[+0.05]-绿亮[+0.11]-绿亮[+0.17]-绿亮[+0.19]-绿亮[+0.23],低-低-低-低-低-低,是,67.56,7.1,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",一般零售,64.83,64.76,5.63,8.58,17.44,20.96,11.39,12.38,12.1,12.1,9.7,11.95,8.16,8.86,9.0,10.13,9.99,10.69,11.95,15.47,11.81,13.5,13.5,12.52,14.06,15.47,15.19,23.77,20.68,20.25,19.41,20.25
2024-09-25,000534,万泽股份,fit,一直释放,13.2-12.93-10.16-9.68,低-低-低,2.05%-21.42%-4.72%,16,13.75,1.77,9.69,2.43,37694.0,1.0,9.28,34,📉ema📈res📉adx🗒️rsi,bull | 3.25% | 未补,,,99.44 | 96.88 | 1.03 | no,n 69｜s 00｜d 5.72%,6,红暗[-0.44]-红暗[-0.42]-红暗[-0.33]-红暗[-0.23]-红暗[-0.16]-红暗[-0.05],低-低-低-低-低-低,否,64.18,10.76,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",生物制品,195.16,191.49,3.1,6.6,15.89,18.27,6.71,7.64,4.23,7.53,5.16,4.75,3.92,6.3,8.98,10.63,16.82,17.85,23.22,25.39,19.5,17.85,19.4,13.83,16.72,22.81,27.45,29.21,30.44,29.72,29.31,28.17
2024-09-25,000541,佛山照明,fit,压力释放,5.8-5.64-4.66-4.61,低-低-低,2.76%-17.38%-1.07%,16,9.76,1.26,4.68,1.96,183691.0,2.0,4.54,23,📉ema📈res📉adx🗒️rsi,bull | 4.27% | 未补,,,97.72 | 85.07 | 1.15 | no,n 85｜s 00｜d 1.10%,6,红亮[-0.06]-红亮[-0.07]-红暗[-0.06]-红暗[-0.05]-红暗[-0.05]-红暗[-0.02],低-低-低-低-低-低,是,65.13,5.16,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",照明设备Ⅱ,87.08,69.77,2.78,6.41,14.74,20.73,10.26,10.68,7.26,10.04,8.12,7.69,6.2,8.55,7.48,10.04,10.47,10.26,12.39,17.31,17.74,15.6,17.09,13.68,16.67,19.02,17.52,20.09,22.86,24.15,21.37,21.15
2024-09-25,000553,安道麦A,fit,压力释放,6.39-6.63-4.6-4.43,高-低-低,3.76%-30.62%-3.70%,13,8.05,1.14,4.78,4.37,117999.0,1.0,4.5,11,📉ema📈res📉adx🗒️rsi,bull | 6.16% | 回补,,,92.01 | 89.9 | 1.02 | no,n 75｜s 00｜d 1.36%,2,红暗[-0.02]-红暗[-0.02]-绿亮[+0.02]-绿亮[+0.03]-绿亮[+0.03]-绿亮[+0.07],低-低-低-低-低-高,是,69.0,5.72,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",农化制品,150.97,141.07,6.69,9.83,17.57,21.97,9.83,11.3,7.53,9.62,7.32,7.32,4.6,5.44,15.9,25.52,38.08,51.88,67.15,71.55,82.01,63.81,54.18,43.1,43.1,46.03,46.23,51.46,48.74,49.16,46.65,44.56
2024-09-25,000623,吉林敖东,fit,压力释放,14.37-14.04-13.87-13.02,低-低-低,2.30%-1.21%-6.13%,35,10.34,2.6,13.44,3.46,293661.0,2.0,12.97,6,📈ema📈res📉adx📈rsi,bull | 7.89% | 回补,,,88.89 | 81.5 | 1.09 | no,n 89｜s 29｜d 0.35%,3,红暗[-0.12]-红暗[-0.08]-红暗[-0.00]-绿亮[+0.04]-绿亮[+0.07]-绿亮[+0.21],低-低-低-低-低-低,是,76.16,13.14,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",中药Ⅱ,209.76,208.91,4.76,12.05,23.81,36.68,26.56,22.1,18.15,19.35,16.0,16.0,14.14,19.72,19.42,20.46,20.91,20.61,22.1,24.7,22.47,24.18,24.03,21.87,24.85,29.39,29.39,34.08,34.0,39.21,37.43,38.69
2024-09-25,000665,湖北广电,fit,压力释放,4.11-4.2-3.56-3.58,高-低-高,2.19%-15.24%-0.56%,16,7.83,1.68,3.75,1.63,344388.0,3.0,3.62,53,📉ema📈res📉adx🗒️rsi,no | no | 未补,,,100.0 | 98.46 | 1.02 | no,n 84｜s 00｜d 6.32%,2,红暗[-0.01]-红暗[-0.00]-绿亮[+0.02]-绿亮[+0.05]-绿亮[+0.08]-绿亮[+0.11],低-低-低-高-高-高,否,69.95,3.97,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",电视广播Ⅱ,56.74,56.74,2.4,4.27,12.0,14.4,2.93,2.13,-1.07,0.8,0.53,0.27,0.27,1.07,2.13,4.53,3.47,5.07,7.73,12.8,24.0,20.8,26.67,14.13,19.2,25.33,23.2,23.73,27.73,29.33,22.67,22.67
2024-09-25,000685,中山公用,fit,压力释放,7.62-7.77-6.71-7.16,高-低-高,1.97%-13.64%-6.71%,38,7.35,1.58,7.26,2.25,176179.0,1.0,7.07,18,📈ema📈res📉adx🗒️rsi,bull | 5.41% | 回补,,,80.05 | 62.09 | 1.29 | no,n 77｜s 00｜d 1.21%,5,红亮[-0.04]-红暗[-0.02]-红暗[-0.01]-红亮[-0.01]-红亮[-0.02]-绿亮[+0.03],低-低-低-低-低-低,是,69.72,6.87,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",环境治理,161.52,137.31,3.44,7.3,18.6,30.99,18.6,14.74,11.16,11.98,9.09,10.06,8.95,13.36,11.43,12.81,12.81,12.53,13.22,14.33,13.09,12.26,16.12,14.6,15.98,19.15,17.91,23.14,21.35,22.18,20.52,19.28
2024-09-25,000688,国城矿业,fit,压力释放,11.24-14.76-10.87-9.82,高-低-低,31.32%-26.36%-9.66%,16,12.61,1.29,9.96,0.2,64146.0,1.0,9.62,28,📉ema📈res📈adx🗒️rsi,bull | 5.40% | 未补,,,100.0 | 98.74 | 1.01 | no,n 84｜s 00｜d 6.16%,6,红亮[-0.31]-红亮[-0.33]-红暗[-0.29]-红暗[-0.23]-红暗[-0.18]-红暗[-0.02],低-低-低-低-低-高,否,64.02,10.67,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",工业金属,502.94,502.94,3.31,11.24,22.39,32.33,19.48,17.97,12.65,17.17,13.86,20.18,15.66,18.47,21.49,22.19,22.89,21.29,22.39,24.9,22.79,20.78,20.28,19.58,19.68,25.1,24.2,22.59,19.38,22.79,26.71,30.72
