日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2024-02-08,000521,长虹美菱,fit,一直释放,7.61-5.71-5.6-5.98,低-低-高,24.97%-1.93%-6.79%,60,24.07,-0.22,7.58,8.44,387602.0,4.0,6.24,45,📈ema📈res📈adx📈rsi,no | no | 未补,,,46.18 | 26.16 | 1.77 | no,n 44｜s 00｜d 23.61%,0,绿暗[+0.92]-绿暗[+0.86]-绿暗[+0.73]-绿暗[+0.58]-绿暗[+0.52]-绿暗[+0.50],高-高-高-高-高-高,否,72.03,5.91,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",白色家电,62.83,53.41,-1.32,7.52,4.62,4.49,2.9,2.9,5.54,1.58,3.3,8.05,16.36,11.87,10.82,12.4,12.14,12.53,7.26,8.58,9.5,9.23,8.18,5.8,4.62,3.03,7.12,6.86,3.17,7.12,11.87,14.25
2024-02-08,600285,羚锐制药,fit,压力释放,14.18-16.57-15.78-15.96,高-低-高,16.85%-4.77%-1.14%,40,11.06,2.17,17.37,-0.86,142597.0,3.0,16.11,14,📈ema📈res📉adx🗒️rsi,bull | 0.66% | 未补,,,97.91 | 83.07 | 1.18 | no,n 82｜s 00｜d 1.06%,4,红亮[-0.11]-红暗[-0.07]-红亮[-0.13]-红亮[-0.14]-绿亮[+0.04]-绿亮[+0.33],低-低-低-低-高-高,否,65.75,14.64,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",中药Ⅱ,126.35,126.07,-1.38,3.74,0.58,0.75,-0.4,2.07,3.45,-0.52,5.81,6.68,12.84,13.41,11.28,10.77,11.74,12.49,6.62,6.33,9.44,9.96,10.82,7.83,9.04,10.82,11.0,9.38,10.65,10.65,12.72,13.7
2024-02-08,603338,浙江鼎力,fit,压力释放,52.55-52.12-54.0-53.68,低-高-低,0.82%-3.61%-0.59%,17,14.16,1.57,57.24,0.1,71699.0,1.0,54.24,6,📈ema📈res📉adx📈rsi,bull | 5.71% | 未补,,,88.92 | 68.29 | 1.3 | no,n 69｜s 00｜d 1.83%,5,红亮[-0.25]-红亮[-0.51]-红亮[-0.79]-红亮[-0.85]-红暗[-0.43]-绿亮[+0.48],低-低-低-低-高-高,否,72.39,49.69,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",工程机械,249.28,249.28,-2.25,-1.57,-1.05,-1.38,-3.51,-3.97,-2.24,-3.06,-0.37,-1.68,-0.47,1.24,-0.38,-0.42,0.28,2.18,-0.17,0.61,0.03,-1.52,-2.1,-1.45,-1.45,-3.14,-5.49,-3.49,-3.14,-4.65,-5.52,-3.39
