日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2024-05-15,000902,新洋丰,fit,一直释放,11.08-11.09-10.71-10.52,高-低-低,0.09%-3.43%-1.77%,37,7.13,0.83,12.25,5.97,292485.0,3.0,11.15,29,📈ema📈res📈adx📈rsi,no | no | 未补,,,70.9 | 64.23 | 1.1 | no,n 48｜s 00｜d 9.29%,0,绿亮[+0.52]-绿暗[+0.50]-绿暗[+0.50]-绿暗[+0.49]-绿暗[+0.49]-绿暗[+0.48],高-高-高-高-高-高,是,78.85,10.53,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",农化制品,199.38,181.59,-1.47,1.22,-0.24,-1.22,-0.41,-2.86,-1.96,-1.47,-2.37,-1.88,-2.12,-2.61,-4.0,-1.39,-4.0,-2.86,-2.86,-3.51,-2.94,-4.65,-4.0,-3.02,-2.04,-4.41,-5.22,-5.06,-6.04,-3.51,-3.84,-6.37
2024-05-15,002683,广东宏大,fit,压力释放,21.19-18.93-19.93-21.53,低-高-高,10.67%-5.28%-8.03%,19,10.47,0.96,22.82,1.83,173828.0,3.0,21.09,7,📈ema📈res📈adx📈rsi,bull | 3.65% | 未补,,,79.58 | 63.1 | 1.26 | no,n 87｜s 00｜d 1.23%,4,绿暗[+0.12]-红亮[-0.05]-红亮[-0.13]-红亮[-0.15]-红亮[-0.19]-绿亮[+0.04],低-低-低-低-低-高,是,72.02,19.88,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",化学制品,307.3,269.56,-4.29,-3.42,0.13,-5.08,-6.49,-10.12,-9.33,-8.59,-10.56,-8.81,-8.37,-8.46,-11.13,-9.82,-9.9,-12.14,-12.53,-11.22,-9.9,-11.79,-11.57,-13.32,-12.31,-13.63,-15.25,-14.72,-16.26,-16.87,-16.04,-17.75
2024-05-15,605368,蓝天燃气,fit,压力释放,9.43-9.75-11.87-11.95,高-高-高,3.39%-21.74%-0.67%,16,11.68,1.8,12.43,0.0,43263.0,2.0,11.78,20,📈ema📈res📉adx🗒️rsi,no | no | 未补,,,100.0 | 87.4 | 1.14 | no,n 76｜s 00｜d 2.08%,5,红亮[-0.32]-红亮[-0.36]-红暗[-0.34]-红暗[-0.30]-红暗[-0.15]-绿亮[+0.06],低-低-低-低-高-高,否,67.43,9.07,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",燃气Ⅱ,59.53,59.53,-3.3,-1.93,0.32,-0.56,-2.65,-3.94,-3.06,-2.25,-0.88,-1.93,-2.82,-3.14,-3.14,-1.61,-4.59,-5.79,-3.22,-2.82,-2.74,-5.55,-3.14,-4.34,-4.34,-3.7,-3.78,-1.21,-2.25,-0.56,-1.61,-1.05
