日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2024-04-18,003006,百亚股份,fit,压力释放,19.72-16.93-13.8-16.67,低-低-高,14.15%-18.49%-20.80%,115,55.79,0.45,17.39,4.44,45624.0,1.0,15.83,7,📈ema📈res📈adx🗒️rsi,bull | 0.49% | 未补,,,56.04 | 37.65 | 1.49 | no,n 79｜s 00｜d 2.23%,0,绿亮[+0.61]-绿暗[+0.58]-绿暗[+0.58]-绿暗[+0.54]-绿暗[+0.46]-绿亮[+0.55],低-低-低-低-低-高,是,68.6,14.56,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",个护用品,75.32,75.13,-1.21,9.32,15.18,13.46,15.58,19.15,18.29,21.05,23.63,24.84,26.8,29.1,25.07,29.44,34.5,34.96,32.43,32.26,33.12,34.56,32.89,32.09,30.99,34.27,32.09,32.83,33.47,32.6,31.4,33.29
2024-04-18,603279,景津装备,fit,压力释放,23.18-21.36-19.74-19.63,低-低-低,7.85%-7.58%-0.56%,21,8.75,0.81,21.83,10.81,109538.0,2.0,18.97,24,📈ema📈res📉adx📈rsi,bull | 1.13% | 回补,,,67.58 | 54.72 | 1.23 | no,n 83｜s 00｜d 3.27%,3,红暗[-0.15]-红暗[-0.08]-红暗[-0.03]-绿亮[+0.03]-绿暗[+0.03]-绿亮[+0.22],低-低-低-低-低-高,是,72.16,21.79,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",通用设备,96.2,96.2,-2.98,-1.19,-2.06,-3.53,-0.09,-0.64,-1.88,-0.78,4.95,2.66,1.79,2.2,-0.78,-1.24,0.92,1.37,0.05,-1.79,-2.2,-3.11,-4.54,-5.86,-6.73,-5.36,-7.47,-6.5,-6.0,-5.77,-6.92,-5.41
2024-04-18,605009,豪悦护理,fit,压力释放,28.12-26.22-26.12-26.68,低-低-高,6.76%-0.38%-2.14%,19,12.2,1.26,28.72,3.2,26269.0,2.0,26.4,25,📈ema📈res📉adx🗒️rsi,bull | 4.98% | 未补,,,83.64 | 61.62 | 1.36 | no,n 83｜s 00｜d 3.68%,6,红亮[-0.04]-红暗[-0.04]-红亮[-0.38]-红亮[-0.42]-红亮[-0.43]-红暗[-0.04],低-低-低-低-低-高,否,65.54,27.02,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",个护用品,61.4,61.39,-2.82,3.66,1.43,4.67,3.34,2.02,5.57,5.64,4.18,3.03,0.77,5.81,3.97,4.91,12.26,12.4,10.2,9.4,8.64,10.27,3.73,2.3,1.81,2.65,3.34,6.69,8.46,8.36,6.65,8.18
