日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2024-11-26,000417,合百集团,fit,压力释放,4.18-4.27-5.38-5.53,高-高-高,2.15%-26.00%-2.79%,21,11.72,0.96,5.67,-3.41,402108.0,5.0,5.41,8,📈ema📈res📈adx🗒️rsi,no | no | 未补,,,84.55 | 85.87 | 0.98 | no,n 64｜s 00｜d 2.23%,0,绿暗[+0.03]-绿暗[+0.01]-绿暗[+0.01]-绿亮[+0.01]-绿亮[+0.04]-绿亮[+0.15],低-低-低-低-高-高,否,64.93,4.4,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",一般零售,53.11,53.05,3.88,8.99,12.87,12.17,16.23,13.23,11.82,13.76,9.17,12.7,20.28,26.81,18.87,22.22,10.93,10.05,8.47,8.29,3.17,4.23,2.12,5.29,8.29,10.58,10.58,21.87,9.52,-0.53,-1.59,0.0
2024-11-26,002292,奥飞娱乐,fit,压力释放,6.55-6.37-5.98-7.69,低-低-高,2.75%-6.12%-28.60%,25,17.94,2.5,9.23,10.01,1768469.0,17.0,8.22,8,📈ema📈res📈adx📈rsi,bull | 6.30% | 回补,,,89.5 | 77.13 | 1.16 | no,n 63｜s 00｜d 1.78%,0,绿暗[+0.13]-绿暗[+0.04]-绿亮[+0.05]-绿亮[+0.08]-绿亮[+0.12]-绿亮[+0.30],低-低-低-高-高-高,否,74.18,6.53,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",文娱用品,114.01,78.48,2.93,10.29,0.33,0.87,4.88,-2.49,4.01,5.09,2.6,12.89,17.12,22.1,28.28,27.41,14.63,11.05,5.74,6.07,-3.58,-1.84,-4.98,-3.14,2.82,0.43,-6.28,-4.66,-13.33,-16.03,-12.57,-10.51
2024-11-26,605050,福然德,fit,压力释放,8.29-7.9-10.0-9.5,低-高-低,4.70%-26.58%-5.00%,12,8.45,0.82,10.11,10.37,163945.0,3.0,8.83,19,📈ema📈res📉adx📈rsi,no | no | 回补,,,69.4 | 65.81 | 1.05 | no,n 85｜s 00｜d 0.53%,3,红亮[-0.13]-红暗[-0.09]-红暗[-0.03]-绿亮[+0.02]-绿亮[+0.04]-绿亮[+0.09],低-低-低-低-低-低,是,73.68,9.11,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",物流,72.25,72.25,-3.56,-4.75,-5.34,-4.85,-3.46,-3.76,0.0,-1.09,-1.19,-2.37,-2.77,-1.19,-2.37,-3.76,-7.81,-6.73,-5.14,-4.95,-7.42,-1.78,-2.67,-1.58,-3.26,-5.74,-7.52,-7.22,-8.01,-6.43,-6.03,-7.62
