日期,信号,代码,名称,现价,涨幅,止损,策略,参组,参数,周期
2026-06-29 00:00:00,Long,02650,ZHIDA TECH,13.95,18.22%,2.8,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,02714,MUYUAN,31.94,9.91%,24.98,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,02714,MUYUAN,31.94,9.91%,24.98,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Short,02718,MININGLAMP-W,199.6,-8.52%,289.22,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,03306,JNBY,17.74,2.31%,15.55,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,03306,JNBY,17.74,2.31%,15.55,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Short,03396,LEGENDHOLDING,13.31,-9.23%,16.22,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,03690,MEITUAN-W,70.85,10.27%,58.55,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,03690,MEITUAN-W,70.85,10.27%,58.55,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,03692,HANSOH PHARMA,31.52,10.68%,25.78,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
