日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期
2026-06-29 00:00:00,Long,LLY,1229.93,1.81%,1165.19,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,1108.23-1130.12-1110.23-975.0-1182.73,高-低-低-高,1.97%-1.76%-12.18%-21.31%,14.0,9.59,Eli Lilly,1D
2026-06-29 00:00:00,Long,LLY,1229.93,1.81%,1165.19,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,nan-1108.23-1130.12-1110.23,低-高-低,nan%-1.97%-1.76%,99.0,30.76,Eli Lilly,1D
2026-06-29 00:00:00,Long,MYRG,501.13,4.85%,439.18,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,nan-241.13-236.63-290.87-484.71,低-低-高-高,nan%-1.87%-22.92%-66.64%,21.0,20.44,MYR Group,1D
2026-06-29 00:00:00,Short,CAPR,23.8,-9.98%,28.95,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Capricor Therapeutics,1D
2026-06-29 00:00:00,Long,MXL,108.47,12.29%,84.42,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,18.4-19.64-20.82-20.15-106.28,高-高-低-高,6.74%-6.01%-3.22%-427.44%,23.0,56.82,MaxLinear,1D
2026-06-29 00:00:00,Long,MXL,108.47,12.29%,84.42,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,MaxLinear,1D
2026-06-29 00:00:00,Short,NNE,21.32,7.30%,24.11,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",支撑释放,23.61-23.4-18.93-21.77-21.72,低-低-高-低,0.89%-19.10%-15.00%-0.24%,27.0,45.46,NANO Nuclear Energy,1D
2026-06-29 00:00:00,Long,PINS,21.88,5.09%,19.88,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Pinterest,1D
2026-06-29 00:00:00,Long,ITA,239.13,0.99%,232.81,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,220.49-244.43-250.31-236.49-235.97,高-高-低-低,10.86%-2.41%-5.52%-0.22%,21.0,5.18,iShares US Aerospace and Defense ETF,1D
2026-06-29 00:00:00,Long,QYLD,18.24,2.13%,17.63,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,nan-17.02-17.09,低-高,nan%-0.39%,71.0,5.94,Global X NASDAQ 100 Covered Call ETF,1D
2026-06-29 00:00:00,Short,WMT,114.6,-0.94%,119.6,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Walmart,1D
2026-06-29 00:00:00,Long,IRDM,54.59,25.44%,47.42,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Iridium Communications,1D
