日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-06-18 00:00:00,Short,SAP,155.85,-1.85%,163.07,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SAP,1D,一直亮红,236.0-185.99-184.73-157.91-158.58,低-低-低-高,21.19%-0.68%-14.52%-0.42%,25.0,23.84
2026-06-18 00:00:00,Short,SAP,155.85,-1.85%,163.07,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SAP,1D,一直亮红,244.08-229.52-185.99-157.91-158.58,低-低-低-高,5.96%-18.97%-15.09%-0.42%,25.0,23.84
2026-06-18 00:00:00,Short,JNJ,230.6,-1.54%,237.33,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Johnson & Johnson,1D,,,,,,
2026-06-18 00:00:00,Long,ENTG,166.35,5.73%,152.55,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Entegris,1D,一直亮绿,nan-101.22-98.08-142.4-159.04,低-低-高-高,nan%-3.10%-45.19%-11.68%,38.0,30.36
2026-06-18 00:00:00,Long,ADI,431.53,4.12%,408.32,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Analog Devices,1D,,,,,,
2026-06-18 00:00:00,Long,TTMI,215.45,6.29%,198.93,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TTM Technologies,1D,压力释放,111.0-113.46-111.18-180.0-200.68,高-低-高-高,2.22%-2.01%-61.90%-11.49%,17.0,23.65
2026-06-18 00:00:00,Long,CAT,988.93,3.45%,946.66,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Caterpillar,1D,压力释放,nan-593.69-624.85-788.31-931.35,低-高-高-高,nan%-5.25%-26.16%-18.15%,29.0,10.15
2026-06-18 00:00:00,Long,DELL,427.29,1.90%,395.11,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Dell Technologies,1D,,,,,,
2026-06-18 00:00:00,Long,TSM,449.0,3.90%,421.23,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Taiwan Semiconductor Manufacturing,1D,,,,,,
2026-06-18 00:00:00,Long,NBIS,285.79,1.74%,259.27,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Nebius Group,1D,压力释放,110.5-132.3-168.71-233.73-278.84,高-高-高-高,19.73%-27.52%-38.54%-19.30%,12.0,39.21
