日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,交易所
2026-07-26 08:00:00,Short,CL-USDT,84.99,-2.19%,91.02,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CL,1D,Binance
2026-07-26 08:00:00,Short,BZ-USDT,87.71,-2.26%,93.52,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BZ,1D,Binance
