日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-07-16 00:00:00,Short,UCTT,94.34,-7.61%,119.01,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ULTRA CLEAN HOLDINGS INC,1WK
2026-07-16 00:00:00,Short,SYNA,116.06,-4.55%,133.44,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SYNAPTICS INC,1WK
2026-07-16 00:00:00,Long,TRGP,285.16,2.52%,262.29,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TARGA RESOURCES CORP,1WK
2026-07-16 00:00:00,Short,CDNS,331.9,-10.66%,398.99,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CADENCE DESIGN SYS INC,1WK
2026-07-16 00:00:00,Short,AGX,592.92,-2.68%,691.15,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ARGAN INC,1WK
2026-07-16 00:00:00,Long,HQY,97.24,2.28%,88.56,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HEALTHEQUITY INC,1WK
2026-07-16 00:00:00,Short,MCHP,81.97,-4.97%,94.04,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MICROCHIP TECHNOLOGY INC,1WK
2026-07-16 00:00:00,Long,BIYA,8.43,153.92%,-5.2,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",BAIYA INTERNATIONAL GROUP-A,1WK
2026-07-16 00:00:00,Long,BIYA,8.43,153.92%,-5.2,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",BAIYA INTERNATIONAL GROUP-A,1WK
2026-07-16 00:00:00,Long,CRM,169.54,1.52%,148.87,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",SALESFORCE INC,1WK
2026-07-16 00:00:00,Long,CRM,169.54,1.52%,148.87,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",SALESFORCE INC,1WK
2026-07-16 00:00:00,Short,STAA,25.02,-12.19%,32.82,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",STAAR SURGICAL CO,1WK
