日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,ATH,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2025-12-12,002430,杭氧股份,fit,一直释放,23.08-25.76-28.71-30.48,高-高-高,11.61%-11.45%-6.17%,19,17.68,1.55,30.58,6.25,338366.0,3.0,27.69,10,📈ema📈res📈adx🗒️rsi,no | no | 回补,24.44,25.12,87.23 | 85.02 | 1.03 | no,n 42｜s 00｜d 0.68%,6,红暗[-1.75]-红暗[-1.51]-红暗[-1.13]-红暗[-0.86]-红暗[-0.51]-红暗[-0.17],低-低-低-低-低-低,是,否,65.43,22.46,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制品,281.18,281.07,-0.16,-4.91,-5.26,-6.34,-1.28,-1.5,-3.34,-2.29,1.05,1.31,0.33,-1.86,-2.32,0.07,3.27,3.92,7.39,8.76,12.72,4.84,3.83,4.61,4.32,9.48,5.33,5.95,7.59,9.45,5.1,5.13
2025-12-12,002639,雪人集团,fit,压力释放,12.55-12.35-11.79-17.09,低-低-高,1.59%-4.53%-44.95%,18,32.07,1.88,18.16,9.99,1851376.0,28.0,15.55,9,📈ema📈res📈adx📈rsi,bull | 6.24% | 未补,11.84,53.38,84.34 | 80.71 | 1.05 | no,n 40｜s 00｜d 4.20%,5,红亮[-0.56]-红暗[-0.49]-红暗[-0.30]-红暗[-0.15]-红亮[-0.22]-绿亮[+0.03],低-低-低-低-低-低,否,是,72.16,10.65,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,131.73,110.93,10.02,5.18,8.04,1.82,12.0,6.99,4.57,6.99,8.87,13.38,6.83,6.83,2.42,7.65,9.91,20.93,33.04,35.3,48.84,50.39,48.24,33.43,20.1,21.31,14.98,14.1,25.5,29.07,21.2,18.94
2025-12-12,300487,蓝晓科技,fit,压力释放,51.12-55.71-59.81-57.47,高-高-低,8.97%-7.37%-3.92%,16,12.51,3.07,61.52,12.69,167534.0,5.0,52.01,41,📈ema📈res📉adx📈rsi,no | no | 回补,52.12,18.04,100.0 | 86.72 | 1.15 | no,n 76｜s 00｜d 7.19%,6,红亮[-1.02]-红亮[-1.19]-红亮[-1.21]-红亮[-1.21]-红暗[-0.99]-红暗[-0.57],低-低-低-低-低-低,是,是,71.89,50.56,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",塑料,345.29,208.9,-3.02,-3.59,-2.15,-2.8,-1.27,-1.19,-0.88,0.16,-0.49,1.27,0.76,0.47,0.37,4.62,5.64,12.0,8.37,8.78,14.95,13.9,16.71,16.37,18.63,19.47,18.66,16.66,18.08,16.35,12.79,14.26
2025-12-12,301286,侨源股份,fit,一直释放,30.75-29.3-29.33-28.5,低-高-低,4.72%-0.10%-2.83%,36,6.98,0.7,44.92,16.89,116292.0,7.0,36.26,24,📈ema📈res📈adx📈rsi,no | no | 未补,30.06,49.43,39.84 | 24.98 | 1.59 | no,n 06｜s 00｜d 26.89%,0,绿亮[+4.76]-绿暗[+4.68]-绿暗[+4.44]-绿暗[+4.30]-绿暗[+3.88]-绿暗[+3.63],高-高-高-高-高-高,是,是,75.32,28.19,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制品,182.45,73.54,4.94,3.07,3.27,5.43,6.26,6.03,4.88,3.9,-1.4,-3.32,-6.63,-7.1,-5.85,-5.5,-2.65,2.07,3.52,3.5,15.56,5.54,2.54,2.72,18.61,17.16,13.2,20.81,44.97,38.74,33.66,34.11
