日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,ATH,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2025-02-14,000766,通化金马,fit,压力释放,18.18-16.45-16.66-16.13,低-高-低,9.52%-1.28%-3.18%,26,13.51,1.18,16.29,1.75,275265.0,3.0,15.5,26,📈ema📈res📉adx🗒️rsi,no | no | 回补,,,100.0 | 91.01 | 1.1 | no,n 84｜s 00｜d 4.51%,2,红暗[-0.23]-红暗[-0.11]-绿亮[+0.00]-绿亮[+0.10]-绿亮[+0.24]-绿亮[+0.42],低-低-低-低-高-高,否,否,68.07,15.45,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制药,191.37,191.27,-0.43,-1.53,-2.52,-2.89,-4.24,-1.66,-2.33,-1.6,-0.98,-2.76,-1.29,-0.49,5.16,7.12,5.71,12.58,7.12,7.55,5.52,6.26,5.65,6.14,8.23,7.86,9.64,9.76,10.19,10.93,12.28,9.64
2025-02-14,002091,江苏国泰,fit,压力释放,7.96-7.84-7.61-6.85,低-低-低,1.51%-2.93%-9.99%,13,3.95,1.55,7.37,5.14,779880.0,5.0,6.79,8,📈ema📈res📉adx📈rsi,bull | 3.26% | 回补,,,93.97 | 83.44 | 1.13 | no,n 92｜s 00｜d 0.52%,0,绿亮[+0.07]-绿亮[+0.10]-绿亮[+0.11]-绿亮[+0.12]-绿亮[+0.13]-绿亮[+0.17],低-低-低-低-低-高,是,否,72.5,6.57,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",贸易Ⅱ,152.19,149.3,-4.21,-3.93,-4.21,-4.75,-3.8,-2.71,-4.21,-3.12,-1.09,-1.63,0.54,-1.36,-2.04,-1.63,-1.63,0.68,2.17,0.81,1.76,1.49,0.41,-0.41,-1.76,-2.17,-1.76,-2.58,-1.22,-1.09,-1.49,-3.39
2025-02-14,002208,合肥城建,fit,压力释放,6.48-8.5-10.76-7.03,高-高-低,31.17%-26.59%-34.67%,12,9.33,1.45,7.91,10.01,746486.0,9.0,6.75,8,📈ema📈res📉adx🗒️rsi,bull | 1.29% | 回补,,,100.0 | 92.54 | 1.08 | no,n 68｜s 00｜d 1.21%,0,绿亮[+0.06]-绿亮[+0.11]-绿亮[+0.16]-绿暗[+0.15]-绿亮[+0.19]-绿亮[+0.24],低-低-低-低-低-高,是,否,69.08,6.02,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",房地产开发,101.13,101.11,-0.76,1.39,2.4,-0.13,-0.63,-2.65,-5.18,-4.3,-4.93,-2.91,0.13,-0.63,-2.4,-1.64,-5.69,-9.36,-10.87,-12.52,-13.78,-11.76,-12.9,-11.25,-12.26,-13.27,-14.54,-15.3,-16.56,-15.17,-15.68,-16.18
2025-02-14,300145,南方泵业,fit,压力释放,3.52-3.93-4.26-3.89,高-高-低,11.65%-8.40%-8.69%,13,13.08,1.24,3.99,0.0,1636107.0,9.0,3.66,8,📈ema📈res📉adx🗒️rsi,no | no | 未补,,,100.0 | 99.02 | 1.01 | no,n 28｜s 00｜d 3.44%,0,绿亮[+0.12]-绿亮[+0.15]-绿亮[+0.16]-绿亮[+0.18]-绿亮[+0.21]-绿亮[+0.24],低-低-低-低-高-高,否,否,63.8,2.98,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,84.49,84.08,0.0,-5.76,-3.76,-4.26,7.02,7.52,12.53,10.53,7.52,1.5,2.01,8.77,12.28,13.28,7.52,8.27,10.03,13.03,12.03,13.53,10.28,16.29,12.78,11.53,7.27,6.27,5.51,6.27,4.01,0.5
2025-02-14,600153,建发股份,fit,压力释放,10.53-9.68-10.09-9.5,低-高-低,8.07%-4.24%-5.85%,13,6.5,0.79,9.86,1.02,336137.0,1.0,9.43,7,📈ema📈res📉adx🗒️rsi,bull | 3.74% | 回补,,,100.0 | 93.78 | 1.07 | no,n 91｜s 27｜d 0.36%,2,红暗[-0.07]-红暗[-0.00]-绿亮[+0.05]-绿亮[+0.09]-绿亮[+0.15]-绿亮[+0.26],低-低-低-低-低-高,否,否,65.23,8.44,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",物流,262.41,262.41,1.62,-0.61,-2.54,-3.96,-4.26,-1.52,-0.61,2.23,2.54,1.83,1.22,1.72,-0.2,0.3,-1.52,-1.62,-2.13,-1.32,0.41,0.41,3.35,1.93,2.43,0.3,0.71,0.91,2.23,3.45,2.43,2.54
2025-02-14,600563,法拉电子,fit,压力释放,91.23-138.56-132.99-123.51,高-低-低,51.88%-4.02%-7.13%,13,10.09,0.86,123.71,0.43,12236.0,1.0,117.37,23,📈ema📈res📉adx🗒️rsi,no | no | 未补,,,88.33 | 85.22 | 1.04 | no,n 89｜s 00｜d 2.56%,0,绿暗[+3.03]-绿亮[+3.06]-绿暗[+2.59]-绿亮[+3.16]-绿亮[+4.11]-绿亮[+4.81],低-低-低-低-高-高,否,否,57.44,98.39,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,321.03,321.03,-6.03,-5.05,-5.17,-6.88,-5.63,-7.77,-7.44,-3.69,-0.98,-2.76,2.51,1.59,-0.03,-0.61,-2.34,2.65,3.18,2.8,1.04,0.18,0.78,-2.18,-2.19,-2.03,-1.38,-10.52,-11.49,-11.2,-12.42,-11.97
2025-02-14,603225,新凤鸣,fit,压力释放,13.68-11.9-11.38-12.13,低-低-高,13.01%-4.37%-6.59%,14,9.18,0.77,12.44,1.8,247538.0,2.0,11.74,10,📈ema📈res📉adx🗒️rsi,no | no | 未补,,,90.11 | 78.51 | 1.15 | no,n 75｜s 00｜d 1.75%,3,绿暗[+0.05]-红亮[-0.02]-红亮[-0.06]-红亮[-0.08]-绿亮[+0.05]-绿亮[+0.13],低-低-低-低-高-高,否,否,66.61,12.27,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学纤维,283.16,281.65,-0.16,-3.14,-2.73,-1.13,-0.8,-1.21,-2.33,0.32,3.94,2.33,0.64,-0.48,-2.57,-2.17,-0.96,-2.81,-3.05,-3.62,-3.78,-3.22,-2.73,-3.3,-4.74,-5.23,-6.99,-6.43,-4.34,-4.02,-3.62,-5.39
2025-02-14,603477,巨星农牧,fit,压力释放,23.59-21.81-21.02-17.05,低-低-低,7.55%-3.62%-18.89%,12,7.84,0.82,17.81,0.34,408607.0,8.0,17.07,7,📉ema📈res📉adx🗒️rsi,bull | 9.42% | 未补,,,80.72 | 66.23 | 1.22 | no,n 97｜s 00｜d 1.03%,1,红暗[-0.18]-绿亮[+0.04]-绿亮[+0.22]-绿亮[+0.29]-绿亮[+0.33]-绿亮[+0.61],低-低-低-低-低-高,是,否,61.08,22.8,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",养殖业,86.05,86.05,-0.51,5.5,8.48,4.6,3.31,2.75,-1.4,-0.17,-1.29,-4.04,-3.26,-0.73,-2.36,-2.58,-0.45,0.34,8.14,5.22,6.18,6.46,6.12,5.84,4.94,3.48,4.66,8.48,12.02,15.72,15.5,13.53
2025-02-14,603663,三祥新材,fit,压力释放,15.74-18.43-20.27-18.34,高-高-低,17.09%-9.98%-9.52%,20,11.69,1.35,19.79,4.1,291849.0,7.0,18.11,27,📈ema📈res📈adx📈rsi,bull | 2.94% | 未补,,,99.41 | 94.54 | 1.05 | no,n 74｜s 00｜d 6.78%,0,绿亮[+0.58]-绿暗[+0.58]-绿亮[+0.64]-绿亮[+0.66]-绿亮[+0.71]-绿亮[+0.84],低-低-低-低-高-高,是,否,71.12,15.8,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学原料,174.74,174.54,1.82,-1.57,1.36,5.86,8.29,6.67,7.33,18.09,27.99,40.83,38.61,24.71,26.38,30.77,25.47,28.04,25.32,22.69,20.77,23.7,30.67,32.09,28.15,23.45,16.78,15.97,16.52,15.31,14.2,17.13
2025-02-14,605589,圣泉集团,fit,一直释放,22.94-24.99-24.8-26.69,高-低-高,8.94%-0.76%-7.62%,11,12.43,0.26,27.25,7.62,256720.0,3.0,24.06,14,📈ema📈res📉adx🗒️rsi,no | no | 未补,,,52.76 | 40.37 | 1.31 | no,n 33｜s 00｜d 6.45%,0,绿暗[+2.01]-绿暗[+1.84]-绿暗[+1.60]-绿暗[+1.42]-绿暗[+1.33]-绿暗[+1.07],低-低-低-低-低-低,是,是,67.62,20.39,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",塑料,253.24,252.41,1.32,3.19,7.27,7.27,9.94,8.48,7.67,4.81,5.98,0.51,-1.47,-0.77,0.04,2.68,-2.09,2.46,4.92,3.89,0.73,6.13,7.01,6.42,3.34,2.53,1.47,2.83,-0.81,-0.59,0.29,0.4
