日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,ATH,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2025-07-02,000012,南  玻Ａ,fit,一直释放,5.04-5.02-4.81-4.64,低-低-低,0.40%-4.18%-3.53%,17,4.04,1.62,4.73,3.28,410024.0,2.0,4.55,26,📉ema📈res📈adx🗒️rsi,bull | 0.88% | 回补,4.66,1.5,98.0 | 91.92 | 1.07 | no,n 78｜s 00｜d 3.23%,6,红暗[-0.06]-红暗[-0.05]-红暗[-0.05]-红暗[-0.04]-红暗[-0.03]-红暗[-0.02],低-低-低-低-低-低,是,否,67.21,4.99,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",玻璃玻纤,138.13,88.95,-0.85,-0.85,-1.06,1.06,0.42,2.96,1.69,1.69,-0.42,-0.63,0.21,0.21,3.17,6.13,5.29,8.67,6.98,4.65,4.02,3.81,1.06,1.06,0.42,0.85,1.27,1.06,1.06,1.27,1.06,1.06
2025-07-02,000688,国城矿业,fit,压力释放,17.24-13.24-13.65-13.21,低-高-低,23.20%-3.10%-3.22%,20,10.82,0.63,13.26,0.45,91668.0,1.0,12.69,13,📈ema📈res📉adx🗒️rsi,no | no | 未补,12.17,8.96,93.46 | 92.3 | 1.01 | no,n 86｜s 00｜d 2.23%,1,绿亮[+0.00]-绿亮[+0.01]-红亮[-0.04]-绿亮[+0.03]-绿亮[+0.09]-绿亮[+0.14],低-低-低-低-高-高,否,否,62.77,12.2,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",工业金属,502.94,502.94,0.23,-0.83,-0.75,-0.3,-2.49,-2.41,1.58,1.43,-0.45,-1.28,-0.15,3.24,3.85,6.86,4.9,9.65,12.67,10.41,8.6,8.9,4.9,2.64,3.7,3.77,5.35,6.33,6.41,8.67,8.45,10.33
2025-07-02,000709,河钢股份,fit,压力释放,2.34-2.24-2.23-2.18,低-低-低,4.27%-0.45%-2.24%,15,5.31,1.18,2.23,3.24,1736509.0,2.0,2.1,5,📈ema📈res📉adx🗒️rsi,no | no | 未补,2.14,4.21,98.05 | 93.07 | 1.05 | no,n 76｜s 53｜d 0.24%,6,红暗[-0.04]-红暗[-0.03]-红暗[-0.03]-红暗[-0.02]-红暗[-0.01]-红暗[-0.01],低-低-低-低-低-低,是,否,66.19,2.13,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",普钢,242.92,242.88,1.35,2.24,2.69,4.04,2.69,4.93,6.28,5.38,4.93,2.69,5.38,6.28,8.97,12.56,12.56,13.45,11.66,9.42,12.56,13.0,7.62,7.17,7.17,8.07,8.97,8.52,8.97,8.97,7.62,8.52
2025-07-02,000898,鞍钢股份,fit,压力释放,2.77-2.47-2.67-2.42,低-高-低,10.83%-8.10%-9.36%,27,7.56,1.25,2.5,6.38,1364324.0,2.0,2.28,5,📈ema📈res📉adx📈rsi,no | no | 回补,2.34,6.84,92.14 | 83.01 | 1.11 | no,n 84｜s 53｜d 0.24%,6,红暗[-0.06]-红暗[-0.05]-红暗[-0.04]-红暗[-0.03]-红暗[-0.02]-红暗[-0.01],低-低-低-低-低-低,是,否,71.26,2.36,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",普钢,222.99,189.38,-1.2,0.0,0.8,2.0,2.0,6.4,8.0,8.8,7.2,5.2,7.6,9.6,11.6,14.8,13.6,14.8,13.2,11.2,15.6,15.2,9.6,7.6,6.4,8.0,10.4,10.8,12.0,12.4,10.8,10.0
2025-07-02,002030,达安基因,fit,一直释放,6.08-7.32-6.82-6.23,高-低-低,20.39%-6.83%-8.65%,16,9.11,0.58,6.24,1.3,398393.0,3.0,6.03,6,📈ema📈res📉adx🗒️rsi,bull | 2.15% | 未补,5.91,5.58,100.0 | 90.42 | 1.11 | no,n 83｜s 85｜d 0.07%,6,红暗[-0.18]-红暗[-0.15]-红暗[-0.15]-红暗[-0.13]-红暗[-0.10]-红暗[-0.04],低-低-低-低-低-低,是,否,62.71,5.98,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",医疗器械,83.79,83.79,1.6,1.28,0.96,1.92,1.44,2.08,2.24,3.21,-0.16,0.96,1.6,2.08,3.21,2.72,4.65,15.06,13.94,17.95,14.58,11.06,11.7,15.06,16.35,15.54,12.98,16.35,15.22,14.26,12.98,13.14
2025-07-02,002128,电投能源,fit,压力释放,19.93-19.66-19.03-19.37,低-低-高,1.35%-3.20%-1.79%,16,7.25,0.52,19.55,3.88,185357.0,1.0,18.4,7,📈ema📈res📉adx🗒️rsi,no | no | 未补,18.12,7.89,87.16 | 84.09 | 1.04 | no,n 85｜s 00｜d 0.51%,6,红亮[-0.05]-红亮[-0.12]-红亮[-0.14]-红暗[-0.09]-红暗[-0.03]-红亮[-0.05],低-低-低-低-低-低,是,否,66.86,18.22,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",煤炭开采,670.23,670.23,-1.59,-1.48,-2.1,-2.2,-2.86,-2.61,-0.46,-1.07,-0.72,-1.69,-1.69,-1.02,1.43,7.57,7.62,7.72,6.7,4.35,4.91,6.14,2.97,2.76,2.71,3.73,4.86,5.06,5.58,4.09,5.17,5.63
2025-07-02,002206,海 利 得,fit,一直释放,4.49-4.33-5.47-5.37,低-高-低,3.56%-26.33%-1.83%,23,13.77,1.54,5.75,9.94,945170.0,11.0,5.19,11,📈ema📈res📉adx📈rsi,bull | 4.09% | 未补,4.83,19.05,100.0 | 91.21 | 1.1 | no,n 65｜s 00｜d 1.28%,6,红暗[-0.25]-红暗[-0.21]-红暗[-0.19]-红暗[-0.15]-红暗[-0.10]-红暗[-0.03],低-低-低-低-低-低,是,是,75.88,4.35,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学纤维,70.55,51.78,1.74,-5.04,-3.13,-1.57,-3.83,-3.48,0.0,1.22,-0.87,-2.26,-2.61,-2.61,-1.22,0.0,-1.74,-1.04,-1.57,-1.04,-2.61,-1.91,-3.48,-2.43,-1.22,1.22,5.39,2.96,3.48,5.57,4.35,9.57
2025-07-02,002342,巨力索具,fit,压力释放,3.3-6.84-5.76-6.68,高-低-高,107.27%-15.79%-15.97%,19,25.8,0.51,6.84,9.97,555938.0,6.0,6.48,6,📈ema📈res📈adx🗒️rsi,no | no | 未补,5.4,26.67,81.83 | 76.15 | 1.07 | no,n 36｜s 00｜d 2.03%,6,红亮[-0.07]-红亮[-0.17]-红暗[-0.13]-红暗[-0.12]-红暗[-0.10]-红暗[-0.08],低-低-低-低-低-低,否,是,68.08,4.09,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,118.75,118.1,9.94,-0.73,0.73,6.87,17.54,10.38,8.19,5.56,6.29,7.46,5.85,4.97,6.73,13.16,7.31,7.89,4.97,6.58,4.82,7.31,3.95,1.32,2.49,6.58,8.92,5.99,9.8,9.21,7.75,10.23
2025-07-02,002549,凯美特气,fit,一直释放,7.49-6.72-12.23-11.62,低-高-低,10.28%-81.99%-4.99%,24,32.35,1.71,12.46,9.97,1873343.0,27.0,10.68,9,📈ema📈res📉adx📈rsi,bull | 9.90% | 未补,9.95,25.23,100.0 | 79.64 | 1.26 | no,n 43｜s 00｜d 2.76%,6,红亮[-1.22]-红暗[-1.09]-红暗[-1.02]-红暗[-0.93]-红暗[-0.71]-红暗[-0.30],低-低-低-低-低-低,是,是,72.96,7.58,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制品,134.83,134.25,6.42,-4.25,-7.06,-5.22,-6.74,-8.03,-7.87,-8.51,-10.51,-10.91,-8.91,-4.57,-5.86,-5.3,-3.77,-1.12,4.09,1.77,0.4,-1.12,-5.38,-6.26,-5.14,-2.33,1.69,2.25,-0.64,-0.4,9.55,20.55
2025-07-02,002637,赞宇科技,fit,压力释放,10.31-10.03-9.71-10.05,低-低-高,2.72%-3.19%-3.50%,16,7.14,0.98,10.16,0.3,59769.0,1.0,9.83,30,📈ema📈res📈adx🗒️rsi,no | no | 未补,9.31,9.13,100.0 | 84.79 | 1.18 | no,n 87｜s 00｜d 4.48%,4,绿暗[+0.00]-红亮[-0.01]-红亮[-0.04]-红亮[-0.05]-红暗[-0.02]-绿亮[+0.05],低-低-低-低-高-高,否,否,69.31,9.36,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制品,54.14,50.96,-0.3,-2.36,-1.08,0.0,-1.87,0.1,-0.2,1.08,-0.89,-1.38,-1.28,-1.67,1.87,5.02,8.17,8.46,14.76,15.94,13.19,12.6,7.97,7.58,7.28,7.48,7.48,5.51,5.51,7.48,7.78,10.63
