日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,ATH,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-02-03,000423,东阿阿胶,fit,压力释放,51.83-48.5-49.73-51.05,低-高-高,6.42%-2.54%-2.65%,20,5.37,1.65,52.9,2.94,152139.0,2.0,50.47,13,📈ema📈res📈adx📈rsi,no | no | 回补,50.3,5.17,89.29 | 87.42 | 1.02 | no,n 92｜s 00｜d 1.40%,0,绿亮[+0.08]-绿亮[+0.15]-绿亮[+0.17]-绿亮[+0.30]-绿亮[+0.30]-绿亮[+0.48],低-低-低-高-高-高,否,否,75.15,50.25,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",中药Ⅱ,359.79,359.16,3.93,4.54,2.78,6.62,4.46,4.8,3.55,3.71,4.25,4.63,2.74,2.78,2.23,-0.38,-0.68,-0.6,-0.57,-1.87,-0.04,-0.95,-0.93,-1.57,-1.34,-0.11,0.28,-0.23,5.9,3.82,6.62,5.29
2026-02-03,002135,东南网架,fit,一直释放,4.33-4.69-4.56-5.07,高-低-高,8.31%-2.77%-11.18%,58,17.09,0.68,6.19,1.48,456501.0,4.0,5.72,20,📈ema📈res📈adx📈rsi,no | no | 未补,4.74,30.59,82.68 | 57.48 | 1.44 | no,n 12｜s 00｜d 18.73%,0,绿亮[+0.69]-绿暗[+0.68]-绿暗[+0.64]-绿暗[+0.62]-绿暗[+0.62]-绿暗[+0.61],高-高-高-高-高-高,否,是,73.46,4.52,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专业工程,75.63,70.77,-1.13,-0.81,0.16,1.29,-0.32,1.78,-1.62,0.32,2.26,2.26,3.88,4.36,3.39,5.82,10.02,12.28,9.69,7.11,7.59,11.79,15.19,18.42,16.32,19.39,23.59,16.8,8.4,1.45,7.43,15.51
2026-02-03,002149,西部材料,fit,一直释放,19.98-18.78-18.87-52.63,低-高-高,6.01%-0.48%-178.91%,16,48.38,1.44,57.03,8.63,1448051.0,30.0,47.13,55,📈ema📈res📉adx📈rsi,bull | 0.97% | 未补,31.53,80.88,97.86 | 82.21 | 1.19 | no,n 23｜s 00｜d 97.14%,6,红亮[-5.66]-红暗[-5.28]-红暗[-4.44]-红暗[-3.94]-红暗[-3.00]-红暗[-1.48],低-低-低-低-低-高,否,是,72.26,22.98,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",小金属,241.42,241.38,-5.38,-2.84,-3.16,-4.12,-13.54,-15.29,-12.33,-13.55,-16.36,-14.03,-11.54,-8.64,-3.42,-13.08,-17.11,-14.03,-13.22,-16.54,-14.15,-13.29,-17.82,-23.67,-21.64,-22.78,-20.52,-22.85,-24.2,-26.2,-27.09,-25.5
2026-02-03,002833,弘亚数控,fit,一直释放,19.28-17.45-16.87-16.68,低-低-低,9.49%-3.32%-1.13%,39,8.95,0.06,18.91,4.13,86436.0,3.0,17.72,59,📈ema📈res📈adx📈rsi,no | no | 未补,16.86,12.16,31.22 | 33.19 | 0.94 | no,n 68｜s 00｜d 9.61%,0,绿亮[+1.33]-绿暗[+1.31]-绿暗[+1.26]-绿暗[+1.23]-绿暗[+1.22]-绿暗[+1.12],高-高-高-高-高-高,否,否,71.64,16.48,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,76.7,52.17,-0.48,-2.17,-3.54,-2.49,-1.59,-0.69,-1.75,-2.06,-0.85,1.53,2.54,3.97,-0.9,-4.97,-5.76,-4.12,-3.01,-6.13,-2.43,-1.37,-1.85,-2.06,-3.07,-4.76,-2.33,-6.66,-6.24,-11.37,-8.51,-4.6
2026-02-03,300065,海兰信,fit,一直释放,24.42-20.67-21.32-27.57,低-高-高,15.36%-3.14%-29.32%,16,31.66,0.85,28.4,15.82,2587093.0,39.0,23.05,20,📈ema📈res📈adx📈rsi,no | no | 未补,19.06,49.0,74.8 | 53.84 | 1.39 | no,n 23｜s 00｜d 25.22%,0,绿暗[+2.13]-绿暗[+1.91]-绿暗[+1.58]-绿暗[+1.38]-绿暗[+1.32]-绿暗[+1.14],低-低-低-低-低-低,是,是,72.34,18.64,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",航海装备Ⅱ,162.85,148.26,3.1,-0.53,-4.72,-2.54,-3.06,-0.11,-5.11,1.44,0.07,-2.99,-5.32,2.36,0.88,-6.8,-1.8,-4.89,-2.25,0.85,3.13,0.04,-4.19,-7.54,-5.32,-12.92,-10.88,-13.27,-17.43,-23.06,-20.46,-19.37
2026-02-03,600983,惠而浦,fit,一直释放,11.72-10.82-10.47-10.37,低-低-低,7.68%-3.23%-0.96%,38,10.32,0.16,11.15,2.39,77210.0,1.0,10.65,33,📈ema📈res📈adx🗒️rsi,no | no | 未补,10.62,4.99,53.0 | 56.13 | 0.94 | no,n 46｜s 00｜d 8.81%,0,绿亮[+0.82]-绿暗[+0.79]-绿暗[+0.75]-绿暗[+0.69]-绿暗[+0.67]-绿暗[+0.57],高-高-高-高-高-高,否,否,63.33,10.36,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",白色家电,79.1,79.1,7.62,9.96,11.66,12.74,11.39,11.75,9.96,7.8,7.98,9.24,9.87,6.91,7.89,5.74,7.09,8.97,6.91,8.52,7.98,5.29,4.3,2.78,1.43,2.15,-0.9,-3.41,-10.04,-6.1,-6.37,-7.26
