日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,ATH,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2025-11-11,000008,神州高铁,fit,压力释放,2.87-3.2-3.03-3.01,高-低-低,11.50%-5.31%-0.66%,12,5.99,3.55,3.3,10.0,3106402.0,11.0,2.93,22,📈ema📈res📈adx📈rsi,bull | 1.35% | 未补,2.89,14.19,97.52 | 93.05 | 1.05 | no,n 87｜s 00｜d 0.94%,1,红暗[-0.01]-绿亮[+0.00]-绿亮[+0.01]-绿亮[+0.02]-绿亮[+0.03]-绿亮[+0.05],低-低-低-低-低-高,是,否,81.22,2.82,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",轨交设备Ⅱ,73.34,73.34,0.0,1.21,1.21,2.73,-0.3,-3.94,-4.85,-8.48,-6.36,-5.76,-6.97,-7.58,-5.15,-6.06,-5.45,-7.58,-9.09,-7.58,-7.58,-10.3,-10.0,-12.12,-12.42,-11.82,-13.33,-13.33,-13.33,-11.82,-11.82,-13.33
2025-11-11,000078,海王生物,fit,压力释放,2.9-2.86-2.75-2.6,低-低-低,1.38%-3.85%-5.45%,13,5.26,1.02,2.66,1.92,492889.0,2.0,2.53,12,📈ema📈res📉adx🗒️rsi,bull | 0.39% | 未补,2.61,1.92,92.09 | 84.74 | 1.09 | no,n 97｜s 00｜d 0.97%,0,绿亮[+0.03]-绿亮[+0.04]-绿亮[+0.05]-绿亮[+0.06]-绿亮[+0.06]-绿亮[+0.07],低-低-低-低-低-高,否,否,64.37,2.51,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",医药商业,82.88,82.73,1.13,1.5,2.63,1.88,0.0,-2.26,-2.63,-7.52,-6.39,-4.14,5.64,16.17,27.82,40.6,54.51,69.92,80.83,98.87,93.23,74.06,81.58,66.17,53.76,54.89,59.77,54.89,62.41,59.02,54.14,39.85
2025-11-11,000631,顺发恒能,fit,压力释放,3.25-3.27-3.32-3.34,高-高-高,0.62%-1.53%-0.60%,13,8.79,2.49,3.59,10.12,484314.0,2.0,3.16,28,📈ema📈res📉adx📈rsi,no | no | 回补,3.08,16.56,79.14 | 67.25 | 1.18 | no,n 71｜s 00｜d 2.26%,6,红亮[-0.02]-红亮[-0.03]-红亮[-0.04]-红亮[-0.04]-红暗[-0.04]-红暗[-0.03],低-低-低-低-低-低,是,否,74.94,3.02,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电力,90.39,90.39,10.03,6.13,3.9,6.69,1.67,-3.62,-5.29,-6.96,-7.52,-6.69,-8.36,-8.08,-7.52,-6.69,-5.85,-3.9,-6.69,-5.01,-3.34,-6.41,-5.57,-7.52,-8.36,-8.08,-10.86,-11.14,-11.14,-8.36,-8.91,-9.19
2025-11-11,000756,新华制药,fit,压力释放,15.71-17.98-17.1-16.77,高-低-低,14.45%-4.89%-1.93%,14,8.12,1.22,16.96,0.71,261846.0,5.0,16.2,13,📈ema📈res📉adx🗒️rsi,bull | 0.85% | 未补,15.94,6.4,93.51 | 72.8 | 1.28 | no,n 79｜s 00｜d 0.86%,3,绿暗[+0.06]-绿暗[+0.03]-红亮[-0.02]-红亮[-0.06]-红暗[-0.02]-绿亮[+0.07],低-低-低-低-低-高,否,否,65.48,15.4,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制药,104.08,74.54,0.29,-0.06,2.06,-0.06,-1.0,-2.65,-3.24,-8.96,-8.02,1.18,7.02,6.54,3.6,4.01,2.71,3.48,1.0,-0.71,-1.53,-1.89,-2.54,-4.66,-5.72,-6.19,-8.02,-7.31,-7.61,-6.49,-6.6,-7.67
2025-11-11,000950,重药控股,fit,一直释放,5.46-5.42-5.48-5.44,低-高-低,0.73%-1.11%-0.73%,32,8.8,1.36,5.65,1.99,271553.0,2.0,5.43,27,📈ema📈res📉adx📈rsi,no | no | 未补,5.17,9.28,100.0 | 100.0 | 1.0 | no,n 66｜s 00｜d 3.29%,0,绿暗[+0.20]-绿暗[+0.19]-绿暗[+0.19]-绿暗[+0.18]-绿暗[+0.18]-绿暗[+0.17],低-低-低-低-高-高,否,否,79.15,5.13,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",医药商业,96.61,96.61,-0.53,-0.53,-0.71,-1.95,-3.54,-4.42,-4.78,-8.67,-8.5,-7.96,-6.37,-6.9,-6.73,-6.37,-4.6,-3.36,-3.19,-3.36,-4.07,-5.66,3.72,14.16,9.2,20.18,16.46,10.44,21.42,21.06,16.64,18.94
2025-11-11,002125,湘潭电化,fit,压力释放,17.95-14.78-16.1-15.65,低-高-低,17.66%-8.93%-2.80%,23,14.57,0.89,15.79,1.02,502063.0,8.0,14.67,10,📈ema📈res📉adx🗒️rsi,no | no | 未补,14.16,11.51,91.59 | 92.02 | 1.0 | no,n 57｜s 00｜d 1.46%,3,红亮[-0.26]-红亮[-0.32]-红暗[-0.09]-绿亮[+0.12]-绿亮[+0.34]-绿亮[+0.51],低-低-低-高-高-高,否,否,61.6,12.16,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,86.24,86.24,-1.71,3.8,1.2,2.15,-3.23,-5.07,-1.46,-11.34,-15.07,-11.65,-13.36,-12.41,-7.85,-9.69,-9.82,-12.1,-13.49,-13.36,-12.54,-14.12,-14.19,-16.59,-16.15,-17.48,-18.05,-16.34,-15.01,-8.36,-7.79,-6.97
2025-11-11,002204,大连重工,fit,压力释放,7.19-7.19-6.76-6.93,高-低-高,0.00%-5.98%-2.51%,15,8.96,1.31,7.33,10.06,694403.0,4.0,6.45,6,📈ema📈res📉adx📈rsi,no | no | 回补,6.26,17.09,60.98 | 46.16 | 1.32 | no,n 83｜s 00｜d 0.58%,5,绿暗[+0.08]-红亮[-0.01]-红亮[-0.05]-红亮[-0.06]-红亮[-0.07]-红亮[-0.07],低-低-低-低-低-低,否,否,73.57,6.0,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,127.28,127.28,-3.14,-1.36,-2.86,-3.14,-6.14,-4.37,-6.96,-10.1,-9.14,-9.41,-11.6,-11.05,-9.82,-8.46,-9.14,-7.5,-6.41,-3.14,-2.05,-2.05,-0.95,0.55,0.68,1.5,-3.0,-2.73,-2.18,7.64,4.37,1.36
2025-11-11,002385,大北农,fit,压力释放,4.37-4.37-4.32-4.23,高-低-低,0.00%-1.14%-2.08%,21,4.7,1.62,4.24,1.68,1355198.0,4.0,4.09,13,📈ema📈res📉adx🗒️rsi,bull | 0.24% | 回补,4.2,0.95,100.0 | 96.09 | 1.04 | no,n 98｜s 36｜d 0.32%,0,绿亮[+0.01]-绿暗[+0.00]-绿暗[+0.00]-绿暗[+0.00]-绿亮[+0.01]-绿亮[+0.02],低-低-低-低-低-低,是,否,67.41,4.12,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",饲料,170.28,139.55,-0.94,-0.71,-0.71,-0.71,-0.71,-0.94,-2.12,-3.77,-4.25,-4.48,-4.95,-4.95,-4.72,-4.01,-4.25,-4.95,-5.9,-4.95,-4.72,-5.42,-5.19,-6.13,-5.9,-5.9,-6.37,-5.9,-6.13,-5.42,-5.42,-5.9
2025-11-11,002847,盐津铺子,fit,压力释放,98.58-76.44-78.01-75.01,低-高-低,22.46%-2.05%-3.85%,18,11.82,1.69,78.05,1.79,61509.0,2.0,72.2,25,📈ema📈res📉adx🗒️rsi,bull | 3.22% | 未补,76.6,1.89,82.81 | 66.75 | 1.24 | no,n 77｜s 00｜d 2.28%,0,绿亮[+0.81]-绿暗[+0.80]-绿亮[+0.84]-绿暗[+0.60]-绿暗[+0.57]-绿亮[+1.17],低-低-低-低-低-高,否,否,65.71,70.98,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",休闲食品,162.48,145.28,0.51,0.85,-2.36,-2.09,-4.93,-3.14,-4.69,-6.98,-8.15,-7.65,-7.19,-7.56,-9.05,-8.19,-9.38,-11.12,-12.48,-14.98,-14.73,-11.49,-11.52,-10.99,-10.63,-11.39,-10.95,-9.42,-9.01,-6.44,-7.33,-8.65
2025-11-11,300360,炬华科技,fit,压力释放,15.63-16.03-16.97-16.45,高-高-低,2.58%-5.88%-3.07%,18,9.33,4.29,19.16,19.99,1010078.0,20.0,17.46,29,📈ema📈res📈adx📈rsi,no | no | 回补,15.79,21.35,98.88 | 99.25 | 1.0 | no,n 86｜s 00｜d 1.40%,6,红亮[-0.39]-红暗[-0.38]-红暗[-0.33]-红暗[-0.26]-红暗[-0.13]-红暗[-0.02],低-低-低-低-低-低,是,是,85.06,15.84,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电网设备,84.17,81.9,-3.59,-2.97,-9.02,-10.46,-12.25,-12.35,-14.15,-17.38,-16.45,-15.79,-15.94,-16.5,-15.27,-14.4,-15.58,-16.15,-17.22,-15.12,-15.12,-16.5,-16.4,-16.97,-14.04,-13.38,-15.58,-14.25,-13.89,-12.12,-12.64,-8.36
