日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-08-07,000572,海马汽车,3.83,1.06,2282807.0,,suf,"{""suf"": {""timeframe"": ""w""}}",乘用车,101.8,101.66
2026-08-07,000590,古汉医药,8.79,6.8,178178.0,,suf,"{""suf"": {""timeframe"": ""w""}}",中药Ⅱ,28.81,28.8
2026-08-07,000619,海螺新材,4.64,3.57,311935.0,,suf,"{""suf"": {""timeframe"": ""w""}}",装修建材,26.34,21.49
2026-08-07,000628,高新发展,39.01,6.38,434981.0,,suf,"{""suf"": {""timeframe"": ""w""}}",房屋建设Ⅱ,172.62,94.2
2026-08-07,000633,合金投资,5.16,5.31,464476.0,,suf,"{""suf"": {""timeframe"": ""w""}}",金属新材料,25.88,25.88
2026-08-07,000635,英 力 特,6.39,3.57,231493.0,,suf,"{""suf"": {""timeframe"": ""w""}}",化学原料,35.27,32.83
2026-08-07,000659,珠海中富,2.8,6.87,1156625.0,,suf,"{""suf"": {""timeframe"": ""w""}}",包装印刷,58.24,58.24
2026-08-07,000796,凯撒旅业,3.86,1.31,1373233.0,,suf,"{""suf"": {""timeframe"": ""w""}}",旅游及景区,86.12,71.46
2026-08-07,000822,山东海化,4.26,0.95,787864.0,,suf,"{""suf"": {""timeframe"": ""w""}}",化学原料,57.73,57.73
2026-08-07,000931,中 关 村,4.14,6.15,399778.0,,suf,"{""suf"": {""timeframe"": ""w""}}",化学制药,38.48,38.38
2026-08-07,000936,华西股份,5.19,0.78,587787.0,,suf,"{""suf"": {""timeframe"": ""w""}}",化学纤维,64.68,64.67
2026-08-07,000985,大庆华科,14.88,3.41,87420.0,,suf,"{""suf"": {""timeframe"": ""w""}}",炼化及贸易,25.73,25.73
2026-08-07,000990,诚志股份,6.73,4.34,2370183.0,,suf,"{""suf"": {""timeframe"": ""w""}}",化学原料,126.51,126.51
2026-08-07,001202,炬申股份,13.02,5.51,160070.0,,suf,"{""suf"": {""timeframe"": ""w""}}",物流,28.44,19.93
2026-08-07,001316,润贝航科,26.62,5.38,108348.0,,suf,"{""suf"": {""timeframe"": ""w""}}",炼化及贸易,55.08,53.25
2026-08-07,002016,世荣兆业,4.41,3.52,632828.0,,suf,"{""suf"": {""timeframe"": ""w""}}",房地产开发,46.85,46.85
2026-08-07,002017,东信和平,13.97,2.65,1035319.0,,suf,"{""suf"": {""timeframe"": ""w""}}",通信设备,111.21,111.14
2026-08-07,002026,山东威达,10.4,5.91,323237.0,,suf,"{""suf"": {""timeframe"": ""w""}}",通用设备,56.74,56.74
2026-08-07,002045,国光电器,8.9,6.46,1509865.0,,suf,"{""suf"": {""timeframe"": ""w""}}",消费电子,65.7,65.62
2026-08-07,002094,青岛金王,4.73,1.07,956958.0,,suf,"{""suf"": {""timeframe"": ""w""}}",家居用品,45.46,45.43
2026-08-07,002104,恒宝股份,11.16,8.67,2511266.0,,suf,"{""suf"": {""timeframe"": ""w""}}",通信设备,111.71,94.57
2026-08-07,002163,海南发展,8.26,3.77,1089524.0,,suf,"{""suf"": {""timeframe"": ""w""}}",装修装饰Ⅱ,110.44,105.02
2026-08-07,002205,国统股份,10.29,4.68,122498.0,,suf,"{""suf"": {""timeframe"": ""w""}}",水泥,24.16,24.16
2026-08-07,002214,*ST大立,15.86,22.47,354493.0,,suf,"{""suf"": {""timeframe"": ""w""}}",军工电子Ⅱ,110.21,88.08
2026-08-07,002224,三 力 士,3.51,1.45,456242.0,,suf,"{""suf"": {""timeframe"": ""w""}}",橡胶,43.12,38.54
2026-08-07,002282,博深股份,5.84,1.04,193557.0,,suf,"{""suf"": {""timeframe"": ""w""}}",通用设备,36.67,35.15
2026-08-07,002295,精艺股份,8.69,7.68,172105.0,,suf,"{""suf"": {""timeframe"": ""w""}}",工业金属,26.62,26.58
2026-08-07,002302,西部建设,4.86,4.97,693716.0,,suf,"{""suf"": {""timeframe"": ""w""}}",水泥,73.85,73.85
2026-08-07,002324,普利特,9.4,3.3,959634.0,,suf,"{""suf"": {""timeframe"": ""w""}}",塑料,165.52,115.51
2026-08-07,002331,皖通科技,6.97,4.34,364073.0,,suf,"{""suf"": {""timeframe"": ""w""}}",IT服务Ⅱ,34.23,31.63
2026-08-07,002335,科华数据,31.25,8.88,1222574.0,,suf,"{""suf"": {""timeframe"": ""w""}}",其他电源设备Ⅱ,300.13,264.76
2026-08-07,002337,赛象科技,4.57,4.34,417322.0,,suf,"{""suf"": {""timeframe"": ""w""}}",专用设备,35.96,35.93
2026-08-07,002355,兴民智通,4.71,7.53,2308022.0,,suf,"{""suf"": {""timeframe"": ""w""}}",汽车零部件,45.72,42.28
2026-08-07,002369,卓翼科技,5.94,10.41,1690559.0,,suf,"{""suf"": {""timeframe"": ""w""}}",消费电子,40.08,40.03
2026-08-07,002393,力生制药,14.78,3.79,140052.0,,suf,"{""suf"": {""timeframe"": ""w""}}",化学制药,61.38,59.65
2026-08-07,002402,和而泰,21.48,6.87,1567168.0,,suf,"{""suf"": {""timeframe"": ""w""}}",家电零部件Ⅱ,277.21,243.92
