日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-06-22 00:00:00,Short,WHD,52.01,-4.90%,59.97,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CACTUS INC - A,1WK
2026-06-22 00:00:00,Short,SOUN,6.41,-9.97%,8.57,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SOUNDHOUND AI INC-A,1WK
2026-06-22 00:00:00,Long,POR,52.53,5.80%,48.01,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PORTLAND GENERAL ELECTRIC CO,1WK
2026-06-22 00:00:00,Long,CVBF,22.46,7.93%,19.63,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CVB FINANCIAL CORP,1WK
2026-06-22 00:00:00,Long,OPTU,1.66,44.35%,0.87,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",OPTIMUM COMMUNICATIONS INC-A,1WK
2026-06-22 00:00:00,Long,OPTU,1.66,44.35%,0.87,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 22}}",OPTIMUM COMMUNICATIONS INC-A,1WK
2026-06-22 00:00:00,Short,KEX,136.78,-2.74%,150.5,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KIRBY CORP,1WK
2026-06-22 00:00:00,Long,APPF,155.64,2.73%,125.19,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",APPFOLIO INC - A,1WK
2026-06-22 00:00:00,Long,APPF,155.64,2.73%,125.19,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",APPFOLIO INC - A,1WK
2026-06-22 00:00:00,Long,EIG,50.74,9.00%,44.13,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EMPLOYERS HOLDINGS INC,1WK
2026-06-22 00:00:00,Long,NIC,163.25,11.17%,133.78,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NICOLET BANKSHARES INC,1WK
2026-06-22 00:00:00,Long,CL,92.07,2.89%,84.4,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",COLGATE-PALMOLIVE CO,1WK
