日期,代码,名称,现价,涨幅(%),成交量,离SMA200(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-08-04,301169,零点有数,50.75,13.99,33490.0,-12.93,,suf,"{""suf"": {""timeframe"": ""d""}}",专业服务,37.94,37.93,6.58,9.5,9.71,4.69,1.32,4.87,3.92,4.41,8.41,8.57,-0.39,1.66,2.5,0.0,0.63,-1.52,9.24,6.27,8.95,8.08,8.26,8.59,7.15,11.92,14.42,14.01,13.14,8.55,4.43,0.35
2026-08-04,301196,唯科科技,67.73,9.15,51903.0,-31.83,,suf,"{""suf"": {""timeframe"": ""d""}}",塑料,137.42,89.88,11.77,17.2,21.25,22.06,21.07,27.27,26.53,29.94,40.78,35.1,18.88,33.38,29.0,31.37,37.01,29.34,46.02,38.92,40.85,32.88,28.47,26.78,16.46,30.93,25.59,26.59,22.97,19.3,20.15,18.56
2026-08-04,301265,华新环保,17.81,5.57,63035.0,-4.47,,suf,"{""suf"": {""timeframe"": ""d""}}",环境治理,62.59,35.08,6.34,8.59,12.35,16.4,15.67,14.82,12.02,13.03,22.01,17.91,10.28,10.61,10.78,10.78,9.21,6.01,6.85,4.1,9.94,7.58,8.53,14.49,4.77,4.66,10.78,9.1,8.82,5.39,13.42,14.94
2026-08-04,301297,富乐德,32.91,14.75,276169.0,-17.72,,suf,"{""suf"": {""timeframe"": ""d""}}",半导体,245.7,120.0,2.49,2.61,5.89,6.44,5.77,7.93,4.95,7.99,13.95,13.4,5.47,5.32,6.23,9.09,6.59,9.51,16.07,23.91,26.5,21.18,19.39,17.47,13.46,23.18,24.52,23.67,34.76,31.66,43.63,40.93
2026-08-04,301338,凯格精机,84.75,10.14,62295.0,-34.41,,suf,"{""suf"": {""timeframe"": ""d""}}",专用设备,174.33,96.91,6.78,12.26,20.71,16.33,14.82,18.7,16.34,19.08,26.06,24.97,12.01,14.05,19.78,15.04,15.03,13.45,22.12,16.93,21.79,13.86,13.27,16.05,10.91,19.6,17.69,17.99,16.14,14.55,15.76,14.94
2026-08-04,301369,联动科技,120.2,9.86,24425.0,-18.15,,suf,"{""suf"": {""timeframe"": ""d""}}",半导体,98.61,50.81,8.48,12.51,14.69,14.14,11.17,20.26,18.31,18.12,22.04,25.42,10.53,11.98,11.9,9.06,7.88,7.82,18.78,12.94,15.06,9.56,6.91,7.39,1.46,6.56,4.97,4.9,3.91,2.16,3.76,5.2
2026-08-04,301387,光大同创,50.25,7.07,28795.0,-18.83,,suf,"{""suf"": {""timeframe"": ""d""}}",消费电子,54.17,21.66,4.82,7.28,11.3,13.19,10.05,16.88,15.76,18.11,21.13,20.56,8.16,11.84,15.46,12.14,11.38,9.23,13.83,10.59,15.3,11.24,10.01,11.2,7.34,12.3,10.05,10.27,9.55,7.16,8.66,6.59
2026-08-04,301389,隆扬电子,45.32,7.65,68055.0,-24.87,,suf,"{""suf"": {""timeframe"": ""d""}}",消费电子,150.0,44.75,7.37,9.18,18.8,15.09,13.64,16.39,15.95,20.21,29.77,36.78,17.01,18.71,23.85,12.82,14.96,22.18,31.18,35.44,35.59,26.21,24.62,22.26,16.64,29.94,26.7,25.24,25.44,23.12,25.62,36.34
2026-08-04,301392,汇成真空,133.31,12.3,46426.0,-12.4,,suf,"{""suf"": {""timeframe"": ""d""}}",专用设备,115.8,47.24,13.64,18.05,31.78,30.72,30.3,32.8,25.62,26.77,33.18,33.92,19.62,20.09,26.41,30.68,28.21,26.97,35.32,31.58,41.8,29.77,32.86,34.42,23.14,32.02,31.57,28.12,25.5,19.18,22.72,24.33
2026-08-04,301489,思泉新材,89.45,5.56,54052.0,-51.27,,suf,"{""suf"": {""timeframe"": ""d""}}",电子化学品Ⅱ,142.05,83.73,8.11,9.61,14.59,11.57,10.7,15.6,16.5,33.93,33.71,32.17,14.32,14.09,17.66,27.43,31.91,27.97,36.59,29.55,34.82,31.19,30.8,56.96,46.45,55.29,50.71,45.18,39.63,34.16,38.24,37.37
