日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-07-31,000007,全新好,9.22,5.86,119722.0,,suf,"{""suf"": {""timeframe"": ""d""}}",一般零售,45.87,45.87,-0.54,0.65,3.58,6.51,4.77,12.58,15.08,17.46,19.2,16.38,15.29,26.79,19.2,31.13,35.36,38.18,39.05,36.66,38.29,36.66,39.48,39.48,40.24,35.57,34.71,24.73,26.68,27.66,18.98,19.2
2026-07-31,000032,深桑达Ａ,13.54,9.99,634457.0,,suf,"{""suf"": {""timeframe"": ""d""}}",专业工程,227.97,213.48,-3.1,2.81,7.98,7.68,9.31,7.09,8.64,9.82,8.57,10.71,15.51,16.69,5.61,6.65,9.31,5.32,5.83,6.43,9.45,7.24,9.23,8.79,6.65,6.2,3.32,4.73,4.28,3.47,2.51,0.52
2026-07-31,000062,深圳华强,21.78,4.91,300686.0,,suf,"{""suf"": {""timeframe"": ""d""}}",其他电子Ⅱ,290.55,290.27,1.1,3.76,6.84,5.56,7.53,6.7,6.8,8.03,6.34,7.35,9.0,9.32,1.93,2.11,2.8,0.41,1.7,1.56,3.72,14.1,12.72,12.08,13.13,11.11,9.14,10.42,8.63,7.53,6.01,3.44
2026-07-31,000510,新金路,13.5,3.85,647127.0,,suf,"{""suf"": {""timeframe"": ""d""}}",化学原料,96.37,90.15,-1.33,8.52,19.41,19.33,24.96,28.44,22.52,25.11,20.59,26.0,30.22,26.0,14.52,20.44,23.41,23.11,21.26,21.19,28.96,31.33,32.37,28.22,26.37,28.96,18.52,26.52,27.56,28.3,22.67,19.93
2026-07-31,000628,高新发展,36.67,5.74,122153.0,,suf,"{""suf"": {""timeframe"": ""d""}}",房屋建设Ⅱ,172.62,94.2,4.66,6.76,8.26,7.2,6.38,6.33,6.08,6.71,8.84,8.07,9.68,18.33,8.04,12.44,23.67,30.24,30.52,29.56,28.36,31.22,33.27,35.83,49.41,47.29,45.62,45.57,45.08,56.69,50.01,49.85
2026-07-31,000657,中钨高新,49.51,2.29,650854.0,,suf,"{""suf"": {""timeframe"": ""d""}}",小金属,1107.86,706.41,-3.07,5.45,16.0,26.24,35.35,47.04,37.65,42.25,34.72,37.93,42.38,47.32,33.63,30.18,37.63,34.84,28.88,27.27,36.42,34.84,32.9,25.89,20.72,21.23,16.42,21.19,20.9,22.2,20.02,18.2
2026-07-31,000700,模塑科技,10.18,7.27,713883.0,,suf,"{""suf"": {""timeframe"": ""d""}}",汽车零部件,110.9,110.9,5.01,8.25,11.0,14.44,15.72,12.87,17.68,17.09,16.9,16.7,19.35,20.24,8.25,5.6,7.27,5.5,6.97,8.06,14.73,10.12,13.26,11.98,12.18,15.32,9.04,14.93,16.99,19.45,15.03,10.22
2026-07-31,000969,安泰科技,15.8,2.8,319231.0,,suf,"{""suf"": {""timeframe"": ""d""}}",金属新材料,217.35,213.88,5.25,7.03,8.8,8.29,10.44,9.81,8.23,8.92,6.27,7.91,12.72,10.57,4.68,4.18,5.57,4.56,5.25,6.71,8.54,9.56,13.99,12.03,9.94,9.94,7.66,10.32,9.56,10.51,8.16,6.71
2026-07-31,000988,华工科技,95.37,4.69,590788.0,,suf,"{""suf"": {""timeframe"": ""d""}}",自动化设备,1101.03,1100.46,-2.31,5.54,5.31,8.01,11.78,8.71,8.84,11.48,12.24,15.12,19.18,17.38,7.32,9.24,11.96,8.37,10.38,8.84,9.99,7.93,9.84,6.46,4.12,3.79,0.24,6.86,5.41,14.07,10.94,8.92
2026-07-31,001211,双枪科技,18.86,2.67,37321.0,,suf,"{""suf"": {""timeframe"": ""d""}}",家居用品,20.53,19.11,4.51,7.1,9.81,10.34,18.13,19.88,22.8,27.31,24.39,21.21,28.21,24.44,19.83,26.56,28.95,28.84,27.2,26.72,23.81,24.23,26.94,25.82,27.78,25.13,22.75,28.69,31.12,30.75,25.72,21.47
2026-07-31,001212,中旗新材,31.69,1.73,46230.0,,suf,"{""suf"": {""timeframe"": ""d""}}",装修建材,101.69,87.97,-1.39,4.7,9.09,9.4,12.59,10.07,9.53,13.54,9.18,11.08,12.97,11.01,4.07,6.31,6.34,3.5,3.57,4.61,7.98,6.37,10.38,5.84,7.26,9.18,5.74,5.46,4.39,4.13,2.56,0.47
2026-07-31,001259,利仁科技,41.18,5.67,15909.0,,suf,"{""suf"": {""timeframe"": ""d""}}",小家电,23.5,15.18,5.63,10.25,11.19,13.28,14.74,15.37,12.77,15.98,13.67,14.01,17.24,16.93,9.74,11.75,12.53,10.13,11.92,9.88,12.6,11.34,16.56,12.29,10.49,12.21,10.37,13.65,12.7,10.37,9.32,7.43
2026-07-31,001266,宏英智能,30.06,4.09,32882.0,,suf,"{""suf"": {""timeframe"": ""d""}}",自动化设备,32.15,18.03,0.63,10.71,11.78,13.94,15.07,15.24,17.03,19.36,15.8,16.37,19.69,19.33,10.45,12.28,14.37,12.44,14.9,14.37,16.1,15.27,14.7,11.38,8.85,10.91,11.51,10.78,9.95,10.51,8.15,6.42
2026-07-31,001267,汇绿生态,29.82,10.0,334161.0,,suf,"{""suf"": {""timeframe"": ""d""}}",基础建设,305.74,236.04,-2.25,7.55,18.31,30.15,43.16,44.1,32.6,38.77,39.47,39.07,40.71,36.12,22.84,24.11,25.65,31.25,27.9,26.16,34.57,30.78,31.72,27.5,23.27,22.74,18.01,29.81,25.79,24.18,22.6,18.31
2026-07-31,001316,润贝航科,25.26,2.14,18424.0,,suf,"{""suf"": {""timeframe"": ""d""}}",炼化及贸易,55.08,53.25,2.3,3.52,5.66,5.27,5.38,6.89,6.45,7.76,5.58,5.3,7.76,6.97,1.74,3.09,2.61,6.1,5.86,5.66,3.17,6.33,8.91,6.41,7.24,10.02,19.48,17.26,17.06,22.76,17.7,15.72
2026-07-31,001335,信凯科技,29.98,2.11,7772.0,,suf,"{""suf"": {""timeframe"": ""d""}}",化学制品,39.61,9.9,2.23,4.74,6.1,4.84,4.44,6.94,6.47,7.81,6.07,4.94,6.97,7.24,4.14,5.67,4.54,3.4,7.27,7.64,7.91,8.37,8.81,10.01,11.14,9.57,9.24,9.17,8.61,6.97,5.07,1.3
