日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-09-03,300432,富临精工,14.27,3.48,409034.0,,suf,"{""suf"": {""timeframe"": ""d""}}",电池,428.47,423.65,-2.87,-2.73,-3.36,-1.54,-3.36,-6.24,-3.36,-5.05,-4.63,-4.56,-3.15,-6.59,,,,,,,,,,,,,,,,,,
2026-09-03,300750,宁德时代,349.5,0.35,262864.0,,suf,"{""suf"": {""timeframe"": ""d""}}",电池,18993.91,17715.28,0.43,-0.37,-4.01,-3.62,-3.27,-5.43,-3.55,-9.48,-12.6,-12.93,-13.61,-14.99,,,,,,,,,,,,,,,,,,
2026-09-03,600132,重庆啤酒,39.49,1.1,27125.0,,suf,"{""suf"": {""timeframe"": ""d""}}",非白酒,275.38,275.38,1.24,1.39,1.47,0.56,-1.19,-2.51,-2.3,-2.13,-3.22,-4.33,-4.36,-3.49,,,,,,,,,,,,,,,,,,
2026-09-03,600276,恒瑞医药,45.96,0.86,502917.0,,suf,"{""suf"": {""timeframe"": ""d""}}",化学制药,3662.41,3519.93,0.13,0.65,-0.54,-2.72,-6.59,-7.16,-6.11,-6.16,-5.31,-5.94,-4.46,0.17,,,,,,,,,,,,,,,,,,
2026-09-03,603515,欧普照明,15.49,1.04,12684.0,,suf,"{""suf"": {""timeframe"": ""d""}}",照明设备Ⅱ,141.06,139.76,-0.13,0.58,-0.52,-2.19,-2.39,-4.13,-3.74,-4.58,-5.1,-5.75,-6.0,-4.58,,,,,,,,,,,,,,,,,,
