日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-08-03,001336,楚环科技,17.14,4.51,21892.0,,suf,"{""suf"": {""timeframe"": ""d""}}",环保设备Ⅱ,21.32,12.35,1.98,1.87,2.51,2.98,6.48,6.88,6.83,4.61,5.83,8.75,9.45,6.18,8.34,9.22,8.11,9.22,9.86,9.68,11.03,10.27,10.39,11.2,8.75,8.46,8.17,8.98,9.51,7.18,3.73,4.84
2026-08-03,002047,*ST宝鹰,3.21,4.56,328479.0,,suf,"{""suf"": {""timeframe"": ""d""}}",装修装饰Ⅱ,76.72,76.72,2.49,3.74,3.43,-0.93,0.93,10.9,22.12,30.84,17.76,13.4,6.23,-3.12,-2.18,0.0,0.0,2.8,13.08,10.28,9.03,7.48,7.48,6.85,8.1,6.85,7.79,10.59,8.1,10.59,6.85,5.61
2026-08-03,002782,可立克,14.09,4.06,151057.0,,suf,"{""suf"": {""timeframe"": ""d""}}",其他电子Ⅱ,116.75,114.52,3.9,6.32,6.17,9.44,11.07,9.37,13.91,11.85,12.78,16.25,13.77,5.96,7.24,8.87,6.39,7.95,7.1,7.88,7.24,11.36,9.08,9.37,10.43,8.16,11.71,9.58,9.37,7.17,6.1,6.81
2026-08-03,300322,硕贝德,16.23,2.72,176797.0,,suf,"{""suf"": {""timeframe"": ""d""}}",消费电子,110.0,105.31,5.36,9.86,18.3,16.94,13.62,12.51,13.37,10.97,17.38,19.65,16.39,6.78,7.15,8.56,5.05,8.81,6.72,10.84,8.5,11.03,10.29,9.0,16.76,9.92,12.57,13.0,10.35,7.7,7.58,7.21
2026-08-03,300478,杭州高新,25.28,8.03,57137.0,,suf,"{""suf"": {""timeframe"": ""d""}}",塑料,29.38,29.38,4.91,10.48,11.99,16.5,20.53,17.44,17.6,18.28,19.66,23.77,22.55,15.51,17.48,19.34,12.9,15.86,14.4,17.68,16.42,24.37,24.53,28.01,22.15,17.68,26.31,26.82,26.78,32.83,28.76,27.53
2026-08-03,300731,科创新源,32.32,1.99,78239.0,,suf,"{""suf"": {""timeframe"": ""d""}}",橡胶,87.65,83.19,3.96,14.08,16.77,19.28,17.2,15.44,19.52,17.17,23.27,28.56,25.09,13.83,13.12,20.79,29.52,30.51,27.82,33.35,31.34,46.94,41.86,47.25,48.58,39.23,46.16,41.8,52.72,48.08,42.42,50.9
2026-08-03,300905,宝丽迪,35.7,0.54,50619.0,,suf,"{""suf"": {""timeframe"": ""d""}}",化学纤维,57.48,44.84,3.84,8.85,9.44,13.89,10.42,9.52,11.43,8.12,8.01,12.27,9.8,2.21,0.84,1.4,-1.62,-0.42,-1.82,3.84,3.7,5.29,2.16,2.21,1.12,-0.9,0.14,-0.67,-1.57,-4.59,-6.36,-1.68
2026-08-03,301002,崧盛股份,27.16,5.31,68758.0,,suf,"{""suf"": {""timeframe"": ""d""}}",电网设备,47.89,30.16,2.61,5.6,6.63,7.58,4.86,3.76,8.32,7.44,8.98,13.66,14.29,7.33,1.07,2.95,1.55,2.65,1.84,4.31,3.68,6.37,3.61,3.2,4.9,3.24,4.38,2.8,0.96,-0.74,-4.93,-0.59
2026-08-03,301186,超达装备,31.1,6.14,15173.0,,suf,"{""suf"": {""timeframe"": ""d""}}",汽车零部件,45.01,42.27,6.01,12.8,14.18,14.69,13.73,14.76,15.47,15.95,16.46,16.5,15.31,9.65,9.55,10.68,7.91,9.0,6.62,11.25,20.26,20.19,18.2,16.08,15.53,11.83,12.19,11.45,12.67,10.23,7.59,6.85
2026-08-03,301203,国泰环保,31.5,2.31,5534.0,,suf,"{""suf"": {""timeframe"": ""d""}}",环境治理,33.37,18.29,2.79,4.32,2.6,4.16,7.49,7.17,8.25,6.38,10.32,11.84,10.13,5.43,8.19,8.32,8.25,9.02,8.63,8.67,8.35,11.75,9.81,10.16,9.3,9.84,12.76,11.78,9.78,7.02,4.95,7.49
