日期,信号,代码,相距SMA,现价,涨幅,止损,策略,参组,参数,名称,周期,SMA,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-09-21 00:00:00,Short,NEO,61.52,19.41,-2.51%,20.86,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",NEOGENOMICS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,RAYA,,1.82,-5.21%,1.57,mfa,参数一,"{""mfa"": {""mfa_all"": 6}}",ERAYAK POWER SOLUTION GRP-A,1D,,,,,,,
2026-09-21 00:00:00,Long,RAYA,,1.82,-5.21%,1.57,mfa,参数二,"{""mfa"": {""mfa_all"": 6}}",ERAYAK POWER SOLUTION GRP-A,1D,,,,,,,
2026-09-21 00:00:00,Long,TYGO,-63.06,1.01,3.59%,0.88,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",TIGO ENERGY INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,TYGO,-63.06,1.01,3.59%,0.88,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",TIGO ENERGY INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,THO,-18.86,69.94,3.20%,64.96,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",THOR INDUSTRIES INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,THO,-18.86,69.94,3.20%,64.96,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",THOR INDUSTRIES INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,FC,-10.13,17.54,1.56%,16.29,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",FRANKLIN COVEY CO,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,FC,-10.13,17.54,1.56%,16.29,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",FRANKLIN COVEY CO,1D,200.0,,,,,,
2026-09-21 00:00:00,Short,KLC,,2.29,2.23%,2.48,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KINDERCARE LEARNING COS INC,1D,,一直释放,3.99-4.13-1.75-3.49-4.68,高-低-高-高,3.38%-57.63%-99.43%-34.13%,41.0,20.06
2026-09-21 00:00:00,Long,EXE,-11.27,87.65,0.18%,82.79,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",EXPAND ENERGY CORP,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,EXE,-11.27,87.65,0.18%,82.79,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",EXPAND ENERGY CORP,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,KULR,,2.42,2.11%,2.24,mfa,参数一,"{""mfa"": {""mfa_all"": 8}}",KULR TECHNOLOGY GROUP INC,1D,,,,,,,
2026-09-21 00:00:00,Long,KULR,,2.42,2.11%,2.24,mfa,参数二,"{""mfa"": {""mfa_all"": 8}}",KULR TECHNOLOGY GROUP INC,1D,,,,,,,
2026-09-21 00:00:00,Short,OKE,,91.8,-1.78%,95.61,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ONEOK INC,1D,,,,,,,
2026-09-21 00:00:00,Short,ED,,103.86,-1.49%,107.34,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CONSOLIDATED EDISON INC,1D,,支撑释放,94.63-106.7-102.91-101.98-105.04,高-低-低-高,12.76%-3.56%-0.90%-3.00%,28.0,4.52
2026-09-21 00:00:00,Long,ARAI,,0.24,-0.41%,0.21,mfa,参数一,"{""mfa"": {""mfa_all"": 7}}",ARRIVE AI INC,1D,,,,,,,
2026-09-21 00:00:00,Long,ARAI,,0.24,-0.41%,0.21,mfa,参数二,"{""mfa"": {""mfa_all"": 7}}",ARRIVE AI INC,1D,,,,,,,
2026-09-21 00:00:00,Short,SMX,,10.98,-35.45%,19.9,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SMX SECURITY MATTERS PLC,1D,,支撑释放,2.33-12.51-12.73-14.54-14.44,高-高-高-低,435.97%-1.73%-14.25%-0.69%,24.0,38.5
2026-09-21 00:00:00,Short,SMX,,10.98,-35.45%,19.9,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SMX SECURITY MATTERS PLC,1D,,支撑释放,nan-166.35-2.33-12.51-14.44,低-低-高-高,nan%-98.60%-435.97%-15.43%,24.0,38.5
2026-09-21 00:00:00,Long,AACP,,10.08,0.10%,10.06,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",APOGEE ACQUISITION CORP -A,1D,,一直释放,nan-10.01,低,nan%,55.0,0.6
2026-09-21 00:00:00,Short,TALO,,16.42,-3.47%,17.39,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TALOS ENERGY INC,1D,,,,,,,
2026-09-21 00:00:00,Long,IMNN,-45.41,1.43,5.15%,1.24,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",IMUNON INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,IMNN,-45.41,1.43,5.15%,1.24,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",IMUNON INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,TG,,7.01,1.89%,6.59,mfa,参数一,"{""mfa"": {""mfa_all"": 7}}",TREDEGAR CORP,1D,,,,,,,
2026-09-21 00:00:00,Long,TG,,7.01,1.89%,6.59,mfa,参数二,"{""mfa"": {""mfa_all"": 7}}",TREDEGAR CORP,1D,,,,,,,
2026-09-21 00:00:00,Long,NET,,351.67,8.67%,303.45,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CLOUDFLARE INC - CLASS A,1D,,一直亮绿,229.15-258.88-276.82-291.0-332.22,高-高-高-高,12.97%-6.93%-5.12%-14.16%,26.0,23.36
2026-09-21 00:00:00,Long,NET,,351.67,8.67%,303.45,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CLOUDFLARE INC - CLASS A,1D,,一直亮绿,218.22-229.15-258.88-276.82-332.22,高-高-高-高,5.01%-12.97%-6.93%-20.02%,26.0,23.36
2026-09-21 00:00:00,Long,VRA,,4.16,-2.12%,3.78,mfa,参数一,"{""mfa"": {""mfa_all"": 36}}",VERA BRADLEY INC,1D,,,,,,,
2026-09-21 00:00:00,Short,VRA,28.3,4.16,-2.12%,4.86,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",VERA BRADLEY INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,VRA,,4.16,-2.12%,3.78,mfa,参数二,"{""mfa"": {""mfa_all"": 36}}",VERA BRADLEY INC,1D,,,,,,,
2026-09-21 00:00:00,Short,VRA,28.3,4.16,-2.12%,4.86,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",VERA BRADLEY INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Short,TWFG,,25.72,-3.78%,28.07,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TWFG INC,1D,,一直亮红,nan-16.56-17.39-17.44-25.8,低-高-高-高,nan%-5.01%-0.32%-47.86%,24.0,21.34
2026-09-21 00:00:00,Long,ESI,,33.42,2.11%,31.57,mfa,参数一,"{""mfa"": {""mfa_all"": 16}}",ELEMENT SOLUTIONS INC,1D,,,,,,,
2026-09-21 00:00:00,Long,ESI,,33.42,2.11%,31.57,mfa,参数二,"{""mfa"": {""mfa_all"": 16}}",ELEMENT SOLUTIONS INC,1D,,,,,,,
2026-09-21 00:00:00,Long,BMRA,,2.6,3.59%,2.25,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BIOMERICA INC,1D,,一直释放,nan-2.94-2.23-2.49,低-低-高,nan%-24.15%-11.66%,79.0,71.72
2026-09-21 00:00:00,Short,CTW,,2.02,-6.48%,2.45,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CTW,1D,,支撑释放,1.1-1.28-2.01-2.08-2.18,高-高-高-高,16.36%-57.03%-3.48%-4.81%,36.0,35.73
2026-09-21 00:00:00,Long,DNLI,-2.38,20.47,3.80%,18.58,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",DENALI THERAPEUTICS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,DNLI,-2.38,20.47,3.80%,18.58,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",DENALI THERAPEUTICS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,MMM,,164.97,-0.55%,161.39,mfa,参数一,"{""mfa"": {""mfa_all"": 12}}",3M CO,1D,,,,,,,
2026-09-21 00:00:00,Long,MMM,,164.97,-0.55%,161.39,mfa,参数二,"{""mfa"": {""mfa_all"": 12}}",3M CO,1D,,,,,,,
2026-09-21 00:00:00,Short,RNGR,,15.67,-3.63%,17.0,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",RANGER ENERGY SERVICES-CL A,1D,,,,,,,
2026-09-21 00:00:00,Short,ADPT,54.08,27.86,-2.62%,29.98,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",ADAPTIVE BIOTECHNOLOGIES,1D,200.0,,,,,,
2026-09-21 00:00:00,Short,ADPT,54.08,27.86,-2.62%,29.98,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",ADAPTIVE BIOTECHNOLOGIES,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,GOLF,-12.91,81.92,1.70%,77.85,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",ACUSHNET HOLDINGS CORP,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,GOLF,-12.91,81.92,1.70%,77.85,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",ACUSHNET HOLDINGS CORP,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,CFR,,158.74,-0.66%,155.63,mfa,参数一,"{""mfa"": {""mfa_all"": 14}}",CULLEN/FROST BANKERS INC,1D,,,,,,,
2026-09-21 00:00:00,Long,CFR,,158.74,-0.66%,155.63,mfa,参数二,"{""mfa"": {""mfa_all"": 14}}",CULLEN/FROST BANKERS INC,1D,,,,,,,
2026-09-21 00:00:00,Long,DVLT,-73.73,0.16,6.67%,0.13,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",DATAVAULT AI INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,DVLT,-73.73,0.16,6.67%,0.13,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",DATAVAULT AI INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,NXTS,-78.12,1.38,5.34%,1.11,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",NEXENTIS TECHNOLOGIES INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,NXTS,-78.12,1.38,5.34%,1.11,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",NEXENTIS TECHNOLOGIES INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,BURL,,251.8,6.19%,226.21,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BURLINGTON STORES INC,1D,,,,,,,
2026-09-21 00:00:00,Long,BURL,-19.02,251.8,6.19%,226.21,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",BURLINGTON STORES INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,BURL,-19.02,251.8,6.19%,226.21,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",BURLINGTON STORES INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,VITL,,12.23,2.00%,11.35,mfa,参数一,"{""mfa"": {""mfa_all"": 26}}",VITAL FARMS INC,1D,,,,,,,
2026-09-21 00:00:00,Long,VITL,,12.23,2.00%,11.35,mfa,参数二,"{""mfa"": {""mfa_all"": 26}}",VITAL FARMS INC,1D,,,,,,,
2026-09-21 00:00:00,Long,FTHM,-36.83,0.56,5.51%,0.5,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",FATHOM HOLDINGS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,FTHM,-36.83,0.56,5.51%,0.5,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",FATHOM HOLDINGS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,MKC,-12.1,48.89,0.35%,47.25,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",MCCORMICK & CO-NON VTG SHRS,1D,200.0,,,,,,
