日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期
2026-05-14 03:30:00,Short,BMNR,21.17,-1.03%,21.9,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮红,21.58-21.69-21.65-20.19-21.38,高-低-低-高,0.51%-0.18%-6.74%-5.89%,31.0,9.28,BitMine Immersion Technologies,1H
2026-05-14 03:30:00,Short,T,24.75,-0.40%,25.06,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,AT&T,1H
2026-05-14 03:30:00,Long,WMT,131.48,0.07%,130.24,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮绿,129.68-129.46-132.46-133.37-131.41,低-高-高-低,0.17%-2.32%-0.69%-1.47%,25.0,3.98,Walmart,1H
2026-05-14 03:30:00,Short,MP,63.77,-2.06%,66.99,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,48.57-60.76-60.01-60.2-65.0,高-低-高-高,25.10%-1.23%-0.32%-7.97%,48.0,18.15,MP Materials,1H
2026-05-14 03:30:00,Long,LIN,513.33,0.26%,508.83,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,509.23-501.36-515.63-521.28-505.17,低-高-高-低,1.55%-2.85%-1.10%-3.09%,36.0,2.62,Linde plc,1H
2026-05-14 03:30:00,Short,PPLT,195.2,-0.08%,197.23,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,abrdn Physical Platinum Shares ETF,1H
2026-05-14 03:30:00,Short,DE,580.66,-0.43%,586.88,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Deere,1H
2026-05-14 03:30:00,Long,CIBR,75.84,-0.01%,75.28,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,65.75-67.48-68.96-68.03-75.68,高-高-低-高,2.63%-2.19%-1.35%-11.24%,20.0,2.18,First Trust NASDAQ Cybersecurity ETF,1H
2026-05-14 21:30:00,Short,EWJ,92.17,-1.01%,92.51,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,iShares MSCI Japan ETF,1H
2026-05-14 21:30:00,Short,EWJ,92.17,-1.01%,92.51,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,iShares MSCI Japan ETF,1H
