日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,交易所
2026-07-20 08:00:00,Short,DEXE-USDT,4.43,-87.23%,51.37,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DEXE,1W,Binance
2026-07-20 08:00:00,Long,XRP-USDT,1.14,3.63%,0.9,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",XRP,1W,Binance
2026-07-20 08:00:00,Long,XRP-USDT,1.14,3.63%,0.9,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",XRP,1W,Binance
