日期,信号,代码,名称,现价,涨幅,止损,策略,参组,参数,周期
2026-07-06 00:00:00,Long,OPY,OPPENHEIMER HOLDINGS-CL A,114.95,5.02%,100.33,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,LION,LIONSGATE STUDIOS CORP,13.37,-8.80%,16.42,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,LNG,CHENIERE ENERGY INC,261.14,6.17%,225.63,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,POWI,POWER INTEGRATIONS INC,70.03,-4.05%,86.44,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,FBRX,FORTE BIOSCIENCES INC,42.21,101.74%,13.51,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,GTLS,CHART INDUSTRIES INC,209.68,0.46%,207.64,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,CNK,CINEMARK HOLDINGS INC,29.56,-6.25%,33.43,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,WLDN,WILLDAN GROUP INC,72.49,-4.99%,89.98,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,SIDU,SIDUS SPACE INC-CL A,2.12,-19.81%,3.79,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,COST,COSTCO WHOLESALE CORP,911.83,-4.19%,1017.21,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,DY,DYCOM INDUSTRIES INC,423.98,-3.15%,502.12,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,SEER,SEER INC,2.17,34.26%,1.93,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,SEER,SEER INC,2.17,34.26%,1.93,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,DIS,WALT DISNEY CO/THE,96.15,-3.36%,104.6,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,STEP,STEPSTONE GROUP INC-CLASS A,44.14,7.32%,35.54,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-07-06 00:00:00,Long,STEP,STEPSTONE GROUP INC-CLASS A,44.14,7.32%,35.54,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-07-06 00:00:00,Long,NVVE,NUVVE HOLDING CORP,12.9,3931.25%,2.39,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,NVVE,NUVVE HOLDING CORP,12.9,3931.25%,2.39,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-07-06 00:00:00,Long,NVVE,NUVVE HOLDING CORP,12.9,3931.25%,2.39,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,NVVE,NUVVE HOLDING CORP,12.9,3931.25%,2.39,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-07-06 00:00:00,Long,VNT,VONTIER CORP,29.38,2.66%,25.91,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-07-06 00:00:00,Long,VNT,VONTIER CORP,29.38,2.66%,25.91,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-07-06 00:00:00,Short,KALU,KAISER ALUMINUM CORP,160.11,-9.17%,200.53,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,JXN,JACKSON FINANCIAL INC-A,120.14,15.00%,97.57,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,JXN,JACKSON FINANCIAL INC-A,120.14,15.00%,97.57,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 19}}",1WK
2026-07-06 00:00:00,Short,PPTA,PERPETUA RESOURCES CORP,19.46,-8.77%,26.0,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,SII,SPROTT INC,109.9,-4.42%,133.59,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,DAR,DARLING INGREDIENTS INC,60.66,7.31%,51.98,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,IONS,IONIS PHARMACEUTICALS INC,59.47,-27.30%,93.52,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,IONS,IONIS PHARMACEUTICALS INC,59.47,-27.30%,93.52,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,STRA,STRATEGIC EDUCATION INC,83.82,3.51%,74.61,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,TBBK,BANCORP INC/THE,66.99,4.85%,57.36,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,DASH,DOORDASH INC - A,194.68,1.39%,163.9,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,GLBE,GLOBAL-E ONLINE LTD,38.83,5.37%,31.69,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,PARR,PAR PACIFIC HOLDINGS INC,66.25,13.27%,51.42,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,GPI,GROUP 1 AUTOMOTIVE INC,306.64,6.33%,255.63,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-07-06 00:00:00,Long,GPI,GROUP 1 AUTOMOTIVE INC,306.64,6.33%,255.63,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-07-06 00:00:00,Long,PAY,PAYMENTUS HOLDINGS INC-A,29.14,7.69%,24.01,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,ROAD,CONSTRUCTION PARTNERS INC-A,96.05,-11.00%,124.96,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Short,STZ,CONSTELLATION BRANDS INC-A,134.24,-2.35%,144.81,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-07-06 00:00:00,Long,OLED,UNIVERSAL DISPLAY CORP,82.51,4.84%,69.57,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-07-06 00:00:00,Long,OLED,UNIVERSAL DISPLAY CORP,82.51,4.84%,69.57,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
